baseline_build_id,build_id,selection_source,source_xyz_path,source_xyz_sha256,final_xyz_name,xyz_exists,qc_status,file_qc_status,file_qc_note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,resolution_spec_json,Atomic Number_metal,metal_symbol,metal_ox,canonical_smiles,SMILES_FOR_ARCHITECTOR,COORDLIST,DONOR_TYPES,DENTATE,coreCN,n_ligs,inner_sphere_anion,fill_ligand,n_fill,geometry_key,rows_covered,xyz_path,mol2_path
03c12597fa60,ebd03e170d8f,frozen_accepted_manifest,data/processed/geometries_all_remaining/20260803T091407Z_2131197/final_placement_sweep/accepted/Ce/Ce_Z58_ox3_CN8_nlig2_nitrate_ebd03e170d8f_attempt01_emergency_unrelaxed.xyz,1404582a05c44ad0e156a99ca1871719e237d65996536393048eed06a9bc635d,Ce_03c12597fa60.xyz,True,accepted,accepted,file_level_qc_ok,OK,nearest_coreCN_qc_ok,O9:1.783;O53:1.783;O10:2.079;O54:2.079;O51:2.270;O7:2.270;O11:2.295;O55:2.295,2.2954,2.4048,0.1094,"{""Atomic Number_metal"":""58"",""COORDLIST"":""[6, 8, 9, 10]"",""DENTATE"":""4"",""SMILES_FOR_ARCHITECTOR"":""CCCCCCOP(=O)(O)OCCCCCC"",""build_id"":""03c12597fa60"",""coreCN"":""8"",""fill_ligand"":""nitrate"",""geometry_key"":""58|CCCCCCOP(=O)(O)OCCCCCC|nitrate"",""inner_sphere_anion"":""nitrate"",""metal_ox"":""3"",""metal_symbol"":""Ce"",""n_fill"":""0"",""n_ligs"":""2""}",58,Ce,3,CCCCCCOP(=O)(O)OCCCCCC,CCCCCCOP(=O)(O)OCCCCCC,"[6, 8, 9, 10]","[""O(ether)"", ""O(ether)"", ""O(hydroxyl)"", ""O(ether)""]",4,8,2,nitrate,nitrate,0,58|CCCCCCOP(=O)(O)OCCCCCC|nitrate,1,geometries/Ce_03c12597fa60.xyz,
03f87059d30f,03f87059d30f,frozen_accepted_manifest,data/processed/geometries_regenerated_fail_long_bond/accepted/Ce/Ce_Z58_ox3_CN9_nlig3_water_03f87059d30f_attempt02_standard.xyz,0d20bb7431b0716ec19a19c9ca2da2f4c4a54caf1cb46431bfac14ba68a4d56a,Ce_03f87059d30f.xyz,True,accepted,accepted,file_level_qc_ok,OK,nearest_coreCN_qc_ok,O116:2.248;O206:2.268;O16:2.325;O211:2.355;O111:2.361;O113:2.455;O21:2.540;O208:2.627;O18:2.794,2.7944,4.2101,1.4156,"{""Atomic Number_metal"":""58"",""COORDLIST"":""[15, 17, 20]"",""DENTATE"":""3"",""SMILES_FOR_ARCHITECTOR"":""CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C"",""build_id"":""03f87059d30f"",""coreCN"":""9"",""fill_ligand"":""water"",""geometry_key"":""58|CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C|water"",""inner_sphere_anion"":""water"",""metal_ox"":""3"",""metal_symbol"":""Ce"",""n_fill"":""0"",""n_ligs"":""3""}",58,Ce,3,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,"[15, 17, 20]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,9,3,water,water,0,58|CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C|water,1,geometries/Ce_03f87059d30f.xyz,
0453c5e4f135,0453c5e4f135,frozen_accepted_manifest,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_0453c5e4f135.xyz,c2e8039541a1a10d890623c77f25082fabd3c9bcb81105bbfb8b5ad6bc66aa74,Ce_0453c5e4f135.xyz,True,accepted,accepted,file_level_qc_ok,OK,nearest_coreCN_qc_ok,O53:2.150;O54:2.185;O23:2.374;O13:2.375;O20:2.425;O10:2.547;O55:2.552;N51:2.562;O26:2.576,2.5762,2.6957,0.1195,"{""Atomic Number_metal"":""58"",""COORDLIST"":""[6, 9, 12, 19, 22, 25]"",""DENTATE"":""6"",""SMILES_FOR_ARCHITECTOR"":""c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2"",""build_id"":""0453c5e4f135"",""coreCN"":""9"",""fill_ligand"":""nitrate"",""geometry_key"":""58|c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2|nitrate"",""inner_sphere_anion"":""nitrate"",""metal_ox"":""3"",""metal_symbol"":""Ce"",""n_fill"":""3"",""n_ligs"":""1""}",58,Ce,3,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,"[6, 9, 12, 19, 22, 25]","[""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)""]",6,9,1,nitrate,nitrate,3,58|c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2|nitrate,1,geometries/Ce_0453c5e4f135.xyz,
071dab5d8629,071dab5d8629,frozen_accepted_manifest,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig3_water_071dab5d8629.xyz,72f947af601f199ce2e6e1335a66d21d2bd2f41f55b015147f351a37074bafc2,Ce_071dab5d8629.xyz,True,accepted,accepted,file_level_qc_ok,OK,nearest_coreCN_qc_ok,O24:2.201;O237:2.493;O130:2.561;O242:2.668;O133:2.710;O239:2.730;O128:2.756;O21:2.762;O19:2.822,2.8217,4.2609,1.4392,"{""Atomic Number_metal"":""58"",""COORDLIST"":""[18, 20, 23]"",""DENTATE"":""3"",""SMILES_FOR_ARCHITECTOR"":""CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C"",""build_id"":""071dab5d8629"",""coreCN"":""9"",""fill_ligand"":""water"",""geometry_key"":""58|CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C|water"",""inner_sphere_anion"":""water"",""metal_ox"":""3"",""metal_symbol"":""Ce"",""n_fill"":""0"",""n_ligs"":""3""}",58,Ce,3,CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,"[18, 20, 23]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,9,3,water,water,0,58|CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C|water,1,geometries/Ce_071dab5d8629.xyz,
0d6f25660483,0d6f25660483,current_qc_supplement,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_0d6f25660483.xyz,ddf0bb7bed8f87d455faac8db7223c810da3998859867b8a8ebed49acf633a09,Ce_0d6f25660483.xyz,True,accepted,accepted,file_level_qc_ok,OK,nearest_coreCN_qc_ok,O5:2.322;O77:2.438;O17:2.499;O89:2.546;N30:2.554;N29:2.630;N102:2.662;N101:2.694;O145:2.748,2.7475,4.4646,1.7170,"{""Atomic Number_metal"":""58"",""COORDLIST"":""[4, 16, 28, 29]"",""DENTATE"":""4"",""SMILES_FOR_ARCHITECTOR"":""CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C"",""build_id"":""0d6f25660483"",""coreCN"":""9"",""fill_ligand"":""nitrate"",""geometry_key"":""58|CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C|nitrate"",""inner_sphere_anion"":""nitrate"",""metal_ox"":""3"",""metal_symbol"":""Ce"",""n_fill"":""1"",""n_ligs"":""2""}",58,Ce,3,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,"[4, 16, 28, 29]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)""]",4,9,2,nitrate,nitrate,1,58|CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C|nitrate,1,geometries/Ce_0d6f25660483.xyz,
0dd26267bf56,0dd26267bf56,frozen_accepted_manifest,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig3_nitrate_0dd26267bf56.xyz,6abcbf16da690c827ede30cbbf9824bb8b1e6d974044c90f285338a81b30ef71,Ce_0dd26267bf56.xyz,True,accepted,accepted,file_level_qc_ok,OK,nearest_coreCN_qc_ok,O90:2.149;O4:2.316;O95:2.321;O9:2.421;O92:2.434;O52:2.517;O47:2.523;O6:2.554;O49:2.625,2.6250,4.3345,1.7095,"{""Atomic Number_metal"":""58"",""COORDLIST"":""[3, 5, 8]"",""DENTATE"":""3"",""SMILES_FOR_ARCHITECTOR"":""CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1"",""build_id"":""0dd26267bf56"",""coreCN"":""9"",""fill_ligand"":""nitrate"",""geometry_key"":""58|CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1|nitrate"",""inner_sphere_anion"":""nitrate"",""metal_ox"":""3"",""metal_symbol"":""Ce"",""n_fill"":""0"",""n_ligs"":""3""}",58,Ce,3,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,"[3, 5, 8]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,9,3,nitrate,nitrate,0,58|CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1|nitrate,5,geometries/Ce_0dd26267bf56.xyz,
12c512965f48,12c512965f48,frozen_accepted_manifest,data/processed/geometries_sibling_regenerated_rescue/sibling_rescue_cn_up/accepted/Ce/Ce_Z58_ox3_CN9_nlig2_nitrate_12c512965f48_attempt02_standard.xyz,20e85a44444f3c8d61b96cfde6d25e69ac488214c9b2046793514bb11329af4c,Ce_12c512965f48.xyz,True,accepted,accepted,file_level_qc_ok,OK,nearest_coreCN_qc_ok,O147:2.514;O139:2.521;O19:2.522;O27:2.548;O21:2.636;O141:2.646;O241:2.687;O24:2.737;O144:2.758,2.7578,4.6430,1.8853,"{""Atomic Number_metal"":""58"",""COORDLIST"":""[18, 20, 23, 26]"",""DENTATE"":""4"",""SMILES_FOR_ARCHITECTOR"":""CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC"",""build_id"":""12c512965f48"",""coreCN"":""9"",""fill_ligand"":""nitrate"",""geometry_key"":""58|CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate"",""inner_sphere_anion"":""nitrate"",""metal_ox"":""3"",""metal_symbol"":""Ce"",""n_fill"":""1"",""n_ligs"":""2""}",58,Ce,3,CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 26]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(ether)"", ""O(amide_carbonyl)""]",4,9,2,nitrate,nitrate,1,58|CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,6,geometries/Ce_12c512965f48.xyz,
13028df1064c,13028df1064c,frozen_accepted_manifest,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig3_water_13028df1064c.xyz,fff2c5ea107b9d0b91eb52269b3050399e1ad2d5306fe49c06862409b3c1a19d,Ce_13028df1064c.xyz,True,accepted,accepted,file_level_qc_ok,OK,nearest_coreCN_qc_ok,O83:2.298;O154:2.343;O17:2.372;O88:2.399;O85:2.421;O159:2.434;O156:2.614;O12:2.664;O14:2.851,2.8512,4.3179,1.4667,"{""Atomic Number_metal"":""58"",""COORDLIST"":""[11, 13, 16]"",""DENTATE"":""3"",""SMILES_FOR_ARCHITECTOR"":""CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC"",""build_id"":""13028df1064c"",""coreCN"":""9"",""fill_ligand"":""water"",""geometry_key"":""58|CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC|water"",""inner_sphere_anion"":""water"",""metal_ox"":""3"",""metal_symbol"":""Ce"",""n_fill"":""0"",""n_ligs"":""3""}",58,Ce,3,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,"[11, 13, 16]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,9,3,water,water,0,58|CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC|water,3,geometries/Ce_13028df1064c.xyz,
1c8d038cf561,1c8d038cf561,frozen_accepted_manifest,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_1c8d038cf561.xyz,c2cb3e501bef47cbd6d4a316348e64eba806aa62526db054516f5d3deba5d015,Ce_1c8d038cf561.xyz,True,accepted,accepted,file_level_qc_ok,OK,nearest_coreCN_qc_ok,O55:2.076;O56:2.101;N4:2.433;N53:2.449;O28:2.455;O21:2.461;O18:2.496;O8:2.506;O15:2.592,2.5917,2.9007,0.3091,"{""Atomic Number_metal"":""58"",""COORDLIST"":""[3, 7, 14, 17, 20, 27]"",""DENTATE"":""6"",""SMILES_FOR_ARCHITECTOR"":""c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2"",""build_id"":""1c8d038cf561"",""coreCN"":""9"",""fill_ligand"":""nitrate"",""geometry_key"":""58|c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2|nitrate"",""inner_sphere_anion"":""nitrate"",""metal_ox"":""3"",""metal_symbol"":""Ce"",""n_fill"":""3"",""n_ligs"":""1""}",58,Ce,3,c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,"[3, 7, 14, 17, 20, 27]","[""N(aromatic)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)""]",6,9,1,nitrate,nitrate,3,58|c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2|nitrate,1,geometries/Ce_1c8d038cf561.xyz,
1ce299c12425,1ce299c12425,frozen_accepted_manifest,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig3_water_1ce299c12425.xyz,8ac0a0ae6a8b578af36d6ad1e4e04aeafa77bcd7c144f73fdc52d8363d994cca,Ce_1ce299c12425.xyz,True,accepted,accepted,file_level_qc_ok,OK,nearest_coreCN_qc_ok,O23:2.182;O135:2.306;O252:2.324;O140:2.411;O18:2.475;O254:2.516;O257:2.584;O20:2.676;O137:2.728,2.7278,4.0255,1.2977,"{""Atomic Number_metal"":""58"",""COORDLIST"":""[17, 19, 22]"",""DENTATE"":""3"",""SMILES_FOR_ARCHITECTOR"":""CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C"",""build_id"":""1ce299c12425"",""coreCN"":""9"",""fill_ligand"":""water"",""geometry_key"":""58|CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C|water"",""inner_sphere_anion"":""water"",""metal_ox"":""3"",""metal_symbol"":""Ce"",""n_fill"":""0"",""n_ligs"":""3""}",58,Ce,3,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,"[17, 19, 22]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,9,3,water,water,0,58|CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C|water,1,geometries/Ce_1ce299c12425.xyz,
