build_id,geometry_key,geometry_source,xyz_path,n_atoms,xtb_properties_available,xtb_provenance,complex_pi_eligible
ebd03e170d8f,58|CCCCCCOP(=O)(O)OCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Ce_03c12597fa60.xyz,89,False,unverified_missing_xtb_properties,False
03f87059d30f,58|CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C|water,final_dataset_3d/accepted_geometries.csv,geometries/Ce_03f87059d30f.xyz,286,True,extxyz_xtb_properties_present,True
0453c5e4f135,58|c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Ce_0453c5e4f135.xyz,58,True,extxyz_xtb_properties_present,True
071dab5d8629,58|CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C|water,final_dataset_3d/accepted_geometries.csv,geometries/Ce_071dab5d8629.xyz,328,True,extxyz_xtb_properties_present,True
0d6f25660483,58|CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Ce_0d6f25660483.xyz,148,True,extxyz_xtb_properties_present,True
0dd26267bf56,58|CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Ce_0dd26267bf56.xyz,130,True,extxyz_xtb_properties_present,True
12c512965f48,58|CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Ce_12c512965f48.xyz,244,True,extxyz_xtb_properties_present,True
13028df1064c,58|CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Ce_13028df1064c.xyz,214,True,extxyz_xtb_properties_present,True
1c8d038cf561,58|c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Ce_1c8d038cf561.xyz,60,True,extxyz_xtb_properties_present,True
1ce299c12425,58|CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C|water,final_dataset_3d/accepted_geometries.csv,geometries/Ce_1ce299c12425.xyz,352,True,extxyz_xtb_properties_present,True
38aae406e17f,58|O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Ce_1deb3f946bab.xyz,42,True,extxyz_xtb_properties_present,True
767120592b2e,58|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|water,final_dataset_3d/accepted_geometries.csv,geometries/Ce_1e103e29e69e.xyz,126,True,extxyz_xtb_properties_present,True
1f868e7f9752,58|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Ce_1f868e7f9752.xyz,343,True,extxyz_xtb_properties_present,True
ece8d8720fdf,58|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Ce_23bc11341179.xyz,119,True,extxyz_xtb_properties_present,True
27bd49628d7d,58|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Ce_27bd49628d7d.xyz,358,True,extxyz_xtb_properties_present,True
2bb8a487a3df,58|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Ce_2bb8a487a3df.xyz,340,True,extxyz_xtb_properties_present,True
2cd2f8a48ec8,58|CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1|water,final_dataset_3d/accepted_geometries.csv,geometries/Ce_2cd2f8a48ec8.xyz,256,True,extxyz_xtb_properties_present,True
35a401f1b743,58|CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Ce_35a401f1b743.xyz,284,True,extxyz_xtb_properties_present,True
3789eabe5f06,58|CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C|water,final_dataset_3d/accepted_geometries.csv,geometries/Ce_3789eabe5f06.xyz,358,True,extxyz_xtb_properties_present,True
3a24ab54d81a,58|CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Ce_3a24ab54d81a.xyz,277,True,extxyz_xtb_properties_present,True
3ba1ae8a2e42,58|CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Ce_3ba1ae8a2e42.xyz,196,True,extxyz_xtb_properties_present,True
3fdaf88840c9,58|CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Ce_3fdaf88840c9.xyz,172,True,extxyz_xtb_properties_present,True
