exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
10955,"TODGA, TBP","0.2 M,0.5 M",HNO3,0.1 M,hydrogenated tetrapropene,Cf,III , ,,,,,"CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCOP(=O)(OCCCC)OCCCC","-,-","HNO3,  TBP, TODGA, Cf, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1080/07366290701634578, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:39:49,Distribution Ratio,2.32073205,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2007; Title: Development of a TODGA based Process for Partitioning of Actinides from a PUREX Rafﬁnate Part I: Batch Extraction Optimization Studies and Stability Tests; Authors: G Modolo, H Asp, C Schreinemachers, H Vijgen; No. of Extractants: 2; Aqueous Phase Metals: Am(III); Cm(III); Eu(III); Cf(III); Th(IV); U(VI); Metal_Concentration_mM: Trace; Trace; Trace; Trace; 10; 10; No. of Metals: 6",Volume Ratio,1.0,,
10956,"TODGA, TBP","0.2 M,0.5 M",HNO3,0.2 M,hydrogenated tetrapropene,Cf,III , ,,,,,"CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCOP(=O)(OCCCC)OCCCC","-,-","HNO3,  TBP, TODGA, Cf, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1080/07366290701634578, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:39:49,Distribution Ratio,13.3352143,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2007; Title: Development of a TODGA based Process for Partitioning of Actinides from a PUREX Rafﬁnate Part I: Batch Extraction Optimization Studies and Stability Tests; Authors: G Modolo, H Asp, C Schreinemachers, H Vijgen; No. of Extractants: 2; Aqueous Phase Metals: Am(III); Cm(III); Eu(III); Cf(III); Th(IV); U(VI); Metal_Concentration_mM: Trace; Trace; Trace; Trace; 10; 10; No. of Metals: 6",Volume Ratio,1.0,,
10957,"TODGA, TBP","0.2 M,0.5 M",HNO3,0.5 M,hydrogenated tetrapropene,Cf,III , ,,,,,"CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCOP(=O)(OCCCC)OCCCC","-,-","HNO3,  TBP, TODGA, Cf, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1080/07366290701634578, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:39:49,Distribution Ratio,196.675381,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2007; Title: Development of a TODGA based Process for Partitioning of Actinides from a PUREX Rafﬁnate Part I: Batch Extraction Optimization Studies and Stability Tests; Authors: G Modolo, H Asp, C Schreinemachers, H Vijgen; No. of Extractants: 2; Aqueous Phase Metals: Am(III); Cm(III); Eu(III); Cf(III); Th(IV); U(VI); Metal_Concentration_mM: Trace; Trace; Trace; Trace; 10; 10; No. of Metals: 6",Volume Ratio,1.0,,
10958,"TODGA, TBP","0.2 M,0.5 M",HNO3,1 M,hydrogenated tetrapropene,Cf,III , ,,,,,"CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCOP(=O)(OCCCC)OCCCC","-,-","HNO3,  TBP, TODGA, Cf, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1080/07366290701634578, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:39:49,Distribution Ratio,1474.85729,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2007; Title: Development of a TODGA based Process for Partitioning of Actinides from a PUREX Rafﬁnate Part I: Batch Extraction Optimization Studies and Stability Tests; Authors: G Modolo, H Asp, C Schreinemachers, H Vijgen; No. of Extractants: 2; Aqueous Phase Metals: Am(III); Cm(III); Eu(III); Cf(III); Th(IV); U(VI); Metal_Concentration_mM: Trace; Trace; Trace; Trace; 10; 10; No. of Metals: 6",Volume Ratio,1.0,,
10959,"TODGA, TBP","0.2 M,0.5 M",HNO3,2 M,hydrogenated tetrapropene,Cf,III , ,,,,,"CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCOP(=O)(OCCCC)OCCCC","-,-","HNO3,  TBP, TODGA, Cf, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1080/07366290701634578, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:39:49,Distribution Ratio,5583.09477,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2007; Title: Development of a TODGA based Process for Partitioning of Actinides from a PUREX Rafﬁnate Part I: Batch Extraction Optimization Studies and Stability Tests; Authors: G Modolo, H Asp, C Schreinemachers, H Vijgen; No. of Extractants: 2; Aqueous Phase Metals: Am(III); Cm(III); Eu(III); Cf(III); Th(IV); U(VI); Metal_Concentration_mM: Trace; Trace; Trace; Trace; 10; 10; No. of Metals: 6",Volume Ratio,1.0,,
10960,"TODGA, TBP","0.2 M,0.5 M",HNO3,3 M,hydrogenated tetrapropene,Cf,III , ,,,,,"CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCOP(=O)(OCCCC)OCCCC","-,-","HNO3,  TBP, TODGA, Cf, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1080/07366290701634578, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:39:49,Distribution Ratio,3840.38708,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2007; Title: Development of a TODGA based Process for Partitioning of Actinides from a PUREX Rafﬁnate Part I: Batch Extraction Optimization Studies and Stability Tests; Authors: G Modolo, H Asp, C Schreinemachers, H Vijgen; No. of Extractants: 2; Aqueous Phase Metals: Am(III); Cm(III); Eu(III); Cf(III); Th(IV); U(VI); Metal_Concentration_mM: Trace; Trace; Trace; Trace; 10; 10; No. of Metals: 6",Volume Ratio,1.0,,
10993,TODGA,0.2 M,HNO3; oxalic acid, ,hydrogenated tetrapropene,Cf,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3; oxalic acid, TODGA, Cf, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1080/07366290701634578, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:39:51,,,,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Table 2; Additional Comments: Simulated Highly Active Raffinate solution; Complexant_Name: HEDTA; Complexant_SMILES: OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O; Complexant_Concentration_M: 0.05; Publication_Year: 2007; Title: Development of a TODGA based Process for Partitioning of Actinides from a PUREX Rafﬁnate Part I: Batch Extraction Optimization Studies and Stability Tests; Authors: G Modolo, H Asp, C Schreinemachers, H Vijgen; No. of Extractants: 1; Aqueous Phase Metals: Am(III); Cm(III); Cf(III); Y; La(III); Ce(III); Pr(III); Nd(III); Sm(III); Eu(III); Gd(III); Ag; Al; Ba; Cd; Cr; Cs; Cu; Fe; Mo; Na; Ni; Pd; Rb; Rh; Ru; Sb; Se; Sn; Sr; Te; Zr; Metal_Concentration_mM: Trace; Trace; Trace; 1.147; 1.569; 3.697; 1.554; 4.979; 0.971; 0.217; 0.223; 0.117; 0.074; 1.923; 0.151; 1.75; 4.184; 0.299; 34.02; 7.003; 88.473; 0.801; 1.156; 0.761; 0.777; 3.838; 0.036; 0.114; 0.093; 1.906; 3.77; 12.771; No. of Metals: 32",Volume Ratio,1.0,,
11011,TODGA,0.2 M,HNO3; oxalic acid, ,hydrogenated tetrapropene,Cf,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3; oxalic acid, TODGA, Cf, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1080/07366290701634578, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:39:53,,,,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Table 2; Additional Comments: Simulated Highly Active Raffinate solution; Complexant_Name: HEDTA; Complexant_SMILES: OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O; Complexant_Concentration_M: 0.05; Publication_Year: 2007; Title: Development of a TODGA based Process for Partitioning of Actinides from a PUREX Rafﬁnate Part I: Batch Extraction Optimization Studies and Stability Tests; Authors: G Modolo, H Asp, C Schreinemachers, H Vijgen; No. of Extractants: 1; Aqueous Phase Metals: Am(III); Cm(III); Cf(III); Y; La(III); Ce(III); Pr(III); Nd(III); Sm(III); Eu(III); Gd(III); Ag; Al; Ba; Cd; Cr; Cs; Cu; Fe; Mo; Na; Ni; Pd; Rb; Rh; Ru; Sb; Se; Sn; Sr; Te; Zr; Metal_Concentration_mM: Trace; Trace; Trace; 1.147; 1.569; 3.697; 1.554; 4.979; 0.971; 0.217; 0.223; 0.117; 0.074; 1.923; 0.151; 1.75; 4.184; 0.299; 34.02; 7.003; 88.473; 0.801; 1.156; 0.761; 0.777; 3.838; 0.036; 0.114; 0.093; 1.906; 3.77; 12.771; No. of Metals: 32",Volume Ratio,1.0,,
11012,TODGA,0.2 M,HNO3; oxalic acid, ,hydrogenated tetrapropene,Cf,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3; oxalic acid, TODGA, Cf, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1080/07366290701634578, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:39:53,,,,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Table 2; Additional Comments: Simulated Highly Active Raffinate solution; Complexant_Name: HEDTA; Complexant_SMILES: OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O; Complexant_Concentration_M: 0.05; Publication_Year: 2007; Title: Development of a TODGA based Process for Partitioning of Actinides from a PUREX Rafﬁnate Part I: Batch Extraction Optimization Studies and Stability Tests; Authors: G Modolo, H Asp, C Schreinemachers, H Vijgen; No. of Extractants: 1; Aqueous Phase Metals: Am(III); Cm(III); Cf(III); Y; La(III); Ce(III); Pr(III); Nd(III); Sm(III); Eu(III); Gd(III); Ag; Al; Ba; Cd; Cr; Cs; Cu; Fe; Mo; Na; Ni; Pd; Rb; Rh; Ru; Sb; Se; Sn; Sr; Te; Zr; Metal_Concentration_mM: Trace; Trace; Trace; 1.147; 1.569; 3.697; 1.554; 4.979; 0.971; 0.217; 0.223; 0.117; 0.074; 1.923; 0.151; 1.75; 4.184; 0.299; 34.02; 7.003; 88.473; 0.801; 1.156; 0.761; 0.777; 3.838; 0.036; 0.114; 0.093; 1.906; 3.77; 12.771; No. of Metals: 32",Volume Ratio,1.0,,
11013,TODGA,0.2 M,HNO3; oxalic acid, ,hydrogenated tetrapropene,Cf,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3; oxalic acid, TODGA, Cf, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1080/07366290701634578, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:39:53,,,,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Table 2; Additional Comments: Simulated Highly Active Raffinate solution; Complexant_Name: HEDTA; Complexant_SMILES: OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O; Complexant_Concentration_M: 0.05; Publication_Year: 2007; Title: Development of a TODGA based Process for Partitioning of Actinides from a PUREX Rafﬁnate Part I: Batch Extraction Optimization Studies and Stability Tests; Authors: G Modolo, H Asp, C Schreinemachers, H Vijgen; No. of Extractants: 1; Aqueous Phase Metals: Am(III); Cm(III); Cf(III); Y; La(III); Ce(III); Pr(III); Nd(III); Sm(III); Eu(III); Gd(III); Ag; Al; Ba; Cd; Cr; Cs; Cu; Fe; Mo; Na; Ni; Pd; Rb; Rh; Ru; Sb; Se; Sn; Sr; Te; Zr; Metal_Concentration_mM: Trace; Trace; Trace; 1.147; 1.569; 3.697; 1.554; 4.979; 0.971; 0.217; 0.223; 0.117; 0.074; 1.923; 0.151; 1.75; 4.184; 0.299; 34.02; 7.003; 88.473; 0.801; 1.156; 0.761; 0.777; 3.838; 0.036; 0.114; 0.093; 1.906; 3.77; 12.771; No. of Metals: 32",Volume Ratio,1.0,,
