exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
2960,TODGA,0.001 M,HNO3,2.9 M,n-Dodecane,Hf,IV , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Hf, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:05,Distribution Ratio,0.0636,-,Temperature,25.0,C,- -,30.0 min,,Comments,Fig4 (IV) – assuming 100ppm 0.0 extraction:nan,,,,
2961,TODGA,0.0021 M,HNO3,2.9 M,n-Dodecane,Hf,IV , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Hf, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:05,Distribution Ratio,0.7865,-,Temperature,25.0,C,- -,30.0 min,,Comments,Fig4 (IV) – assuming 100ppm 0.0 extraction:nan,,,,
2962,TODGA,0.0039 M,HNO3,2.9 M,n-Dodecane,Hf,IV , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Hf, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:05,Distribution Ratio,4.2845,-,Temperature,25.0,C,- -,30.0 min,,Comments,Fig4 (IV) – assuming 100ppm 0.0 extraction:nan,,,,
2963,TODGA,0.0053 M,HNO3,2.9 M,n-Dodecane,Hf,IV , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Hf, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:05,Distribution Ratio,11.5173,-,Temperature,25.0,C,- -,31.0 min,,Comments,Fig4 (IV) – assuming 100ppm 0.0 extraction:nan,,,,
2964,TODGA,0.0098 M,HNO3,2.9 M,n-Dodecane,Hf,IV , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Hf, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:05,Distribution Ratio,85.6082,-,Temperature,25.0,C,- -,32.0 min,,Comments,Fig4 (IV) – assuming 100ppm 0.0 extraction:nan,,,,
6377,DHFA,0.5 M,HNO3,3 M,toluene,U,VI , ,,,,,CCCCCCN(C=O)CCCCCC,-,"HNO3, DHFA, U, Nitrate, toluene",,toluene,,"https://doi.org/10.1021/acssuschemeng.4c06166x, https://doi.org/10.1021/j100841a014",Logan Augustine,2024-12-19 17:51:12,Distribution Ratio,4.1,-,Temperature,30.0,C,- -,,,Comments,"Tracer levels of U233, Pu239, Np237, and Th234 used",,,,
6378,DHFA,0.5 M,HNO3,3 M,toluene,Pu,IV , ,,,,,CCCCCCN(C=O)CCCCCC,-,"HNO3, DHFA, Pu, Nitrate, toluene",,toluene,,"https://doi.org/10.1021/acssuschemeng.4c06166x, https://doi.org/10.1021/j100841a014",Logan Augustine,2024-12-19 17:51:12,Distribution Ratio,2.4,-,Temperature,30.0,C,- -,,,Comments,"Tracer levels of U233, Pu239, Np237, and Th234 used",,,,
6379,DHFA,0.5 M,HNO3,6 M,toluene,U,VI , ,,,,,CCCCCCN(C=O)CCCCCC,-,"HNO3, DHFA, U, Nitrate, toluene",,toluene,,"https://doi.org/10.1021/acssuschemeng.4c06166x, https://doi.org/10.1021/j100841a014",Logan Augustine,2024-12-19 17:51:12,Distribution Ratio,3.6,-,Temperature,30.0,C,- -,,,Comments,"Tracer levels of U233, Pu239, Np237, and Th234 used",,,,
6380,DHFA,0.5 M,HNO3,6 M,toluene,Pu,IV , ,,,,,CCCCCCN(C=O)CCCCCC,-,"HNO3, DHFA, Pu, Nitrate, toluene",,toluene,,"https://doi.org/10.1021/acssuschemeng.4c06166x, https://doi.org/10.1021/j100841a014",Logan Augustine,2024-12-19 17:51:12,Distribution Ratio,4.0,-,Temperature,30.0,C,- -,,,Comments,"Tracer levels of U233, Pu239, Np237, and Th234 used",,,,
6381,DHFA,0.5 M,HNO3,6 M,toluene,Th,IV , ,,,,,CCCCCCN(C=O)CCCCCC,-,"HNO3, DHFA, Th, Nitrate, toluene",,toluene,,"https://doi.org/10.1021/acssuschemeng.4c06166x, https://doi.org/10.1021/j100841a014",Logan Augustine,2024-12-19 17:51:12,Distribution Ratio,0.1,-,Temperature,30.0,C,- -,,,Comments,"Tracer levels of U233, Pu239, Np237, and Th234 used",,,,
