A,B,dZ,n_cells,n_extractants,var_total,var_within_ext,var_between_ext,mean_abs_y
Ce,Pr,1,169,68,0.0931909009945428,0.09865558925902387,0.0,0.23806707655873421
Dy,Ho,1,185,57,0.026830861999106833,0.011298446669018428,0.017088668966910452,0.14636612907970675
Er,Tm,1,153,55,0.0480412680814254,0.008294788316000794,0.045991846622784084,0.09761066322049729
Eu,Gd,1,177,70,0.048554236754806405,0.031115681305844748,0.019393327122163843,0.16010293072216097
Gd,Tb,1,188,65,0.043839922747314394,0.020595580468079144,0.025956994383101277,0.26900506699802956
Ho,Er,1,188,57,0.02351929996846516,0.009879057924067545,0.014991132590747858,0.10293583761893838
La,Ce,1,187,68,0.0834425391284534,0.05100538410650303,0.0359468911608194,0.26637121865815366
Pr,Nd,1,172,71,0.054583507677515186,0.03346046528803356,0.022394597460869213,0.1762258371747206
Sm,Eu,1,203,77,0.0657362669980178,0.03600667345206246,0.0321694034448344,0.2065640174338801
Tb,Dy,1,181,66,0.04875405237197838,0.013742954532058977,0.037973951915060054,0.16091154382628062
Tm,Yb,1,147,55,0.014498132393711446,0.005620629824673497,0.010195256856629519,0.06457801303036172
Yb,Lu,1,164,54,0.01415079287609195,0.006505534099913102,0.008662811868633985,0.07526792644431102
Ce,Nd,2,193,65,0.1483456130435192,0.12256403902901508,0.02897143397263052,0.33577015794996096
Dy,Er,2,220,69,0.04671962412960876,0.023579043104969364,0.025020493576461533,0.20004161686432922
Er,Yb,2,174,58,0.09296392245036862,0.04780385403836501,0.049820727821525065,0.16165705870514108
Eu,Tb,2,142,58,0.072148454342506,0.021708722694332244,0.05562372257434098,0.31902235713021726
Gd,Dy,2,237,74,0.08770953571005446,0.03653630599067799,0.05493495613727235,0.34114400496780034
Ho,Tm,2,143,55,0.046187849182827145,0.017891295992935083,0.03207848420466438,0.14795948681866403
La,Pr,2,170,72,0.18056267589089517,0.15126149831663477,0.031157851495614067,0.43353276009936126
Nd,Sm,2,234,78,0.14929633991634697,0.07127638308581459,0.08375608581385934,0.3903792425983236
Sm,Gd,2,204,72,0.12025140392855582,0.07425719396237974,0.04967173168307733,0.2733912562016425
Tb,Ho,2,158,57,0.07591491585046402,0.02403714932110671,0.05736292576122127,0.28507490694043985
Tm,Lu,2,146,52,0.035775115801458694,0.0139255268260169,0.025315006491358514,0.11631443740685053
Dy,Tm,3,143,54,0.08068621847058911,0.034568257452283785,0.052764892744968886,0.2518477729114696
Er,Lu,3,177,60,0.04998051752895287,0.021054573378686006,0.03235086566270961,0.1501240075662953
Eu,Dy,3,161,69,0.14105426178258526,0.07578735933418995,0.0700881860543048,0.4118696083096409
Gd,Ho,3,184,57,0.18577990479912487,0.05410775305716374,0.1439782000862283,0.48704680496528896
Ho,Yb,3,166,57,0.0908350287119043,0.05525971798134266,0.03978798533728392,0.21289763743081885
La,Nd,3,242,77,0.2255736663676725,0.15525856568514984,0.07627910609735664,0.4630459552683949
Nd,Eu,3,222,80,0.3311246754901617,0.13230359725856042,0.21309331833709413,0.5466567272019446
Pr,Sm,3,164,70,0.3214611925404723,0.12278292132603741,0.21008969723513737,0.5384187902643914
Sm,Tb,3,144,59,0.20184062343790915,0.08242681431277059,0.12978830135674296,0.48477135253045944
Tb,Er,3,162,63,0.12286148316212613,0.048233626340505,0.08069164089302389,0.34474421219664975
Ce,Sm,4,181,65,0.5067350243387981,0.2902341923256834,0.23882972529922383,0.7408405507952432
Dy,Yb,4,176,58,0.14422433186628328,0.06425498935278284,0.08824993727752826,0.3440114782582545
Eu,Ho,4,126,51,0.27511179763850674,0.12262495136074499,0.16941787731904256,0.5920154555516565
Gd,Er,4,214,69,0.20604789934086404,0.08487879868253531,0.1304101328439729,0.5039694044766291
Ho,Lu,4,158,54,0.08828161071998389,0.041325280045903634,0.05238346549294993,0.23561684990589274
Nd,Gd,4,197,72,0.3921272832129281,0.15837564248275346,0.25215450499730413,0.6034733894641529
Pr,Eu,4,163,73,0.5181986988890687,0.17433047134705268,0.36230885070922003,0.6702422119567669
Sm,Dy,4,202,70,0.2741367162604824,0.11099195140752167,0.1744995717218101,0.5417847691390085
Tb,Tm,4,135,54,0.14556434732103313,0.0666315790753068,0.08798951057217086,0.343789883767451
Ce,Eu,5,176,68,0.7323093269034971,0.3749011578047893,0.3880215582742405,0.8726539355093359
Dy,Lu,5,182,60,0.1307356331130162,0.053857718126879894,0.08667050908532865,0.3276221493369906
Eu,Er,5,147,68,0.3560673993765277,0.15352321233381291,0.21866213995526884,0.6013784043802101
Gd,Tm,5,134,54,0.24971824882617172,0.10132241589447669,0.1661459061759435,0.5381271023021678
La,Sm,5,193,74,0.6773661708454061,0.3310687096382002,0.3765375211999478,0.88899578022248
Nd,Tb,5,136,59,0.6200401301141337,0.18548759611972368,0.4719820470975725,0.8545773891847475
Pr,Gd,5,133,62,0.6440905340279521,0.16622477262825738,0.512862899323453,0.7609432087934475
Sm,Ho,5,143,52,0.4346593208574987,0.10138464289458432,0.3662450270978969,0.6906306389253155
Tb,Yb,5,153,56,0.17456964023882202,0.07059116851505581,0.11401939543605748,0.39182167333924084
Ce,Gd,6,144,57,0.8889522410026044,0.45500805428310487,0.4895244161788065,0.9757962957623767
Eu,Tm,6,97,47,0.36791860425534395,0.14018220108446583,0.2577395948380186,0.6336471084129879
Gd,Yb,6,166,57,0.33461977876668403,0.11523431255294647,0.2394201896403806,0.655554531495112
La,Eu,6,220,83,0.9419378193658984,0.3972050442807874,0.5864854771754336,0.979559002958128
Nd,Dy,6,190,71,0.6275931240242429,0.21896878753300222,0.43586110388523897,0.8240863996049955
Pr,Tb,6,120,58,0.9080049563669608,0.21247232520999768,0.7386736555794611,0.9368214343464205
