n_shared,pearson,spearman,mae_shared_centred,mae_raw_centred,sf_mae,extractant,cell_a,cell_b,same_pub,dlog10_hno3
14,0.971425029442045,0.9768473412400903,0.053977147775018226,0.05397714777501828,0.082671101638155,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,b0a65fc4ebf31640,5336017ed36fd28f,0,
8,0.9750956186361707,0.9047619047619048,0.0627279276136575,0.06272792761365749,0.09793872800266833,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,b0a65fc4ebf31640,5a6a2f3bf13a7d55,0,
8,0.9750956186361707,0.9047619047619048,0.0627279276136575,0.06272792761365749,0.09793872800266833,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,b0a65fc4ebf31640,c61ecb085d8df371,0,
8,0.965394589381891,0.9285714285714286,0.06786908496431482,0.06432118834139912,0.09794134616137233,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,5336017ed36fd28f,5a6a2f3bf13a7d55,0,
8,0.965394589381891,0.9285714285714286,0.06786908496431482,0.06432118834139912,0.09794134616137233,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,5336017ed36fd28f,c61ecb085d8df371,0,
8,1.0000000000000002,1.0,0.0,0.0,0.0,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,5a6a2f3bf13a7d55,c61ecb085d8df371,1,0.0
6,0.9693103421413312,1.0,0.1840380306958739,0.1840380306958739,0.2767496653596637,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,4f2be71378594542,b35f13943d04ca50,1,
6,0.993944157311611,1.0,0.055313219435354714,0.05531321943535473,0.09505634314794295,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,4f2be71378594542,d871da32cd728745,1,
6,0.9918819253668946,1.0,0.0926208651399482,0.0926208651399482,0.1310941475826946,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,4f2be71378594542,ee9ed6c5b9f7b397,1,
5,0.9936472237660362,0.9999999999999998,0.09695528898582217,0.16436177753543893,0.14656488549618069,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,4f2be71378594542,9ed4efa5a12f8c67,1,
5,0.995633475242068,0.9999999999999998,0.07126134922001953,0.1738826790258094,0.11018075120677266,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,4f2be71378594542,0f9c166921b14844,1,
4,0.9993223238724327,0.9999999999999998,0.028503102832093258,0.028503102832093258,0.04901928101752656,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,4f2be71378594542,adf989d8af50b9a8,1,
5,0.9880978830558907,0.8999999999999998,0.08044820065430751,0.18477780806979316,0.1295601509442124,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,4f2be71378594542,71dc32e0ed7e16a2,1,
4,0.9750302648900977,0.9999999999999998,0.1238164632302935,0.272189658306071,0.19027567833119474,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,4f2be71378594542,519ef744e75b8881,1,
6,0.3935426684504281,0.5428571428571428,0.5366928177549665,0.5366928177549665,0.8400302653217182,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,4f2be71378594542,815c365f83ac70cf,1,
6,0.9637454061997623,1.0,0.12181461787439375,0.12181461787439375,0.198653285968142,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,4f2be71378594542,9a5a0eda0a6fd590,1,
6,0.8645644203785335,0.8285714285714286,0.19380953378667068,0.19380953378667085,0.32330957913924707,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,4f2be71378594542,e7c3a51331914d65,1,
6,0.7651358177527947,0.6,0.28452510811094195,0.28452510811094206,0.4347281578357608,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,4f2be71378594542,a155938e4ae9d704,1,
6,0.9743196226860503,1.0,0.21354435422906418,0.21354435422906418,0.3225127670596227,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,b35f13943d04ca50,d871da32cd728745,1,
6,0.9697200401235297,1.0,0.21916049381467118,0.21916049381467118,0.3683361040279996,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,b35f13943d04ca50,ee9ed6c5b9f7b397,1,
5,0.9548297125720638,0.9999999999999998,0.22393677049465238,0.2509424431551233,0.35667224314338514,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,b35f13943d04ca50,9ed4efa5a12f8c67,1,
5,0.9600565740857581,0.9999999999999998,0.07606512293425256,0.10972494258843384,0.129583185641225,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,b35f13943d04ca50,0f9c166921b14844,1,
4,0.904769001429868,0.9999999999999998,0.08994837746566303,0.09092251720936012,0.13061182993446452,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,b35f13943d04ca50,adf989d8af50b9a8,1,
5,0.922617732734988,0.8999999999999998,0.17272591434859863,0.22369187227632498,0.32094538513351933,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,b35f13943d04ca50,71dc32e0ed7e16a2,1,
4,0.9478922641882845,0.9999999999999998,0.19180953007996412,0.25889009772204696,0.25964839438440057,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,b35f13943d04ca50,519ef744e75b8881,1,
6,0.41872452454205183,0.5428571428571428,0.46188917485201036,0.46188917485201036,0.7048759909769626,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,b35f13943d04ca50,815c365f83ac70cf,1,
6,0.97010692114141,1.0,0.09491889864357883,0.09491889864357883,0.16403966536992493,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,b35f13943d04ca50,9a5a0eda0a6fd590,1,
6,0.8727073018733039,0.8285714285714286,0.22102579702047312,0.22102579702047323,0.3400494342378702,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,b35f13943d04ca50,e7c3a51331914d65,1,
6,0.7245539976718203,0.6,0.278230632587862,0.27823063258786196,0.4740095394758634,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,b35f13943d04ca50,a155938e4ae9d704,1,
6,0.9945127934534806,1.0,0.053762268266084524,0.053762268266084524,0.08974918211559306,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,d871da32cd728745,ee9ed6c5b9f7b397,1,
5,0.996614905240429,0.9999999999999998,0.04529334787350199,0.16127908033442337,0.07074154852780791,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,d871da32cd728745,9ed4efa5a12f8c67,1,
5,0.9802324742522132,0.9999999999999998,0.12216647462896073,0.18589649218465884,0.16633037473961185,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,d871da32cd728745,0f9c166921b14844,1,
4,0.9848070538588596,0.9999999999999998,0.09297965681246219,0.09297965681246219,0.14630924038422974,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,d871da32cd728745,adf989d8af50b9a8,1,
5,0.9560908945220091,0.8999999999999998,0.12844933435546313,0.19333833151581067,0.1970905449323538,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,d871da32cd728745,71dc32e0ed7e16a2,1,
4,0.9425276449196268,0.9999999999999998,0.15743849671226373,0.28654807342784205,0.2445648477061405,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,d871da32cd728745,519ef744e75b8881,1,
6,0.47353460696650257,0.5428571428571428,0.5147916908920053,0.5147916908920053,0.8045886077426555,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,d871da32cd728745,815c365f83ac70cf,1,
6,0.9700159254865636,1.0,0.1350259016521577,0.13502590165215775,0.21043449949665124,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,d871da32cd728745,9a5a0eda0a6fd590,1,
6,0.864357500318166,0.8285714285714286,0.21774207118380384,0.21774207118380398,0.35090028463487105,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,d871da32cd728745,e7c3a51331914d65,1,
6,0.7363548085369799,0.6,0.33608211768321583,0.33608211768321583,0.4959001997096136,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,d871da32cd728745,a155938e4ae9d704,1,
5,0.9976941353391883,0.9999999999999998,0.04173827699018588,0.18408169756452164,0.07600327153762403,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,ee9ed6c5b9f7b397,9ed4efa5a12f8c67,1,
5,0.9874290566597493,0.9999999999999998,0.11652547862495075,0.19790303525990435,0.18771716118270768,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,ee9ed6c5b9f7b397,0f9c166921b14844,1,
4,0.962780293412851,0.9999999999999998,0.06671829618212449,0.061721558947057505,0.12089035580220524,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,ee9ed6c5b9f7b397,adf989d8af50b9a8,1,
5,0.9709177972826598,0.8999999999999998,0.10626229525897113,0.19790303525990438,0.15625919107723335,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,ee9ed6c5b9f7b397,71dc32e0ed7e16a2,1,
4,0.9760201038921755,0.9999999999999998,0.10018658831531832,0.2952176481279522,0.1697556874007982,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,ee9ed6c5b9f7b397,519ef744e75b8881,1,
6,0.48814414806129436,0.5428571428571428,0.5249879831493668,0.5249879831493668,0.8210989676117947,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,ee9ed6c5b9f7b397,815c365f83ac70cf,1,
6,0.9674421708242478,1.0,0.15503680677756687,0.1550368067775669,0.23892652413256782,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,ee9ed6c5b9f7b397,9a5a0eda0a6fd590,1,
6,0.9094756609364303,0.8285714285714286,0.19664728769639508,0.19664728769639508,0.32785330254211,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,ee9ed6c5b9f7b397,e7c3a51331914d65,1,
6,0.7990037386447375,0.6,0.3036938952186589,0.303693895218659,0.4735010721196475,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,ee9ed6c5b9f7b397,a155938e4ae9d704,1,
4,0.9887293103535503,0.9999999999999998,0.11930659756387671,0.35537985651322357,0.174024165085413,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,9ed4efa5a12f8c67,0f9c166921b14844,1,
4,0.9870851389683771,0.9999999999999998,0.07968221951693535,0.22035918756815673,0.1282839768437015,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,9ed4efa5a12f8c67,adf989d8af50b9a8,1,
4,0.9520411710648821,0.7999999999999998,0.08136217230638043,0.4266091875681556,0.14856490079215465,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,9ed4efa5a12f8c67,71dc32e0ed7e16a2,1,
5,0.5979387563365804,0.6999999999999998,0.45511514490840044,0.4537986579539403,0.7468115136408091,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,9ed4efa5a12f8c67,815c365f83ac70cf,1,
5,0.9423471902400485,0.9999999999999998,0.1998035451977183,0.285289666410813,0.2906324191870371,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,9ed4efa5a12f8c67,9a5a0eda0a6fd590,1,
5,0.8018064390333919,0.6999999999999998,0.2604779664458466,0.27105033432591713,0.42662336592390515,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,9ed4efa5a12f8c67,e7c3a51331914d65,1,
