extractant,extractant_name,chemotype,n_cells,n_publications,n_pairs,mean_pearson,mean_spearman,mean_mae,median_mae,mean_sf_mae,median_sf_mae,mean_n_shared,n_pairs_samepub,mean_pearson_samepub,mean_spearman_samepub,mean_mae_samepub,mean_sf_mae_samepub,n_pairs_diffpub,mean_pearson_diffpub,mean_spearman_diffpub,mean_mae_diffpub,mean_sf_mae_diffpub
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,TODGA,sc009,171,18,2245,0.7122023417902712,0.6704055773296357,0.23740925329556456,0.1706054225412028,0.35227781008154657,0.2630279592505227,7.096659242761692,303,0.9002483471197048,0.8621110920389574,0.2443555359838035,0.3486363937116327,1942,0.6824177418870728,0.6400413478696648,0.23632546150641093,0.35284596103936516
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,DMDODGA,sc009,74,5,375,0.7430271678757728,0.7412114358992697,0.2705198904224151,0.22417777777777775,0.41623865292355006,0.35839566616800633,6.237333333333333,225,0.7950866342919415,0.7845419564639166,0.16758558295228593,0.26644278246711384,150,0.6649379682515196,0.6762156550522993,0.42492135162760886,0.640932458608204
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,TBDGA,sc009,33,4,15,0.8733010727459807,0.8810718586255011,0.27327820851809886,0.30596401433019926,0.41609764187529746,0.4494462329080575,5.666666666666667,11,0.8692563927836479,0.8564251284691162,0.22536701457084155,0.3394146320680231,4,0.8824016026612291,0.936527001477367,0.40503399187305633,0.6269759188453021
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,TDdDGA,sc009,21,2,26,0.6178877210140475,0.6062271062271061,0.22903690237156216,0.18537877390524243,0.34816018083701117,0.28038926913654566,5.5,18,0.624831751492605,0.6089947089947089,0.1858690313176233,0.2791395169239398,8,0.6022636524372933,0.5999999999999999,0.3261646122429246,0.5034566746414216
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,DHD2DGA,sc009,20,1,190,0.4933235232837589,0.49931557620420475,0.09301888794591075,0.06566100177706242,0.1378766734696997,0.10116296859572477,6.0,190,0.4933235232837589,0.49931557620420475,0.09301888794591075,0.1378766734696997,0,,,,
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,DBD1MHDGA,sc018,17,1,76,0.7915541049367582,0.78703007518797,0.2154704975743208,0.18292985295031927,0.34461244606641733,0.26819902987203215,5.065789473684211,76,0.7915541049367582,0.78703007518797,0.2154704975743208,0.34461244606641733,0,,,,
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,C5BTBP,sc061,16,2,120,0.8836959063083387,0.9148935152559593,0.250872340960709,0.19764789923885898,0.34778099244619176,0.29389214174895417,12.875,105,0.8844297711783168,0.9111506844578479,0.2512883922836205,0.3457779952814112,15,0.8785588522184925,0.9410933308427382,0.24795998170032826,0.3618019725996555
CCN(CC)C(=O)COCC(=O)N(CC)CC,TEDGA,sc071,12,1,30,0.5591116140744622,0.5167698811569277,0.08583319939997838,0.08389585342333619,0.12701060752169716,0.1245901639344259,7.0,30,0.5591116140744622,0.5167698811569277,0.08583319939997838,0.12701060752169716,0,,,,
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,DMDPDGA,sc076,11,3,30,0.3939493725375557,0.4185769854165823,0.20300815913752096,0.17780074667839646,0.3097134697016177,0.2682303690018252,6.0,12,0.3865297421431447,0.3332947844531488,0.1429051149795833,0.21987657732338614,18,0.3988957928004963,0.4754317860588713,0.2430768552428128,0.3696047312871054
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,DMDPhPDA,sc077,10,1,45,0.38627713257472474,0.4284843895957456,0.29199708957035464,0.2972111730714286,0.4014604368413246,0.39914383921544166,14.0,45,0.38627713257472474,0.4284843895957456,0.29199708957035464,0.4014604368413246,0,,,,
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,DOODA (C12),sc009,10,1,20,0.7813712219957071,0.7733333333333334,0.14243369657977265,0.1336310444273245,0.21151413328593285,0.20312938531926805,7.0,20,0.7813712219957071,0.7733333333333334,0.14243369657977265,0.21151413328593285,0,,,,
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,TPrDGA,sc009,9,1,16,0.4306296839033785,0.3170468577457539,0.16876392471857443,0.11976235146966849,0.26115066336102905,0.19080675422138826,6.25,16,0.4306296839033785,0.3170468577457539,0.16876392471857443,0.26115066336102905,0,,,,
