,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
La,0.922181,0.76064,0.633338,0.471795,0.14888,0.0089345,-0.0940129,-0.284988,-0.266284,-0.439513,-0.409178,-0.532098,-0.510831,-0.408864
Ce,0.76064,0.682542,0.557204,0.390589,0.114376,-0.00607074,-0.0817728,-0.194849,-0.260515,-0.351512,-0.38442,-0.413616,-0.39355,-0.419044
Pr,0.633338,0.557204,0.525058,0.358728,0.12827,0.0222424,-0.0380841,-0.145487,-0.227186,-0.304547,-0.373691,-0.363942,-0.368598,-0.403306
Nd,0.471795,0.390589,0.358728,0.246983,0.0753153,-0.0232581,-0.0511399,-0.140542,-0.137393,-0.219501,-0.188638,-0.295484,-0.244136,-0.243318
Sm,0.14888,0.114376,0.12827,0.0753153,0.0529444,0.012417,-0.0122211,-0.0284619,-0.0576835,-0.0822618,-0.06889,-0.0942942,-0.0912283,-0.0971614
Eu,0.0089345,-0.00607074,0.0222424,-0.0232581,0.012417,0.037626,0.0159683,0.028725,0.00119855,-0.0101472,-0.0401413,-0.0132102,-0.0213155,-0.0129688
Gd,-0.0940129,-0.0817728,-0.0380841,-0.0511399,-0.0122211,0.0159683,0.0428648,0.0454987,0.0304904,0.0371382,0.0374879,0.0485095,0.0110223,0.00825077
Tb,-0.284988,-0.194849,-0.145487,-0.140542,-0.0284619,0.028725,0.0454987,0.0919726,0.074522,0.116625,0.103635,0.12514,0.115601,0.0926094
Dy,-0.266284,-0.260515,-0.227186,-0.137393,-0.0576835,0.00119855,0.0304904,0.074522,0.105825,0.148093,0.148632,0.164506,0.1377,0.138093
Ho,-0.439513,-0.351512,-0.304547,-0.219501,-0.0822618,-0.0101472,0.0371382,0.116625,0.148093,0.217191,0.215915,0.237438,0.220078,0.215003
Er,-0.409178,-0.38442,-0.373691,-0.188638,-0.06889,-0.0401413,0.0374879,0.103635,0.148632,0.215915,0.238159,0.246995,0.229497,0.244638
Tm,-0.532098,-0.413616,-0.363942,-0.295484,-0.0942942,-0.0132102,0.0485095,0.12514,0.164506,0.237438,0.246995,0.303872,0.301587,0.284597
Yb,-0.510831,-0.39355,-0.368598,-0.244136,-0.0912283,-0.0213155,0.0110223,0.115601,0.1377,0.220078,0.229497,0.301587,0.313799,0.300373
Lu,-0.408864,-0.419044,-0.403306,-0.243318,-0.0971614,-0.0129688,0.00825077,0.0926094,0.138093,0.215003,0.244638,0.284597,0.300373,0.301097
