component,basis,pearson_r,r2
pc1,radius,-0.9881,0.9764
pc1,radius_sq,-0.5001,0.2501
pc1,inv_radius,0.9815,0.9634
pc1,radius_cn9,-0.9875,0.9751
pc1,hydration,-0.9728,0.9464
pc1,gd_break,0.8756,0.7668
pc1,tetrad_e1,-0.1456,0.0212
pc1,tetrad_e3,-0.0224,0.0005
pc2,radius,-0.0917,0.0084
pc2,radius_sq,0.6561,0.4305
pc2,inv_radius,0.1268,0.0161
pc2,radius_cn9,-0.0820,0.0067
pc2,hydration,-0.1149,0.0132
pc2,gd_break,0.0371,0.0014
pc2,tetrad_e1,0.2354,0.0554
pc2,tetrad_e3,-0.1062,0.0113
pc3,radius,-0.0771,0.0059
pc3,radius_sq,0.3859,0.1489
pc3,inv_radius,0.0991,0.0098
pc3,radius_cn9,-0.0797,0.0063
pc3,hydration,-0.1451,0.0211
pc3,gd_break,-0.0388,0.0015
pc3,tetrad_e1,0.0271,0.0007
pc3,tetrad_e3,-0.0786,0.0062
pc4,radius,-0.0171,0.0003
pc4,radius_sq,0.0810,0.0066
pc4,inv_radius,0.0218,0.0005
pc4,radius_cn9,-0.0237,0.0006
pc4,hydration,0.0147,0.0002
pc4,gd_break,-0.1613,0.0260
pc4,tetrad_e1,0.6381,0.4072
pc4,tetrad_e3,-0.4094,0.1676
