source,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
La,,187.0,170.0,242.0,193.0,220.0,157.0,131.0,151.0,131.0,149.0,98.0,120.0,138.0
Ce,187.0,,169.0,193.0,181.0,176.0,144.0,128.0,133.0,121.0,127.0,101.0,117.0,118.0
Pr,170.0,169.0,,172.0,164.0,163.0,133.0,120.0,122.0,111.0,115.0,87.0,104.0,104.0
Nd,242.0,193.0,172.0,,234.0,222.0,197.0,136.0,190.0,144.0,173.0,101.0,129.0,136.0
Sm,193.0,181.0,164.0,234.0,,203.0,204.0,144.0,202.0,143.0,176.0,102.0,127.0,133.0
Eu,220.0,176.0,163.0,222.0,203.0,,177.0,142.0,161.0,126.0,147.0,97.0,121.0,133.0
Gd,157.0,144.0,133.0,197.0,204.0,177.0,,188.0,237.0,184.0,214.0,134.0,166.0,171.0
Tb,131.0,128.0,120.0,136.0,144.0,142.0,188.0,,181.0,158.0,162.0,135.0,153.0,155.0
Dy,151.0,133.0,122.0,190.0,202.0,161.0,237.0,181.0,,185.0,220.0,143.0,176.0,182.0
Ho,131.0,121.0,111.0,144.0,143.0,126.0,184.0,158.0,185.0,,188.0,143.0,166.0,158.0
Er,149.0,127.0,115.0,173.0,176.0,147.0,214.0,162.0,220.0,188.0,,153.0,174.0,177.0
Tm,98.0,101.0,87.0,101.0,102.0,97.0,134.0,135.0,143.0,143.0,153.0,,147.0,146.0
Yb,120.0,117.0,104.0,129.0,127.0,121.0,166.0,153.0,176.0,166.0,174.0,147.0,,164.0
Lu,138.0,118.0,104.0,136.0,133.0,133.0,171.0,155.0,182.0,158.0,177.0,146.0,164.0,
