extractant,mae,n_pairs,n_cells
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.07955273668733283,242,6
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.08241144312761625,140,5
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.08546784000612245,59,3
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,0.08675279750549485,182,2
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.09407689450292434,300,20
CCN(CC)C(=O)COCC(=O)N(CC)CC,0.1005853199076046,258,12
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.12173539664443762,14,14
CCCCN(C)C(=O)CC(=O)N(C)CCCC,0.1454213374285716,7,3
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,0.1534421091834082,178,9
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,0.1551683416697655,63,3
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.22012548266666668,6,2
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.22034710761523163,243,11
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.25771342374671563,1236,16
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],0.2747641718241758,182,2
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.2890957765243509,170,17
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.29679261376318294,229,10
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.32320962939742226,910,10
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.3394521996799061,247,21
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,0.3637799646111097,72,2
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.43793182967628574,3457,171
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,0.4482560624255405,179,33
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,0.5118833600000001,2,2
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.5158225031681595,1282,74
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,1.0403976669230772,182,2
