arm,clip_lo,clip_hi,n_eval_pairs,macro_mae_base,macro_mae_calibrated,gain
C_DIRECT_ROW,0.5,2.0,70300,0.47372077001991436,0.38554086737974014,0.08817990264017422
C_DIRECT_ROW,0.8,1.25,70300,0.47372077001991436,0.43855750056069887,0.035163269459215496
C_DIRECT_ROW,0.25,4.0,70300,0.47372077001991436,0.354744257342589,0.11897651267732534
M_SELECTED,0.5,2.0,70300,0.4802901979377106,0.3878335291001382,0.09245666883757242
M_SELECTED,0.8,1.25,70300,0.4802901979377106,0.4402731781354139,0.040017019802296716
M_SELECTED,0.25,4.0,70300,0.4802901979377106,0.35987926312402096,0.12041093481368964
M_PHYSICS_radius+radius_sq,0.5,2.0,70300,0.4767845019069428,0.3871673776550977,0.08961712425184515
M_PHYSICS_radius+radius_sq,0.8,1.25,70300,0.4767845019069428,0.4386990599009503,0.03808544200599251
M_PHYSICS_radius+radius_sq,0.25,4.0,70300,0.4767845019069428,0.35773372086521205,0.11905078104173078
M_LOWRANK_K2,0.5,2.0,70300,0.4737536233236894,0.3799597948966046,0.09379382842708484
M_LOWRANK_K2,0.8,1.25,70300,0.4737536233236894,0.43267801892140645,0.04107560440228297
M_LOWRANK_K2,0.25,4.0,70300,0.4737536233236894,0.3687154602648375,0.10503816305885194
X_ENS_DIRECT+LOWRANK_K2,0.5,2.0,70300,0.4593733813720224,0.3691299286850566,0.09024345268696576
X_ENS_DIRECT+LOWRANK_K2,0.8,1.25,70300,0.4593733813720224,0.42148011476208164,0.037893266609940746
X_ENS_DIRECT+LOWRANK_K2,0.25,4.0,70300,0.4593733813720224,0.3430428544890602,0.11633052688296219
