,cell_equal,extractant_macro,excl_sc009,n_cells_sc009,n_cells_other
La,0.011721892771641875,-0.0027551079182223963,-0.029362719452518643,102,92
Ce,0.03323752780116001,0.03771673948582248,0.03834523864113943,90,88
Pr,0.0016557293181489003,-0.004990269485089617,0.011675297205941609,69,95
Nd,-0.0625495041255726,-0.04410011309592272,-0.007098421903052779,124,104
Sm,0.011453388288494471,0.03401541695365304,0.038482946867014714,123,104
Eu,0.0025529119888444193,-0.010552521018076903,0.0018101633259831396,101,95
Gd,-0.07154223452529476,-0.07448569807193155,-0.12714818685745347,123,102
Tb,0.040137762345596927,0.04250866224286315,0.01069508423369018,82,88
Dy,0.03311993014725623,0.027456214469090058,0.020065357440581133,121,100
Ho,0.05788651261536924,0.03360017760002963,0.05466316238201812,104,77
Er,0.029376690414576693,0.010631191901299252,0.03665760370126702,117,92
Tm,0.01304487406215116,0.017429276010208668,0.021868280915149217,77,59
Yb,-0.024474158391114078,-0.02565337403848192,-0.006024709636562567,82,84
Lu,-0.05725071454326909,-0.026725631782892563,-0.04687400346303477,93,76
