comparison,status,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,mae_all,C_DIRECT_ROW,M_SELECTED,-0.007907174620360167,-0.03239355355751883,0.025939525710535764,-0.031308658674263766,0.02821425626610121,0.5712,0.014561622132625539,0.04077254197135151,-0.007625474926033858,90,37,0,5,-0.014973097841740059,-0.001868345469087342,True,0.02,False,False
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,mae_all,B1_MEAN_CURVE,M_SELECTED,0.11394966819623026,0.04035090946689253,0.16366986466708133,0.047717021922790905,0.16757370145944153,0.0016,0.032163199444228296,0.09005695844383922,0.10191491655724079,90,61,5,5,0.08619475581432841,0.13401473789730578,True,0.02,True,True
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,mae_far,C_DIRECT_ROW,M_SELECTED,-0.01508887266519274,-0.052739697277330494,0.03340062006793867,-0.051982571677290056,0.03448560807691094,0.4852,0.021781046121806275,0.060986929141057564,-0.021796206390433562,88,37,0,5,-0.02670819433736611,-0.0052382911900408285,True,0.02,False,
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,mae_far,B1_MEAN_CURVE,M_SELECTED,0.18054192363424734,0.05542906263547698,0.2611943039491732,0.07113881226965729,0.26780146499616886,0.002,0.05314659570905283,0.14881046798534792,0.14994349994433206,88,58,5,5,0.13478748069660978,0.21353229712734395,True,0.02,True,
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,mae_adjacent,C_DIRECT_ROW,M_SELECTED,-0.005631979852551689,-0.018220958678770032,0.0030447274053331664,-0.017833254748732826,0.0033567050036530316,0.2136,0.005353504978140623,0.014989813938793742,-0.012605187414310309,83,33,1,5,-0.00803386758340312,-0.004092525642758173,True,0.02,False,
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,mae_adjacent,B1_MEAN_CURVE,M_SELECTED,0.023044507965942693,0.008045564789535178,0.034670456990537696,0.009229251157542955,0.035934634086435796,0.002,0.006899775518643817,0.019319371452202687,0.024568255528761455,83,55,5,5,0.017664470931733726,0.025990100470847176,True,0.02,True,
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,sign_acc_strong,C_DIRECT_ROW,M_SELECTED,-0.02649979782493536,-0.0549724773799237,0.009487267475687605,-0.056538224793430104,0.007829504836148136,0.1312,0.016200660521033822,0.0453618494588947,-0.016845036883199757,86,26,0,5,-0.032549402216627624,-0.019752736622875775,True,0.02,False,
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,sign_acc_strong,B1_MEAN_CURVE,M_SELECTED,0.1451812998534548,0.04106115835439161,0.29565041632988154,0.03387513834156061,0.28241710703522993,0.0044,0.06530216768277224,0.18284606951176224,0.17063632030635695,86,50,5,5,0.11951468399426621,0.19304667094949612,True,0.02,True,
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,pair_spearman,C_DIRECT_ROW,M_SELECTED,-0.0498769029148623,-0.11063727064565629,0.0051936162364445,-0.11157935168477649,0.004401251442904972,0.0748,0.028878577485375465,0.08086001695905129,-0.03408847525961359,84,30,0,5,-0.05971613729194303,-0.03976189672689142,True,0.02,False,
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,pair_spearman,B1_MEAN_CURVE,M_SELECTED,0.20574908717513157,0.07517757251210529,0.3870729991299264,0.061951159336213917,0.3722111856254757,0.0012,0.0806214187242531,0.22573997242790866,0.25390476125303163,84,62,5,5,0.1751557739022281,0.2589057097017199,True,0.02,True,
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,curve_spearman,C_DIRECT_ROW,M_SELECTED,-0.02523971576755651,-0.07115307368389168,0.040483916509201516,-0.06981887932186395,0.042360433299905235,0.3692,0.028107502524872756,0.07870100706964371,0.008592541844706555,84,34,0,5,-0.036447653085928976,-0.015749041855286767,True,0.02,False,
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,curve_spearman,B1_MEAN_CURVE,M_SELECTED,0.29186723127936837,0.12062905389573456,0.5440728840650352,0.09324660095296278,0.5105058471967868,0.0008,0.11078262087085955,0.31019133843840674,0.36588960312040447,84,60,5,5,0.24996768825542084,0.3765376194120608,True,0.02,True,
