comparison,status,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,mae_all,C_DIRECT_ROW,M_SELECTED,-0.022920557751882824,-0.04592253474890281,0.013925325656404574,-0.047866471796663645,0.00988849460438237,0.1904,0.01529007281696607,0.04281220388750499,-0.014330681449333863,90,33,0,5,-0.027600781361788965,-0.012146221166288848,True,0.02,False,False
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,mae_all,B1_MEAN_CURVE,M_SELECTED,0.1076923634981038,0.03797469255676605,0.15650389847791657,0.03933459394958277,0.1572574166962462,0.0012,0.030756144217105208,0.08611720380789457,0.11077173608461395,90,60,5,5,0.08444497874093522,0.12856677314604234,True,0.02,True,True
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,mae_far,C_DIRECT_ROW,M_SELECTED,-0.032651521475709676,-0.06946104127317054,0.020492160109489285,-0.07478826588995895,0.013891340801833792,0.2244,0.02314795461562936,0.0648142729237622,-0.02542956539076793,88,37,0,5,-0.04037949013160025,-0.014908483578963738,True,0.02,False,
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,mae_far,B1_MEAN_CURVE,M_SELECTED,0.17523067779624324,0.055556498664679016,0.25725859388586086,0.058493128764935017,0.25902973373992955,0.002,0.05117788565439602,0.14329807983230886,0.16634600816020723,88,57,5,5,0.13742253825942613,0.20862181089985277,True,0.02,True,
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,mae_adjacent,C_DIRECT_ROW,M_SELECTED,-0.014388738403479175,-0.023770481693455397,-0.0059974691213222665,-0.024005055875467963,-0.006119607863093751,0.0008,0.004415470594949791,0.012363317665859415,-0.018811234681536174,83,28,0,5,-0.015851095211514104,-0.013116268976225153,True,0.02,False,
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,mae_adjacent,B1_MEAN_CURVE,M_SELECTED,0.019611120600178025,0.0067283072197919375,0.03173163034276976,0.006053274388282538,0.030582034724101186,0.004,0.006208001847571099,0.017382405173199077,0.02504842131964927,83,52,5,5,0.017530867893896795,0.023163866378727693,True,0.02,True,
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,sign_acc_strong,C_DIRECT_ROW,M_SELECTED,-0.024204283614055643,-0.04162508065737202,-0.004564069100764811,-0.04264925071829919,-0.005707954243028071,0.0156,0.009193410938426327,0.025741550627593715,-0.019470466245957156,86,21,0,5,-0.02684198106833865,-0.02079554849898948,True,0.02,False,
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,sign_acc_strong,B1_MEAN_CURVE,M_SELECTED,0.10910389791883914,-0.003074626416107093,0.25399275534207466,-0.011459744738352614,0.24506440911794686,0.0584,0.06387373961640615,0.1788464709259372,0.1364084283490335,86,51,5,5,0.08198984871376373,0.1418668974425232,True,0.02,False,
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,pair_spearman,C_DIRECT_ROW,M_SELECTED,-0.0689098422624688,-0.12409503695135522,-0.03018956846489705,-0.1176069668686268,-0.027092593788166353,0.0012,0.02335198322687392,0.06538555303524697,-0.07771193630790095,84,25,0,5,-0.08414483346629052,-0.06204154042818367,True,0.02,False,
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,pair_spearman,B1_MEAN_CURVE,M_SELECTED,0.16547186452856674,0.030159726260978188,0.337592858455451,0.015930070887312412,0.320565894310006,0.0168,0.07746018679917777,0.21688852303769773,0.22146976884160735,84,58,5,5,0.13616791213769228,0.2133407829479355,True,0.02,True,
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,curve_spearman,C_DIRECT_ROW,M_SELECTED,-0.04550211561703114,-0.08137913490394116,-0.007072166379897326,-0.08307938186055816,-0.008843505978069316,0.0276,0.018486149851652575,0.051761219584627205,-0.036771237904178085,84,28,0,5,-0.051597496220666776,-0.039291805812848836,True,0.02,False,
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,curve_spearman,B1_MEAN_CURVE,M_SELECTED,0.23917261168989587,0.06181546119343255,0.4821892589525253,0.036233287191609585,0.4526176749326359,0.0108,0.10558274412433158,0.2956316835481284,0.30479047652649066,84,53,5,5,0.19241962003668317,0.2989439099821427,True,0.02,True,
