comparison,status,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
X_V2_DIRECT@cond_vs_C_DIRECT_ROW,exploratory,mae_all,C_DIRECT_ROW,V2_DIRECT@cond,0.0243764097103397,-0.050726895939716014,0.07880877129660953,-0.03679828976969938,0.08981565484757618,0.574,0.03396004974839801,0.09508813929551442,0.009087622399426478,90,55,4,5,-0.008746117494706596,0.03705800540518747,False,0.02,False,False
X_V2_BAG_MIX3_vs_C_DIRECT_ROW,exploratory,mae_all,C_DIRECT_ROW,V2_BAG_MIX3,0.037571400402878916,-0.005848464950837636,0.07378276003434096,-0.0041129464171441145,0.07518094505115473,0.0886,0.020064166194139865,0.05617966534359162,0.031111460248079405,90,49,5,5,0.028216259903556324,0.046990589075393364,True,0.02,False,False
X_V2_BAG_MIX5_vs_C_DIRECT_ROW,exploratory,mae_all,C_DIRECT_ROW,V2_BAG_MIX5,0.03683814880495233,0.0015439880108291094,0.06953895034170322,0.002912087158394811,0.07047167528571391,0.0384,0.016964540401717715,0.0475007131248096,0.03126114718536164,90,51,5,5,0.029432476686421884,0.043907351619607626,True,0.02,True,True
X_V2_BAG4@lean_vs_C_DIRECT_ROW,exploratory,mae_all,C_DIRECT_ROW,V2_BAG4@lean,0.027744636493391046,-0.0023107725181945636,0.0632787389753814,0.0002295404263859759,0.06712342722063659,0.0696,0.01640109131953935,0.045923055694710176,0.022868596094399774,90,51,5,5,0.019335321568237016,0.033410150367685416,True,0.02,False,False
X_V2_BAG4@cond_vs_C_DIRECT_ROW,exploratory,mae_all,C_DIRECT_ROW,V2_BAG4@cond,0.01165866789357913,-0.04838742276607566,0.0561881993422376,-0.04282010249670693,0.060026074386482144,0.698,0.026842783401388504,0.07515979352388781,0.006329354338501905,90,45,3,5,-0.00865709246507478,0.023651711360278174,False,0.02,False,False
X_V2_CAL_BAG4@lean_vs_C_DIRECT_ROW,exploratory,mae_all,C_DIRECT_ROW,V2_CAL_BAG4@lean,0.020735308181314263,-0.010666760036865579,0.06106721091743537,-0.008770757265350596,0.06454630029030026,0.1962,0.017893849562698995,0.05010277877555718,0.020252502472662165,90,51,4,5,0.011574996560769562,0.02633401213264498,True,0.02,False,False
X_V2_LOWRANK_K2@lean_vs_C_DIRECT_ROW,exploratory,mae_all,C_DIRECT_ROW,V2_LOWRANK_K2@lean,0.01878149688387487,-0.018077245422539343,0.06096068180668123,-0.015288261711802729,0.06539796000850567,0.3136,0.019804448235745536,0.055452455060087495,0.008730642704515765,90,47,3,5,0.008464562086061821,0.0260238896219647,True,0.02,False,False
X_V2_PHYSICS@lean_vs_C_DIRECT_ROW,exploratory,mae_all,C_DIRECT_ROW,V2_PHYSICS@lean,0.01302589165638938,-0.02169237099224381,0.05367466112202053,-0.020184804555549548,0.05636124156000246,0.4574,0.01890033009169152,0.05292092425673625,0.008669159059719968,90,47,3,5,0.0038640028007812504,0.0211560278578709,True,0.02,False,False
X_V2_BAG_MIX3_vs_V2_DIRECT@cond,exploratory,mae_all,V2_DIRECT@cond,V2_BAG_MIX3,0.01319499069253922,-0.022377666015103843,0.06497191516198034,-0.03178345810015398,0.05378881435880196,0.4924,0.02296861470846686,0.0643121211837072,0.022023837848652923,90,46,5,5,0.004408599334273621,0.03696237739826292,True,0.02,False,False
X_V2_BAG_MIX5_vs_V2_DIRECT@cond,exploratory,mae_all,V2_DIRECT@cond,V2_BAG_MIX5,0.01246173909461263,-0.02846235851815199,0.07005223943504553,-0.04014999737931051,0.05824475974421213,0.5622,0.02612142728541821,0.07313999639917099,0.02217352478593516,90,47,5,5,0.0025004329562488673,0.04013503792861137,True,0.02,False,False
X_V2_BAG4@lean_vs_V2_DIRECT@cond,exploratory,mae_all,V2_DIRECT@cond,V2_BAG4@lean,0.0033682267830513423,-0.04701787174320452,0.07362680278726985,-0.06138920963454351,0.05936588223002685,0.8344,0.03205861326415157,0.08976411713962439,0.013780973694973291,90,45,3,5,-0.008368196740231312,0.037472148029823835,False,0.02,False,False
X_V2_LOWRANK_K2@lean_vs_V2_DIRECT@cond,exploratory,mae_all,V2_DIRECT@cond,V2_LOWRANK_K2@lean,-0.005594912826464831,-0.05721783251343956,0.0661425933841238,-0.07000877308313523,0.051907078118026584,0.9424,0.032591542305215514,0.09125631845460343,-0.0003569796949107171,90,37,2,5,-0.017558508429828833,0.027931775826372584,False,0.02,False,False
X_V2_BAG_MIX5_vs_V2_BAG_MIX3,exploratory,mae_all,V2_BAG_MIX3,V2_BAG_MIX5,-0.0007332515979265871,-0.007891790003978888,0.009262406808413672,-0.008847458983826134,0.007965808906066065,0.9144,0.004470511209243137,0.012517431385880781,0.00014968693728224206,90,42,1,5,-0.0030832374557857346,0.0031726605303484504,False,0.02,False,False
X_V2_DIRECT@cond_vs_C_DIRECT_ROW,exploratory,mae_far,C_DIRECT_ROW,V2_DIRECT@cond,0.04645358577706174,-0.0737937926112275,0.1313864915417524,-0.054058880240941284,0.14588711351329653,0.4802,0.05395155378757997,0.1510643506052239,0.017547108989479598,88,51,5,5,-0.007413236768719421,0.06747612922063446,False,0.02,False,
X_V2_BAG_MIX3_vs_C_DIRECT_ROW,exploratory,mae_far,C_DIRECT_ROW,V2_BAG_MIX3,0.06282251450888457,-0.008482530178979377,0.12320808904409784,-0.006703646609812755,0.1251784901465135,0.0856,0.03336951878740541,0.09343465260473514,0.04816302501682801,88,47,5,5,0.046603746644699934,0.07980254724910536,True,0.02,False,
X_V2_BAG_MIX5_vs_C_DIRECT_ROW,exploratory,mae_far,C_DIRECT_ROW,V2_BAG_MIX5,0.06160539399966531,0.002747635016937989,0.11669048978872959,0.004953123049361399,0.11896123246090037,0.0396,0.02851178527608248,0.07983299877303095,0.04939283988685858,88,50,5,5,0.049618641425234235,0.07483992487585167,True,0.02,True,
X_V2_BAG4@lean_vs_C_DIRECT_ROW,exploratory,mae_far,C_DIRECT_ROW,V2_BAG4@lean,0.048040757650513716,-0.003424899178756007,0.10809459593672326,-0.0002452731075062548,0.11233805027461725,0.0674,0.027522793793841756,0.07706382262275692,0.036696798054689866,88,50,5,5,0.034538946678932585,0.05905316935104681,True,0.02,False,
X_V2_BAG4@cond_vs_C_DIRECT_ROW,exploratory,mae_far,C_DIRECT_ROW,V2_BAG4@cond,0.023047487454222138,-0.07508399434100035,0.09391847700896619,-0.06870839537166608,0.09780762225496131,0.634,0.043588243126678056,0.12204708075469854,0.006327049109717941,88,45,3,5,-0.008290252953966496,0.04425605802423835,False,0.02,False,
X_V2_CAL_BAG4@lean_vs_C_DIRECT_ROW,exploratory,mae_far,C_DIRECT_ROW,V2_CAL_BAG4@lean,0.03881219679800959,-0.015654344482013038,0.10485208906730559,-0.012069203178300856,0.10989841080607633,0.1554,0.029692086924627152,0.08313784338895602,0.03380398062545825,88,50,4,5,0.024120990700364584,0.04980086091233834,True,0.02,False,
X_V2_LOWRANK_K2@lean_vs_C_DIRECT_ROW,exploratory,mae_far,C_DIRECT_ROW,V2_LOWRANK_K2@lean,0.037434906498874244,-0.02637637032664527,0.10691998130730868,-0.021573014400510338,0.11386560604379808,0.2354,0.03306066128913861,0.0925698516095881,0.015817940317763242,88,45,4,5,0.020766850409789574,0.05057442431865669,True,0.02,False,
X_V2_PHYSICS@lean_vs_C_DIRECT_ROW,exploratory,mae_far,C_DIRECT_ROW,V2_PHYSICS@lean,0.02598119959158267,-0.03403731350518135,0.09576782508276244,-0.03212590542737358,0.09788071849621803,0.3838,0.03198544554304562,0.08955924752052773,0.014547477614896944,88,44,4,5,0.011967158051516644,0.041262589369628254,True,0.02,False,
