comparison,dropped_chemotype,delta,n_units
M_LOWRANK_K2_vs_C_DIRECT_ROW,(none),-0.024433524470339866,90
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc000,-0.024374601561016267,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc001,-0.025782396034717697,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc007,-0.019904410023704744,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc008,-0.026450709601709196,88
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc009,-0.0007177654048889362,67
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc010,-0.02367729554540432,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc012,-0.02705895962793733,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc015,-0.02348632185085948,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc016,-0.02489702474659416,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc017,-0.023974541985638646,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc018,-0.0231893379054802,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc019,-0.022469788404937158,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc020,-0.023723149201588467,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc021,-0.02244060824327868,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc027,-0.010597006979633006,84
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc028,-0.02698328878367775,88
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc029,-0.024546876063954573,87
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc030,-0.03456205885049846,87
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc031,-0.02990558702201599,87
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc032,-0.02433974129280314,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc033,-0.02011222460147854,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc036,-0.028957696734223413,86
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc055,-0.026015413332276298,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc057,-0.018238441937559427,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc058,-0.021129501820528782,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc059,-0.023406682135328465,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc060,-0.026226019728032252,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc061,-0.028037738696771397,88
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc062,-0.025506983863388566,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc063,-0.025825605210455956,89
M_LOWRANK_K2_vs_C_DIRECT_ROW,sc068,-0.02851156039948911,84
