,,,err__zero_shot,err__zero_shot,err__conditional,err__conditional,err__basis_shift,err__basis_shift,err__rescale,err__rescale,err__no_model_linear,err__no_model_linear
,,,mean,size,mean,size,mean,size,mean,size,mean,size
arm,support_design,support_dz,,,,,,,,,,
B1_MEAN_CURVE,random,1,0.5711621110571856,58812,0.5380217802966446,58812,,58812,0.5711621110571856,58812,0.6214434900289528,58812
B1_MEAN_CURVE,random,2,0.5679176651119632,52764,0.4777208336031034,52764,,52764,0.5653843585604359,52764,0.4845374225547861,52764
B1_MEAN_CURVE,random,3,0.5839763370001076,44317,0.44449590839060565,44317,,44317,0.5695124921980108,44317,0.4264531136630702,44317
B1_MEAN_CURVE,random,4,0.5938209390310475,41479,0.3966652715010919,41479,,41479,0.5607580810450821,41479,0.3656110161435536,41479
B1_MEAN_CURVE,random,5,0.5591708159701537,31975,0.3587697409061233,31975,,31975,0.5180219129345761,31975,0.33266783937651334,31975
B1_MEAN_CURVE,random,6,0.6010292904290144,27183,0.3522959846211789,27183,,27183,0.5259086573228685,27183,0.3125022532069465,27183
B1_MEAN_CURVE,random,7,0.6616407887487791,22235,0.33684137127792135,22235,,22235,0.5906935105631156,22235,0.31660176315596794,22235
B1_MEAN_CURVE,random,8,0.6743908670669737,18153,0.31333253671424344,18153,,18153,0.5858657009819004,18153,0.28883839279923396,18153
B1_MEAN_CURVE,random,9,0.6244774188622159,14245,0.3003959070801256,14245,,14245,0.5426367810207167,14245,0.2757506001622619,14245
B1_MEAN_CURVE,random,10,0.6578737912771871,11420,0.2747658537933565,11420,,11420,0.5390810295379913,11420,0.26036489356101516,11420
B1_MEAN_CURVE,random,11,0.6388468359107018,8657,0.27120884810258833,8657,,8657,0.4774366801899474,8657,0.2443531593852084,8657
B1_MEAN_CURVE,random,12,0.6387413463030782,5608,0.2831617763646927,5608,,5608,0.46405013476909457,5608,0.2702631635203439,5608
B1_MEAN_CURVE,random,13,0.5970924955118899,3877,0.24811263993137242,3877,,3877,0.4380459658314699,3877,0.23961969518778117,3877
B1_MEAN_CURVE,widest,2,0.16518754840135147,60,0.09292857647120019,60,,60,0.16518754840135147,60,0.10675558685738455,60
B1_MEAN_CURVE,widest,3,0.2848846241377125,300,0.22869506905291323,300,,300,0.2650589718630627,300,0.17616098660946453,300
B1_MEAN_CURVE,widest,4,0.2713946535674449,430,0.17690849617504859,430,,430,0.25852251526099806,430,0.18187708816194018,430
