,,,err__zero_shot,err__zero_shot,err__conditional,err__conditional,err__rescale,err__rescale,err__no_model_linear,err__no_model_linear
,,,mean,size,mean,size,mean,size,mean,size
arm,support_design,support_dz,,,,,,,,
B1_MEAN_CURVE,random,1,0.5801285147749968,36450,0.5460858637228717,36450,0.5801285147749968,36450,0.6273029778706137,36450
B1_MEAN_CURVE,random,2,0.5911797767634132,32139,0.4975036887535948,32139,0.5878566652524354,32139,0.47093665032514637,32139
B1_MEAN_CURVE,random,3,0.5624312143844886,25533,0.4303535024265537,25533,0.5490885203658049,25533,0.43360756792810085,25533
B1_MEAN_CURVE,random,4,0.5881404654700128,23991,0.39136583308490774,23991,0.5549794823663559,23991,0.3631792173606718,23991
B1_MEAN_CURVE,random,5,0.5527989186023569,19523,0.3605203402967226,19523,0.5142766940699243,19523,0.33050395272259236,19523
B1_MEAN_CURVE,random,6,0.6099723584438843,15987,0.35622664855886965,15987,0.5355202120192731,15987,0.3138116192135777,15987
B1_MEAN_CURVE,random,7,0.6654601537225603,13075,0.3528547867199692,13075,0.5980159239083398,13075,0.3267705694450852,13075
B1_MEAN_CURVE,random,8,0.6543932768459986,10548,0.2947162329436412,10548,0.5601772534994897,10548,0.2701418953676137,10548
B1_MEAN_CURVE,random,9,0.6305272814149413,8345,0.30069189211029634,8345,0.5445271464132206,8345,0.2792720686353393,8345
B1_MEAN_CURVE,random,10,0.6707467228845972,7033,0.27155218019323785,7033,0.5473600928930514,7033,0.25909002347515486,7033
B1_MEAN_CURVE,random,11,0.6305052345798292,6178,0.27099203231664254,6178,0.4650109165040417,6178,0.2503725638363015,6178
B1_MEAN_CURVE,random,12,0.5961071084010718,3133,0.2788137586300569,3133,0.42783563640864053,3133,0.2760179415578419,3133
B1_MEAN_CURVE,random,13,0.5461318230198071,2500,0.24889185389722074,2500,0.41948326825602045,2500,0.23894868737217959,2500
B1_MEAN_CURVE,widest,2,0.16518754840135147,60,0.09292857647120019,60,0.16518754840135147,60,0.10675558685738455,60
B1_MEAN_CURVE,widest,3,0.2848846241377125,300,0.22869506905291323,300,0.2650589718630627,300,0.17616098660946453,300
