publication_id,n,levels,extractants,acid_lo,acid_hi,sd_log_acid,sd_abs_a,slope_raw,slope_log,rho
pub_5a68dc5665,39,2,4,0.95,1.0,0.010415816202905838,0.03491079166873698,1.5308006672548888,13.877809548151518,0.5034965460952285
pub_d68ed8c8cf,22,7,4,0.001,5.000000000000001,1.2145269255433702,0.10762166768427621,0.02602697234990501,0.17284932430221003,0.19296481019853012
pub_b0b3296ec5,20,4,1,1.0,5.000000000000001,0.22212978591141483,0.19342120197212626,-0.25374976926949555,-0.4144122003845084,-0.24841992653944361
pub_c8195b4ca7,20,6,1,0.1,7.0,0.6136411556743955,0.058608130764115716,0.03359754279483878,0.28317055447874917,0.35359790073206077
pub_19783c039b,19,14,1,0.49855099999999997,5.994199999999999,0.2828641547479651,0.388742890849975,0.09721023736505148,-0.26236520790033685,0.32847811566960844
pub_b9dfc468cd,16,3,11,1.00147,4.99853,0.14059730619003935,0.029305413682030965,-0.08950322491805017,-0.30676046242708677,-0.38461538461538464
pub_6a0ef8528c,15,5,1,0.1,1.0,0.3524192536209331,0.1510164083401209,0.37749486792277365,0.555861908068608,0.9274260335029676
pub_bdb1564c49,11,5,1,1.0,5.000000000000001,0.2786215239570813,0.11843363368142416,-0.13489263168398485,-0.260657798314883,-0.23164312332846373
pub_8415538291,10,5,1,1.0,5.000000000000001,0.26021363843785966,0.221570951888221,0.6664237220686161,2.439325539771314,0.8862587350511957
pub_1605e436d7,9,8,1,0.009332539999999999,0.10715200000000001,0.3383640492142218,0.30470902643075076,0.5547391346072916,1.2411069469187597,0.7615129419677079
pub_37086f6378,9,6,1,0.048242200000000006,1.0,0.5568520043941296,0.042106792643580894,0.016213905036562958,0.1321997314684369,-0.3394514291136108
pub_4cba27f5f3,8,3,5,0.1,3.0,0.5178635404620097,0.41225112824637056,0.2844459356226923,0.6781121078232558,0.15586992159713742
pub_1c1b558856,5,5,1,1.6,5.599999999999999,0.21479113042974668,0.03510743371953148,0.089195910258249,0.3850340329594091,0.3
pub_f8a621ede4,5,5,1,1.0,3.0,0.18838034634433135,0.10835236995787027,0.5156819873426226,1.2721878693905861,0.9999999999999999
pub_af0c74798c,4,2,1,0.5,1.0,0.17379974903075143,0.03276849507756796,-0.07952035607237926,-0.5609093234847663,-0.4472135954999579
pub_e9799b75f3,4,2,4,2.0,3.0,0.0880456295278406,0.08639517532528296,-0.11210829268232166,-0.10967858897253668,-0.2581988897471611
pub_dfa96a5118,3,2,3,1.0,3.0,0.2754660848484891,0.12739100931928982,-0.4527357659086139,-0.4373250807763844,-0.8660254037844387
