design,pair,arm,n_units,obs_spread,spearman,top1,regret
B,Nd/Dy,FLAT,71.0,4.090574848000005,0.0,0.014084507042253521,2.0452874240000023
B,Nd/Dy,MEAN_CURVE,71.0,4.090574848000005,-0.3779335993576452,0.0,2.5032555495393503
B,Nd/Dy,G14,71.0,4.090574848000005,0.4974398966725335,0.0,1.7424588287136118
B,Nd/Dy,G13_FULL,71.0,4.090574848000005,0.6088843180774641,0.0,1.2557117704073888
B,Nd/Dy,O_BOTH,71.0,4.090574848000005,0.9708920187793426,0.5,0.03731680850000085
B,Nd/Dy,HEAVIER_ALWAYS,71.0,4.090574848000005,0.0,0.014084507042253521,2.0452874240000023
B,Nd/Dy,G14_TIED,71.0,4.090574848000005,0.6503558003359514,0.023222986057596866,1.5073160002332209
B,Nd/Dy,_RANDOM,71.0,4.090574848000005,0.0,0.014084507042253521,2.0452874240000023
B,Pr/Nd,FLAT,71.0,1.3249782835000128,0.0,0.014084507042253521,0.6624891417500064
B,Pr/Nd,MEAN_CURVE,71.0,1.3249782835000128,-0.1451359271269523,0.0,0.7063776576080564
B,Pr/Nd,G14,71.0,1.3249782835000128,0.24074808549922277,0.0,0.6818407529548784
B,Pr/Nd,G13_FULL,71.0,1.3249782835000128,0.3416217841814044,0.0,0.5806959021425177
B,Pr/Nd,O_BOTH,71.0,1.3249782835000128,0.6977095144605479,1.0,0.0
B,Pr/Nd,HEAVIER_ALWAYS,71.0,1.3249782835000128,0.0,0.014084507042253521,0.6624891417500064
B,Pr/Nd,G14_TIED,71.0,1.3249782835000128,0.30161416407910374,0.022704156720732675,0.5980154324497283
B,Pr/Nd,_RANDOM,71.0,1.3249782835000128,0.0,0.014084507042253521,0.6624891417500064
B,Sm/Eu,FLAT,77.0,2.110615111616385,0.0,0.012987012987012988,1.0553075558081926
B,Sm/Eu,MEAN_CURVE,77.0,2.110615111616385,-0.23531658592288043,0.00625,1.149786892289541
B,Sm/Eu,G14,77.0,2.110615111616385,0.3997365790042363,0.014285714285714285,0.9653111773871
B,Sm/Eu,G13_FULL,77.0,2.110615111616385,0.48718548107102616,0.0,1.6283109882190547
B,Sm/Eu,O_BOTH,77.0,2.110615111616385,0.7735124826919811,0.0,0.7593964563081927
B,Sm/Eu,HEAVIER_ALWAYS,77.0,2.110615111616385,0.0,0.012987012987012988,1.0553075558081926
B,Sm/Eu,G14_TIED,77.0,2.110615111616385,0.5162337816101464,0.020559386973180077,0.9375466224501524
B,Sm/Eu,_RANDOM,77.0,2.110615111616385,0.0,0.012987012987012988,1.0553075558081926
B,Eu/Gd,FLAT,70.0,1.6474275469810429,0.0,0.014285714285714285,0.8237137734905214
B,Eu/Gd,MEAN_CURVE,70.0,1.6474275469810429,-0.24302503608186807,0.003125,0.879804371121482
B,Eu/Gd,G14,70.0,1.6474275469810429,0.2494217625822767,0.004,0.7530461435669709
B,Eu/Gd,G13_FULL,70.0,1.6474275469810429,0.5214953810112367,0.0,0.7511092896755835
B,Eu/Gd,O_BOTH,70.0,1.6474275469810429,0.5591083660882155,0.0,0.7187835896612851
B,Eu/Gd,HEAVIER_ALWAYS,70.0,1.6474275469810429,0.0,0.014285714285714285,0.8237137734905214
B,Eu/Gd,G14_TIED,70.0,1.6474275469810429,0.3653143267752357,0.018993961352657004,0.7616749490192631
B,Eu/Gd,_RANDOM,70.0,1.6474275469810429,0.0,0.014285714285714285,0.8237137734905214
B,La/Ce,FLAT,68.0,2.0712666813266707,0.0,0.014705882352941176,1.0356333406633353
B,La/Ce,MEAN_CURVE,68.0,2.0712666813266707,0.045511441342687774,0.02269230769230769,1.0547408599288333
B,La/Ce,G14,68.0,2.0712666813266707,0.3770656030270529,0.026785714285714284,1.0228468194690044
B,La/Ce,G13_FULL,68.0,2.0712666813266707,0.41235731646035545,0.0,1.7831022252266706
B,La/Ce,O_BOTH,68.0,2.0712666813266707,0.8128489221361292,0.0,0.8057347022257162
B,La/Ce,HEAVIER_ALWAYS,68.0,2.0712666813266707,0.0,0.014705882352941176,1.0356333406633353
B,La/Ce,G14_TIED,68.0,2.0712666813266707,0.38331404135948316,0.023164335664335664,0.9295714389715102
B,La/Ce,_RANDOM,68.0,2.0712666813266707,0.0,0.014705882352941176,1.0356333406633353
B,Dy/Ho,FLAT,57.0,1.2886539464998008,0.0,0.017543859649122806,0.6443269732499004
B,Dy/Ho,MEAN_CURVE,57.0,1.2886539464998008,-0.13177653247645374,0.0047619047619047615,0.6804970368393538
B,Dy/Ho,G14,57.0,1.2886539464998008,0.20496018456210185,0.0,0.6298113372253088
B,Dy/Ho,G13_FULL,57.0,1.2886539464998008,0.12076325835835804,0.0,0.5910894578557426
B,Dy/Ho,O_BOTH,57.0,1.2886539464998008,0.6828280210259511,0.5,0.017376686185217538
B,Dy/Ho,HEAVIER_ALWAYS,57.0,1.2886539464998008,0.0,0.017543859649122806,0.6443269732499004
B,Dy/Ho,G14_TIED,57.0,1.2886539464998008,0.31213119849801807,0.011915768576290415,0.5856641280881123
B,Dy/Ho,_RANDOM,57.0,1.2886539464998008,0.0,0.017543859649122806,0.6443269732499004
B,Er/Yb,FLAT,58.0,2.9722245269820182,0.0,0.017241379310344827,1.4861122634910091
B,Er/Yb,MEAN_CURVE,58.0,2.9722245269820182,-0.09309596365501746,0.007142857142857143,1.5491326177347857
B,Er/Yb,G14,58.0,2.9722245269820182,0.2244195252107392,0.026785714285714284,1.3911227872047114
B,Er/Yb,G13_FULL,58.0,2.9722245269820182,0.20359005984366227,0.0,1.3556214558588262
B,Er/Yb,O_BOTH,58.0,2.9722245269820182,0.6865589000612123,0.5,0.4004497632038138
B,Er/Yb,HEAVIER_ALWAYS,58.0,2.9722245269820182,0.0,0.017241379310344827,1.4861122634910091
B,Er/Yb,G14_TIED,58.0,2.9722245269820182,0.33020399650663507,0.037799186580216575,1.3732240427713962
B,Er/Yb,_RANDOM,58.0,2.9722245269820182,0.0,0.017241379310344827,1.4861122634910091
BR,Nd/Dy,FLAT,71.0,4.090574848000005,0.0,0.014084507042253521,2.0452874240000023
BR,Nd/Dy,MEAN_CURVE,71.0,4.090574848000005,-0.42374081757465165,0.0,2.5012863769774363
BR,Nd/Dy,G14,71.0,4.090574848000005,0.5756774030615773,0.0,1.6549552341843667
BR,Nd/Dy,G13_FULL,71.0,4.090574848000005,0.5880862346972732,0.0,1.320939159257389
BR,Nd/Dy,O_BOTH,71.0,4.090574848000005,0.9708920187793426,0.5,0.03731680850000085
BR,Nd/Dy,HEAVIER_ALWAYS,71.0,4.090574848000005,0.0,0.014084507042253521,2.0452874240000023
BR,Nd/Dy,G14_TIED,71.0,4.090574848000005,0.6526606935401621,0.023358010002419945,1.5071195575108636
BR,Nd/Dy,_RANDOM,71.0,4.090574848000005,0.0,0.014084507042253521,2.0452874240000023
BR,Pr/Nd,FLAT,71.0,1.3249782835000128,0.0,0.014084507042253521,0.6624891417500064
BR,Pr/Nd,MEAN_CURVE,71.0,1.3249782835000128,-0.1472128951888768,0.0,0.7115491811673818
BR,Pr/Nd,G14,71.0,1.3249782835000128,0.23693227712023984,0.0125,0.6417074962354931
BR,Pr/Nd,G13_FULL,71.0,1.3249782835000128,0.34582725320195423,0.1,0.5858985524557823
BR,Pr/Nd,O_BOTH,71.0,1.3249782835000128,0.6977095144605479,1.0,0.0
BR,Pr/Nd,HEAVIER_ALWAYS,71.0,1.3249782835000128,0.0,0.014084507042253521,0.6624891417500064
BR,Pr/Nd,G14_TIED,71.0,1.3249782835000128,0.27721649697540257,0.02252029270623165,0.6008244878118709
BR,Pr/Nd,_RANDOM,71.0,1.3249782835000128,0.0,0.014084507042253521,0.6624891417500064
BR,Sm/Eu,FLAT,77.0,2.110615111616385,0.0,0.012987012987012988,1.0553075558081926
BR,Sm/Eu,MEAN_CURVE,77.0,2.110615111616385,-0.298906162636052,0.007142857142857143,1.1525185116357142
BR,Sm/Eu,G14,77.0,2.110615111616385,0.4263468056067157,0.025,0.9176643266243948
BR,Sm/Eu,G13_FULL,77.0,2.110615111616385,0.488778905595553,0.0,1.6471686689190548
BR,Sm/Eu,O_BOTH,77.0,2.110615111616385,0.7735124826919811,0.0,0.7593964563081927
BR,Sm/Eu,HEAVIER_ALWAYS,77.0,2.110615111616385,0.0,0.012987012987012988,1.0553075558081926
BR,Sm/Eu,G14_TIED,77.0,2.110615111616385,0.48579890086655986,0.020890516890516887,0.945137940013905
BR,Sm/Eu,_RANDOM,77.0,2.110615111616385,0.0,0.012987012987012988,1.0553075558081926
BR,Eu/Gd,FLAT,70.0,1.6474275469810429,0.0,0.014285714285714285,0.8237137734905214
BR,Eu/Gd,MEAN_CURVE,70.0,1.6474275469810429,-0.22766192470801042,0.006696428571428571,0.871675492610587
BR,Eu/Gd,G14,70.0,1.6474275469810429,0.3592225643203641,0.029166666666666667,0.7401913115337068
BR,Eu/Gd,G13_FULL,70.0,1.6474275469810429,0.46999232513897715,0.1,0.6431526858902575
BR,Eu/Gd,O_BOTH,70.0,1.6474275469810429,0.5591083660882155,0.0,0.7187835896612851
BR,Eu/Gd,HEAVIER_ALWAYS,70.0,1.6474275469810429,0.0,0.014285714285714285,0.8237137734905214
BR,Eu/Gd,G14_TIED,70.0,1.6474275469810429,0.37137095600506687,0.015080686607051086,0.7662402621508143
BR,Eu/Gd,_RANDOM,70.0,1.6474275469810429,0.0,0.014285714285714285,0.8237137734905214
BR,La/Ce,FLAT,68.0,2.0712666813266707,0.0,0.014705882352941176,1.0356333406633353
BR,La/Ce,MEAN_CURVE,68.0,2.0712666813266707,0.048218013405847984,0.016025641025641024,1.0870705889025376
BR,La/Ce,G14,68.0,2.0712666813266707,0.3574555532683862,0.04345238095238095,1.0412232505569143
BR,La/Ce,G13_FULL,68.0,2.0712666813266707,0.4022187128719473,0.0,1.7106017562511044
BR,La/Ce,O_BOTH,68.0,2.0712666813266707,0.8128489221361292,0.0,0.8057347022257162
BR,La/Ce,HEAVIER_ALWAYS,68.0,2.0712666813266707,0.0,0.014705882352941176,1.0356333406633353
BR,La/Ce,G14_TIED,68.0,2.0712666813266707,0.37391429050385716,0.023581686429512517,0.9316172745924595
BR,La/Ce,_RANDOM,68.0,2.0712666813266707,0.0,0.014705882352941176,1.0356333406633353
BR,Dy/Ho,FLAT,57.0,1.2886539464998008,0.0,0.017543859649122806,0.6443269732499004
BR,Dy/Ho,MEAN_CURVE,57.0,1.2886539464998008,-0.16624764565664113,0.008928571428571428,0.6905641576456504
BR,Dy/Ho,G14,57.0,1.2886539464998008,0.222007462499742,0.0,0.5605745587440418
BR,Dy/Ho,G13_FULL,57.0,1.2886539464998008,0.11093656032829728,0.0,0.7292854648779047
BR,Dy/Ho,O_BOTH,57.0,1.2886539464998008,0.6828280210259511,0.5,0.017376686185217538
BR,Dy/Ho,HEAVIER_ALWAYS,57.0,1.2886539464998008,0.0,0.017543859649122806,0.6443269732499004
BR,Dy/Ho,G14_TIED,57.0,1.2886539464998008,0.2925307120795336,0.01185209194284634,0.5880598591629009
BR,Dy/Ho,_RANDOM,57.0,1.2886539464998008,0.0,0.017543859649122806,0.6443269732499004
BR,Er/Yb,FLAT,58.0,2.9722245269820182,0.0,0.017241379310344827,1.4861122634910091
BR,Er/Yb,MEAN_CURVE,58.0,2.9722245269820182,-0.08748647754241329,0.011142857142857144,1.5311863096002407
BR,Er/Yb,G14,58.0,2.9722245269820182,0.25449521536640807,0.0,1.3634115031762228
BR,Er/Yb,G13_FULL,58.0,2.9722245269820182,0.13628454595065545,0.0,1.3646512766588264
BR,Er/Yb,O_BOTH,58.0,2.9722245269820182,0.6865589000612123,0.5,0.4004497632038138
BR,Er/Yb,HEAVIER_ALWAYS,58.0,2.9722245269820182,0.0,0.017241379310344827,1.4861122634910091
BR,Er/Yb,G14_TIED,58.0,2.9722245269820182,0.3277780212340562,0.03768574358532151,1.3696098596612554
BR,Er/Yb,_RANDOM,58.0,2.9722245269820182,0.0,0.017241379310344827,1.4861122634910091
BQ,Nd/Dy,FLAT,71.0,4.090574848000005,0.0,0.014084507042253521,2.0452874240000023
BQ,Nd/Dy,MEAN_CURVE,71.0,4.090574848000005,-0.4189392618816421,0.0,2.469562973916104
BQ,Nd/Dy,G14,71.0,4.090574848000005,0.5046429488319641,0.0,1.7424588287136118
BQ,Nd/Dy,G13_FULL,71.0,4.090574848000005,0.6139815230932678,0.0,1.4131295681574834
