block,cosine,threshold,n_ligands,n_with_twin,n_with_cross_chemotype_twin,n_pairs,twin_direction_agreement,nn_cosine_median
chemberta_mtr__mean,raw,0.999,90,7,0,5,1.0,0.9834038554920024
chemberta_mtr__mean,raw,0.99,90,28,8,23,0.6521739130434783,0.9834038554920024
chemberta_mtr__mean,raw,0.95,90,68,62,417,0.6738609112709832,0.9834038554920024
chemberta_mtr__mean,centred,0.999,90,3,0,3,1.0,0.892001517793651
chemberta_mtr__mean,centred,0.99,90,9,0,6,1.0,0.892001517793651
chemberta_mtr__mean,centred,0.95,90,19,7,19,0.6842105263157895,0.892001517793651
chemberta_mtr__cls,raw,0.999,90,7,0,5,1.0,0.9576074392231374
chemberta_mtr__cls,raw,0.99,90,12,0,10,1.0,0.9576074392231374
chemberta_mtr__cls,raw,0.95,90,47,18,79,0.7341772151898734,0.9576074392231374
chemberta_mtr__cls,centred,0.999,90,3,0,3,1.0,0.8822021773809074
chemberta_mtr__cls,centred,0.99,90,9,0,6,1.0,0.8822021773809074
chemberta_mtr__cls,centred,0.95,90,24,7,28,0.75,0.8822021773809074
chemberta_mlm__mean,raw,0.999,90,3,0,3,1.0,0.9703426238036614
chemberta_mlm__mean,raw,0.99,90,12,0,20,1.0,0.9703426238036614
chemberta_mlm__mean,raw,0.95,90,61,49,213,0.7136150234741784,0.9703426238036614
chemberta_mlm__mean,centred,0.999,90,3,0,3,1.0,0.8837992892276839
chemberta_mlm__mean,centred,0.99,90,3,0,3,1.0,0.8837992892276839
chemberta_mlm__mean,centred,0.95,90,18,4,21,0.9523809523809523,0.8837992892276839
chemberta_mlm__cls,raw,0.999,90,3,0,3,1.0,0.967483584592908
chemberta_mlm__cls,raw,0.99,90,21,6,18,0.8888888888888888,0.967483584592908
chemberta_mlm__cls,raw,0.95,90,56,51,304,0.5723684210526315,0.967483584592908
chemberta_mlm__cls,centred,0.999,90,3,0,3,1.0,0.8765667416909515
chemberta_mlm__cls,centred,0.99,90,5,0,4,1.0,0.8765667416909515
chemberta_mlm__cls,centred,0.95,90,30,17,28,0.75,0.8765667416909515
molformer__mean,raw,0.999,90,0,0,0,,0.9348011328707249
molformer__mean,raw,0.99,90,5,0,4,0.75,0.9348011328707249
molformer__mean,raw,0.95,90,38,22,59,0.6779661016949152,0.9348011328707249
molformer__mean,centred,0.999,90,0,0,0,,0.7971859817340637
molformer__mean,centred,0.99,90,2,0,1,1.0,0.7971859817340637
molformer__mean,centred,0.95,90,5,0,3,0.6666666666666666,0.7971859817340637
molformer__cls,raw,0.999,90,0,0,0,,0.9335789247735558
molformer__cls,raw,0.99,90,3,0,2,1.0,0.9335789247735558
molformer__cls,raw,0.95,90,30,14,36,0.6944444444444444,0.9335789247735558
molformer__cls,centred,0.999,90,0,0,0,,0.7094906147497304
molformer__cls,centred,0.99,90,2,0,1,1.0,0.7094906147497304
molformer__cls,centred,0.95,90,3,0,2,1.0,0.7094906147497304
morgan2,raw,0.999,90,7,0,5,1.0,0.9517190851661358
morgan2,raw,0.99,90,20,11,42,0.7857142857142857,0.9517190851661358
morgan2,raw,0.95,90,47,38,335,0.573134328358209,0.9517190851661358
morgan2,centred,0.999,90,7,0,5,1.0,0.911264995956595
morgan2,centred,0.99,90,11,0,11,0.7272727272727273,0.911264995956595
morgan2,centred,0.95,90,27,17,74,0.6621621621621622,0.911264995956595
morgan3,raw,0.999,90,5,0,4,1.0,0.9292141065470818
morgan3,raw,0.99,90,15,2,17,0.7647058823529411,0.9292141065470818
morgan3,raw,0.95,90,33,27,186,0.6344086021505376,0.9292141065470818
morgan3,centred,0.999,90,5,0,4,1.0,0.8694491693213571
morgan3,centred,0.99,90,9,0,8,0.875,0.8694491693213571
morgan3,centred,0.95,90,21,14,41,0.6585365853658537,0.8694491693213571
