design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
B,DIR_morgan2_C1_vs_G14,mae_all,G14,DIR_morgan2_C1,-0.11692377229413586,-0.17157344089184418,-0.04933806946899274,-0.18302223930151912,-0.060125123621086934,0.0008,0.030874575771557947,0.08644881216036225,-0.08112301728722786,90,9,0,5,-0.12402101400692513,-0.09755329162954035,True,0.02,False,False
B,DIR_cbmtr_mean_C1_vs_G14,mae_all,G14,DIR_cbmtr_mean_C1,-0.10382732131502653,-0.1625240534391044,-0.03775031513092441,-0.1779155983622759,-0.04938681654160325,0.0026,0.031121764307945287,0.0871409400622468,-0.0656698633476426,90,8,0,5,-0.11077741189321907,-0.08352137986620892,True,0.02,False,False
B,DIR_cbmtr_cls_C1_vs_G14,mae_all,G14,DIR_cbmtr_cls_C1,-0.06562893814483173,-0.1367759138666618,-0.01390047515217817,-0.15137090603389058,-0.019394513120518007,0.0114,0.031416392552175966,0.0879658991460927,-0.05384380985843944,90,8,0,5,-0.08028426727379324,-0.04259454075528591,True,0.02,False,False
B,DIR_cbmlm_mean_C1_vs_G14,mae_all,G14,DIR_cbmlm_mean_C1,-0.10128504431108078,-0.14505422332356488,-0.037279135410874235,-0.15914877096950547,-0.0525722323232941,0.0002,0.02808928586015144,0.07865000040842403,-0.07558409517507969,90,7,0,5,-0.10681760012033366,-0.0719045136292677,True,0.02,False,False
B,DIR_cbmlm_cls_C1_vs_G14,mae_all,G14,DIR_cbmlm_cls_C1,-0.18871558763510737,-0.2492360945422809,-0.09013563441444838,-0.26467407417355077,-0.11208951453098248,0.0,0.04170406639535735,0.11677138590700056,-0.10795510088732115,90,13,0,5,-0.1967776129979926,-0.1471945213424179,True,0.02,False,False
B,DIR_cbmtr_mean_C0.1_vs_G14,mae_all,G14,DIR_cbmtr_mean_C0.1,-0.10446170659405357,-0.1639438953876822,-0.033383674018274134,-0.17910126614964456,-0.0454701547475364,0.006,0.03282533713276248,0.09191094397173494,-0.058116517678085594,90,10,0,5,-0.11141892509672957,-0.0842010783794522,True,0.02,False,False
B,DIR_cbmtr_mean_C0.01_vs_G14,mae_all,G14,DIR_cbmtr_mean_C0.01,-0.12014383792552291,-0.17837357699378775,-0.05030641243398684,-0.1921897277374669,-0.0624341335752058,0.0014,0.03194128894521096,0.08943560904659069,-0.07443156876504038,90,10,0,5,-0.12620346947452463,-0.10100336194888362,True,0.02,False,False
B,DIR_cbmtr_mean_P16_vs_G14,mae_all,G14,DIR_cbmtr_mean_P16,-0.12249476978234711,-0.17581201030088422,-0.058657023945054856,-0.18811329952223724,-0.06885015299159893,0.0004,0.02957408873344154,0.0828074484536363,-0.08773866558533142,90,12,0,5,-0.12802710298827588,-0.10272749602341069,True,0.02,False,False
B,MAG_cbmtr_mean_ridge_vs_G14,mae_all,G14,MAG_cbmtr_mean_ridge,-0.021940697709474793,-0.05902039867783697,0.005496929295236811,-0.06007639825917931,0.004970590778743128,0.1122,0.016325386091470846,0.04571108105611837,-0.03608249879226427,90,36,0,5,-0.02839030370663987,-0.014137859165633126,True,0.02,False,False
B,MAG_cbmtr_mean_cos_vs_G14,mae_all,G14,MAG_cbmtr_mean_cos,-0.017062462756282013,-0.04271967375609775,0.009887895859808917,-0.044228050612365906,0.008390884334215814,0.1896,0.013038508629259253,0.036507824161925904,-0.016388057459353,90,35,0,5,-0.0215758154694583,-0.01010134777350165,True,0.02,False,False
B,CUR_cbmtr_mean_ridge_vs_G14,mae_all,G14,CUR_cbmtr_mean_ridge,-0.009129116715555403,-0.02737909568834534,0.00916834644902746,-0.026502777890383838,0.010279551770816043,0.2862,0.009067426365229387,0.02538879382264228,-0.013909043703954809,90,37,0,5,-0.01311501522154364,-0.0062134310031852795,True,0.02,False,False
B,CUR_cbmtr_mean_sign_vs_G14,mae_all,G14,CUR_cbmtr_mean_sign,-0.02093227900162599,-0.042764467022303264,0.007803086509723757,-0.043192328786742167,0.007350840165145055,0.1502,0.013025815169623997,0.03647228247494719,-0.025433166780029205,90,37,0,5,-0.028908774651469422,-0.011999516660643026,True,0.02,False,False
B,COMP_cbmtr_mean_vs_G14,mae_all,G14,COMP_cbmtr_mean,-0.07771976763852294,-0.1474353112768194,-0.008480825961147862,-0.16674128937568408,-0.021169217142786308,0.0336,0.03467263912384311,0.0970833895467607,-0.042154248541736244,90,34,0,5,-0.08610091201290546,-0.05231942291062957,True,0.02,False,False
B,CONCAT_cbmtr_mean_P16_vs_G14,mae_all,G14,CONCAT_cbmtr_mean_P16,-0.06911290985640972,-0.1059063630593238,-0.033737409233415866,-0.11186488112037342,-0.037831437006501746,0.0002,0.018189049596563454,0.05092933887037767,-0.066051804889177,90,9,0,5,-0.07341965626394785,-0.05957699168002756,True,0.02,False,False
B,DIR_morgan2_C1_vs_FLAT,mae_all,FLAT,DIR_morgan2_C1,-0.02162547645338615,-0.10172466836883741,0.035163932445985216,-0.08995820812606625,0.04465146686295117,0.5,0.035927814046060845,0.10059787932897037,-0.01974207825440423,90,38,1,5,-0.055593437010641185,-0.003191795000748594,True,0.02,False,False
B,DIR_cbmtr_mean_C1_vs_FLAT,mae_all,FLAT,DIR_cbmtr_mean_C1,-0.008529025474276818,-0.10013302483033704,0.059623428818534496,-0.08450182337635513,0.07425534233866381,0.788,0.04241551091049836,0.11876343054939541,-0.004288924314818992,90,44,1,5,-0.05195791448522569,0.010840116762582843,False,0.02,False,False
B,DIR_cbmtr_cls_C1_vs_FLAT,mae_all,FLAT,DIR_cbmtr_cls_C1,0.02966935769591799,-0.08066407427604932,0.11303991430954612,-0.05735337939852167,0.13885835878501174,0.7,0.05201198223790632,0.14563355026613767,0.00753712917438417,90,48,5,5,-0.031163275727217093,0.05176695587350584,False,0.02,False,False
B,DIR_cbmlm_mean_C1_vs_FLAT,mae_all,FLAT,DIR_cbmlm_mean_C1,-0.0059867484703310676,-0.0589066171085654,0.031198560365836972,-0.053742017680358696,0.034993112475871176,0.7766,0.023178703043953842,0.06490036852307075,-0.014203156142256078,90,42,3,5,-0.022783522082691573,0.0004977084160195201,False,0.02,False,False
B,DIR_cbmlm_cls_C1_vs_FLAT,mae_all,FLAT,DIR_cbmlm_cls_C1,-0.09341729179435768,-0.1375144682774517,-0.04664063282363803,-0.14236726614217035,-0.051677716093545926,0.0018,0.02307473897807674,0.06460926913861487,-0.04657416185449754,90,26,0,5,-0.09863690072383607,-0.08059112820095048,True,0.02,False,False
B,DIR_cbmtr_mean_C0.1_vs_FLAT,mae_all,FLAT,DIR_cbmtr_mean_C0.1,-0.009163410753303874,-0.0987803081709494,0.05734375812152,-0.08569653650289678,0.06870096093497438,0.7908,0.04134140613341798,0.11575593717357034,0.0032644213547380284,90,45,2,5,-0.04888838931238243,0.010160418249339553,False,0.02,False,False
B,DIR_cbmtr_mean_C0.01_vs_FLAT,mae_all,FLAT,DIR_cbmtr_mean_C0.01,-0.024845542084773183,-0.11269368660018099,0.04163000328155196,-0.10069169913575475,0.05370060859383036,0.5116,0.040994830657796695,0.11478552584183074,-0.013050629732216764,90,42,0,5,-0.06491223188330382,-0.0066418653200918535,True,0.02,False,False
B,DIR_cbmtr_mean_P16_vs_FLAT,mae_all,FLAT,DIR_cbmtr_mean_P16,-0.027196473941597382,-0.1107704678364046,0.033793768761630046,-0.09700880853630996,0.0440962895107692,0.4308,0.037921106665989246,0.10617909866476988,-0.026357726552507784,90,38,0,5,-0.06509258109413936,-0.007224239786220088,True,0.02,False,False
B,MAG_cbmtr_mean_ridge_vs_FLAT,mae_all,FLAT,MAG_cbmtr_mean_ridge,0.07335759813127492,-0.0222641536937722,0.14167370346914293,0.001017009686081361,0.16957937462065825,0.1644,0.04428791260509119,0.12400615529425532,0.025298440240559338,90,61,5,5,0.020730687839936264,0.08380055152634104,True,0.02,False,False
B,MAG_cbmtr_mean_cos_vs_FLAT,mae_all,FLAT,MAG_cbmtr_mean_cos,0.0782358330844677,-0.003216868744710501,0.13750260088947902,0.015175868986021095,0.1603747193185168,0.066,0.038109019938225845,0.10670525582703236,0.04499288157347062,90,62,5,5,0.03335903961356326,0.08703867719742851,True,0.02,False,False
B,CUR_cbmtr_mean_ridge_vs_FLAT,mae_all,FLAT,CUR_cbmtr_mean_ridge,0.08616917912519431,-0.010383718456542745,0.14959374099386716,0.011927328006145271,0.16598105805674643,0.0848,0.04204857291005839,0.11773600414816349,0.04747189532886882,90,55,5,5,0.04114481730452835,0.09621598721835953,True,0.02,False,False
B,CUR_cbmtr_mean_sign_vs_FLAT,mae_all,FLAT,CUR_cbmtr_mean_sign,0.07436601683912372,-0.012891057317835332,0.1292497917865105,0.005328547066340316,0.14218087835724078,0.0948,0.037170158056191074,0.104076442557335,0.035947772252794406,90,54,5,5,0.03712147488593312,0.08409056602655773,True,0.02,False,False
B,COMP_cbmtr_mean_vs_FLAT,mae_all,FLAT,COMP_cbmtr_mean,0.017578528202226777,-0.079770551623286,0.08951628017288693,-0.06342017130605028,0.10412041221435038,0.784,0.04501420753183929,0.12603978108915,0.01922669049108737,90,46,5,5,-0.029409543240187807,0.04204207371816217,False,0.02,False,False
B,CONCAT_cbmtr_mean_P16_vs_FLAT,mae_all,FLAT,CONCAT_cbmtr_mean_P16,0.026185385984339987,-0.060709018529273046,0.08897906716706254,-0.04176134093346534,0.10707644912129882,0.6398,0.03990233381036923,0.11172653466903383,-0.004670865856353386,90,51,5,5,-0.018829715375134313,0.03592626455716303,False,0.02,False,False
BR,DIR_morgan2_C1_vs_G14,mae_all,G14,DIR_morgan2_C1,-0.13950053916668265,-0.20466782454696003,-0.04150288521411326,-0.22418152553722526,-0.06375024064621039,0.0014,0.04319960537818621,0.12095889505892136,-0.0736578140263252,90,8,0,5,-0.1469561906204019,-0.0948847765712079,True,0.02,False,False
BR,DIR_cbmtr_mean_C1_vs_G14,mae_all,G14,DIR_cbmtr_mean_C1,-0.10887122541915552,-0.16961887235046127,-0.0434836112520966,-0.18184726762850692,-0.054115995407598365,0.002,0.031475127805569464,0.08813035785559449,-0.07282518872076872,90,9,0,5,-0.11598272728020594,-0.08931855498738671,True,0.02,False,False
BR,DIR_cbmtr_cls_C1_vs_G14,mae_all,G14,DIR_cbmtr_cls_C1,-0.07492123194322775,-0.14107260474835995,-0.023261748828109878,-0.1601080377848115,-0.031371501004077526,0.0058,0.030026663717603354,0.08407465840928939,-0.06414923300602049,90,8,0,5,-0.08481441900246825,-0.052943561977464124,True,0.02,False,False
BR,DIR_cbmlm_mean_C1_vs_G14,mae_all,G14,DIR_cbmlm_mean_C1,-0.10850846031488529,-0.15761231118305913,-0.039441428324235056,-0.17376304301517792,-0.05498783880511282,0.0,0.03131762500203976,0.08768935000571132,-0.08496668779535903,90,7,0,5,-0.11433192553917598,-0.07445280585778709,True,0.02,False,False
BR,DIR_cbmlm_cls_C1_vs_G14,mae_all,G14,DIR_cbmlm_cls_C1,-0.19288480305096323,-0.25643701590123913,-0.09198376215103396,-0.27524152235020294,-0.11580100285020055,0.0,0.04365714102597035,0.12223999487271696,-0.11481543772889338,90,12,0,5,-0.20117972644320142,-0.14604383453735015,True,0.02,False,False
BR,DIR_cbmtr_mean_C0.1_vs_G14,mae_all,G14,DIR_cbmtr_mean_C0.1,-0.11407900656746159,-0.17214525983858733,-0.03774954715294971,-0.18375805709078666,-0.048955605846398485,0.0052,0.033884263290960476,0.09487593721468933,-0.0639680087297264,90,10,0,5,-0.12124902282343678,-0.09489832050342895,True,0.02,False,False
BR,DIR_cbmtr_mean_C0.01_vs_G14,mae_all,G14,DIR_cbmtr_mean_C0.01,-0.1397320891238509,-0.19603315862217527,-0.05706678670432893,-0.207181204840096,-0.07111012279032145,0.0012,0.035266577259048845,0.09874641632533676,-0.08421862475956994,90,9,0,5,-0.14611454112937683,-0.12213337297560846,True,0.02,False,False
BR,DIR_cbmtr_mean_P16_vs_G14,mae_all,G14,DIR_cbmtr_mean_P16,-0.13789302516583074,-0.1885481725905215,-0.06989754100276158,-0.20019322437137774,-0.0792883812373296,0.0,0.030151398105140684,0.0844239146943939,-0.10188657744618461,90,10,0,5,-0.1434041881534904,-0.1191261376369237,True,0.02,False,False
BR,MAG_cbmtr_mean_ridge_vs_G14,mae_all,G14,MAG_cbmtr_mean_ridge,-0.03265852350486576,-0.06755468474736945,-0.0035795617382374948,-0.06936392704260554,-0.0046703972443428755,0.0324,0.01588684200400235,0.044483157611206574,-0.044912648916972345,90,33,0,5,-0.0379812349447758,-0.025105866581670654,True,0.02,False,False
BR,MAG_cbmtr_mean_cos_vs_G14,mae_all,G14,MAG_cbmtr_mean_cos,-0.02157440439473361,-0.04497671073946887,0.007103664098394664,-0.04568246172935023,0.005936277440279349,0.1254,0.012967905118986753,0.03631013433316291,-0.01830514188820451,90,37,0,5,-0.026280776202773384,-0.015507946713387023,True,0.02,False,False
BR,CUR_cbmtr_mean_ridge_vs_G14,mae_all,G14,CUR_cbmtr_mean_ridge,-0.012256232890864324,-0.031094944421270462,0.005422528559888743,-0.029173638626356357,0.007726113645996898,0.1586,0.009146513355200935,0.025610237394562616,-0.020701841768232428,90,39,0,5,-0.01719221537138223,-0.009579141255344868,True,0.02,False,False
BR,CUR_cbmtr_mean_sign_vs_G14,mae_all,G14,CUR_cbmtr_mean_sign,-0.021378169632540866,-0.04337248357787207,0.004994118799270175,-0.04132357043140091,0.008368028172125471,0.1094,0.012285341984526927,0.034398957556675394,-0.027965734546342925,90,34,0,5,-0.029478000750282174,-0.015982060805266804,True,0.02,False,False
BR,COMP_cbmtr_mean_vs_G14,mae_all,G14,COMP_cbmtr_mean,-0.08917952486307204,-0.15898520826146684,-0.01626145010196818,-0.17696798469521846,-0.03053624594610246,0.0206,0.03533109243001403,0.09892705880403929,-0.053725796690574285,90,31,0,5,-0.09798906004266182,-0.06436034251795207,True,0.02,False,False
BR,CONCAT_cbmtr_mean_P16_vs_G14,mae_all,G14,CONCAT_cbmtr_mean_P16,-0.06354137350297785,-0.09745547085347492,-0.026274202516149182,-0.10195243457366054,-0.030153180465742602,0.0018,0.01796652850756942,0.05030627982119437,-0.0528777338656044,90,8,0,5,-0.06751507860556633,-0.05417059199292083,True,0.02,False,False
BR,DIR_morgan2_C1_vs_FLAT,mae_all,FLAT,DIR_morgan2_C1,-0.04158633800569847,-0.09393026246347898,0.013354603903474762,-0.10224791470133694,0.006126705049305057,0.1224,0.026877229784982713,0.07525624339795159,-0.007918075939268755,90,37,0,5,-0.046264135536334156,-0.02518732501433276,True,0.02,False,False
BR,DIR_cbmtr_mean_C1_vs_FLAT,mae_all,FLAT,DIR_cbmtr_mean_C1,-0.01095702425817133,-0.10266431691178052,0.05857769691545051,-0.08647071820339247,0.07420579960908807,0.744,0.042913815067564455,0.12015868218918047,-0.007085450633712272,90,43,2,5,-0.05585932517550399,0.00762979685801775,False,0.02,False,False
BR,DIR_cbmtr_cls_C1_vs_FLAT,mae_all,FLAT,DIR_cbmtr_cls_C1,0.02299296921775643,-0.08080528528043883,0.10039542876264217,-0.05858350900410336,0.1234625791008475,0.757,0.04834997436660822,0.135379928226503,0.0015905050810359435,90,47,4,5,-0.03283173582280145,0.044004789867940354,False,0.02,False,False
BR,DIR_cbmlm_mean_C1_vs_FLAT,mae_all,FLAT,DIR_cbmlm_mean_C1,-0.01059425915390111,-0.058319089703516985,0.023811394625464288,-0.056012689935559565,0.025950640423622395,0.5756,0.020971628480376814,0.05872055974505507,-0.019226949708302576,90,41,1,5,-0.022470122678120305,-0.004665763833014815,True,0.02,False,False
BR,DIR_cbmlm_cls_C1_vs_FLAT,mae_all,FLAT,DIR_cbmlm_cls_C1,-0.09497060188997904,-0.12908268739450096,-0.049942898148682704,-0.13120428870387582,-0.05330291244599194,0.0012,0.020056649006885793,0.05615861721928022,-0.04907569964183692,90,26,0,5,-0.1003399253689748,-0.08649049036772793,True,0.02,False,False
BR,DIR_cbmtr_mean_C0.1_vs_FLAT,mae_all,FLAT,DIR_cbmtr_mean_C0.1,-0.01616480540647741,-0.09985757235277312,0.04682458966034263,-0.08974306607027994,0.05460306334494253,0.6596,0.038524657692515216,0.1078690415390426,0.0017717293573300584,90,43,1,5,-0.050386896779292846,0.0020500313419755285,False,0.02,False,False
BR,DIR_cbmtr_mean_C0.01_vs_FLAT,mae_all,FLAT,DIR_cbmtr_mean_C0.01,-0.04181788796286671,-0.11961853000063381,0.01814579976259282,-0.11400025125177166,0.022681111689172348,0.203,0.03602994436896485,0.10088384423310158,-0.01847888667251348,90,36,0,5,-0.07015068979594166,-0.024928743496623773,True,0.02,False,False
BR,DIR_cbmtr_mean_P16_vs_FLAT,mae_all,FLAT,DIR_cbmtr_mean_P16,-0.03997882400484655,-0.11675266116343139,0.015072683080162295,-0.10633906959420317,0.022555807614697467,0.1816,0.03457030528710219,0.09679685480388613,-0.036146839359128165,90,39,0,5,-0.071761384038844,-0.020739681821119554,True,0.02,False,False
BR,MAG_cbmtr_mean_ridge_vs_FLAT,mae_all,FLAT,MAG_cbmtr_mean_ridge,0.06525567765611844,-0.02584624509290078,0.12853576446338205,-0.003641960719311915,0.15143758929738987,0.1926,0.041317284386356776,0.11568839628179896,0.020827089170084103,90,60,5,5,0.017695697271845095,0.07513471028173267,True,0.02,False,False
BR,MAG_cbmtr_mean_cos_vs_FLAT,mae_all,FLAT,MAG_cbmtr_mean_cos,0.07633979676625056,-0.002059805538450877,0.13177756799038648,0.01660597257011157,0.1514950237910653,0.0574,0.03582921456925968,0.1003218007939271,0.047434596198851944,90,62,5,5,0.035076609903201175,0.08486441168149625,True,0.02,False,False
BR,CUR_cbmtr_mean_ridge_vs_FLAT,mae_all,FLAT,CUR_cbmtr_mean_ridge,0.08565796827011984,-0.010875056616834503,0.14912833756105928,0.011608897049214315,0.16658175025031766,0.0868,0.04210927037291755,0.11790595704416913,0.04503789631882403,90,53,5,5,0.040103906012964506,0.09570659584257704,True,0.02,False,False
BR,CUR_cbmtr_mean_sign_vs_FLAT,mae_all,FLAT,CUR_cbmtr_mean_sign,0.07653603152844331,-0.01447619647119931,0.13451178131767833,0.005651983240641178,0.1491932146560056,0.1012,0.038953692623834926,0.1090703393467378,0.037774003540713516,90,55,5,5,0.036000622374399986,0.08588522676282724,True,0.02,False,False
BR,COMP_cbmtr_mean_vs_FLAT,mae_all,FLAT,COMP_cbmtr_mean,0.008734676297912154,-0.08660581115546485,0.07900068713249533,-0.0701031655511469,0.09407902438387376,0.9142,0.04387737187010845,0.12285664123630365,0.012013941396482172,90,46,4,5,-0.036329159720680904,0.032588009327452414,False,0.02,False,False
BR,CONCAT_cbmtr_mean_P16_vs_FLAT,mae_all,FLAT,CONCAT_cbmtr_mean_P16,0.034372827658006345,-0.04702742964270662,0.0928079744401662,-0.028649579510908307,0.10929390833665338,0.4796,0.03704655025895804,0.10373034072508251,0.012862004221452054,90,48,5,5,-0.006455804807097128,0.044215863822883346,False,0.02,False,False
BQ,DIR_morgan2_C1_vs_G14,mae_all,G14,DIR_morgan2_C1,-0.12581399521770617,-0.178443633901924,-0.05305327655033919,-0.18905568117359497,-0.06552023786709987,0.0004,0.03184914624624365,0.08917760948948222,-0.08752664299436493,90,7,0,5,-0.13303431777551158,-0.10633913014193756,True,0.02,False,False
BQ,DIR_cbmtr_mean_C1_vs_G14,mae_all,G14,DIR_cbmtr_mean_C1,-0.10519656799835157,-0.16270140468016153,-0.04147083221094829,-0.1767882403997566,-0.05152831046052886,0.0014,0.030343927326675298,0.08496299651469083,-0.07074766237897533,90,8,0,5,-0.11218523407054624,-0.08500293502535226,True,0.02,False,False
BQ,DIR_cbmtr_cls_C1_vs_G14,mae_all,G14,DIR_cbmtr_cls_C1,-0.07203879671389056,-0.13991595158135947,-0.02041235518179667,-0.15722656051420503,-0.027415805514185314,0.0052,0.030541624646972805,0.08551654901152385,-0.060656685976861587,90,6,0,5,-0.0843502263056569,-0.04947675150628689,True,0.02,False,False
BQ,DIR_cbmlm_mean_C1_vs_G14,mae_all,G14,DIR_cbmlm_mean_C1,-0.1179061601952749,-0.1726557012037521,-0.04223894464088636,-0.1931596013231731,-0.05950613685164149,0.0002,0.034843808847038873,0.09756266477170884,-0.08446644224384345,90,8,0,5,-0.12360580506101826,-0.07811024088331771,True,0.02,False,False
BQ,DIR_cbmlm_cls_C1_vs_G14,mae_all,G14,DIR_cbmlm_cls_C1,-0.18233566034333512,-0.2340439210060222,-0.09804413280656464,-0.24264552256200764,-0.11113021658282139,0.0,0.03532664084806822,0.098914594374591,-0.12026169884399122,90,11,0,5,-0.19045659897154002,-0.1549357239508095,True,0.02,False,False
BQ,DIR_cbmtr_mean_C0.1_vs_G14,mae_all,G14,DIR_cbmtr_mean_C0.1,-0.11055490517747764,-0.1688887319008884,-0.03690927938277438,-0.18100420161454506,-0.04976355551509606,0.0044,0.03291249085567433,0.09215497439588813,-0.0643616388417197,90,10,0,5,-0.11760377728539281,-0.09074401057441589,True,0.02,False,False
BQ,DIR_cbmtr_mean_C0.01_vs_G14,mae_all,G14,DIR_cbmtr_mean_C0.01,-0.12522829847463973,-0.18186370675220687,-0.05139644467393956,-0.19345607126412545,-0.06377722894162621,0.001,0.032666845602417546,0.09146716768676913,-0.07907168355422721,90,9,0,5,-0.13136342143660373,-0.10646550339280385,True,0.02,False,False
BQ,DIR_cbmtr_mean_P16_vs_G14,mae_all,G14,DIR_cbmtr_mean_P16,-0.14835324941906325,-0.1993631281356281,-0.07003269124836704,-0.21177373855069082,-0.08492908655918345,0.0,0.03316685262562851,0.09286718735175982,-0.10099389798907876,90,11,0,5,-0.15376596661098485,-0.12299926979289272,True,0.02,False,False
BQ,MAG_cbmtr_mean_ridge_vs_G14,mae_all,G14,MAG_cbmtr_mean_ridge,-0.020215199667482604,-0.0533170307564439,0.006263519322758714,-0.05405299513966857,0.005643088408104561,0.1268,0.014889250876185691,0.04168990245331993,-0.03042459543626219,90,37,0,5,-0.025221489445526716,-0.014016158829508109,True,0.02,False,False
BQ,MAG_cbmtr_mean_cos_vs_G14,mae_all,G14,MAG_cbmtr_mean_cos,-0.013250337621611484,-0.03687838605511634,0.01134765896870167,-0.03716791964880291,0.011194352688874944,0.2522,0.012104411929621126,0.03389235340293915,-0.01238986979062024,90,38,1,5,-0.017714558802385927,-0.00785586743859869,True,0.02,False,False
BQ,CUR_cbmtr_mean_ridge_vs_G14,mae_all,G14,CUR_cbmtr_mean_ridge,-0.007557133015206984,-0.026185963657179213,0.00962683045254998,-0.025077434248071902,0.010852351282536876,0.3486,0.008909084228347578,0.02494543583937322,-0.01365359945043683,90,39,0,5,-0.011774272597024479,-0.004699304095637097,True,0.02,False,False
BQ,CUR_cbmtr_mean_sign_vs_G14,mae_all,G14,CUR_cbmtr_mean_sign,-0.02068857924472708,-0.04204030478443245,-0.0005911485440151635,-0.040057276031695496,0.0013526308013596259,0.0438,0.010384762122521901,0.02907733394306132,-0.03228451857179703,90,37,0,5,-0.026441218220206116,-0.016783469820150866,True,0.02,False,False
BQ,COMP_cbmtr_mean_vs_G14,mae_all,G14,COMP_cbmtr_mean,-0.07997888215276405,-0.14908853101171185,-0.012609487656519336,-0.16898412239142127,-0.02681401466460963,0.024,0.03385460359431949,0.09479289006409458,-0.04788327362207832,90,33,0,5,-0.08837605100038429,-0.0545530919120057,True,0.02,False,False
BQ,CONCAT_cbmtr_mean_P16_vs_G14,mae_all,G14,CONCAT_cbmtr_mean_P16,-0.07266883128370183,-0.10418744131543953,-0.0330321550023988,-0.10903530602627662,-0.038323096796465436,0.0002,0.018048056901662276,0.05053455932465437,-0.0594349453364229,90,7,0,5,-0.07703444714807357,-0.06323057312630936,True,0.02,False,False
BQ,DIR_morgan2_C1_vs_FLAT,mae_all,FLAT,DIR_morgan2_C1,-0.027850947217496588,-0.09976742502650467,0.023960590558706966,-0.09375091004546815,0.02732148366923998,0.3322,0.03177806589646246,0.08897858451009488,-0.02155162206275937,90,37,1,5,-0.05367506299497145,-0.009879743674320172,True,0.02,False,False
