design,model,n_units,n_chemotypes,macro_accuracy,ci_low,ci_high,pooled_accuracy,seconds,gain,gain_lo,gain_hi,p_two_sided,units_better,units_worse
BP,TOPO39,82,40,0.8205036426987645,0.7036516858962746,0.9000004833354347,0.7820069204152249,2.2,,,,,,
BP,chemberta_mlm__mean_C1,82,40,0.568688628444726,0.478813280556978,0.7038256620428751,0.4906574394463668,5.0,-0.2518150142540386,-0.36545553067622033,-0.0707452988381843,0.0058,10.0,45.0
BP,chemberta_mtr__cls_P20_C1,82,40,0.5558050892197234,0.4788741078548645,0.6715546520927752,0.5086505190311419,4.4,-0.2646985534790413,-0.36093981775799966,-0.09955866097153583,0.0014,6.0,53.0
BP,chemberta_mtr__mean_P16_C1,82,40,0.5552497096399536,0.47822366305449104,0.6452396694214876,0.4657439446366782,3.7,-0.2652539330588111,-0.35357090706564387,-0.13949945887445891,0.0,8.0,53.0
BP,morgan2_C1,82,40,0.5427673952064195,0.46650113921166547,0.6526909440559442,0.4740484429065744,3.0,-0.27773624749234505,-0.3729358891299395,-0.119293931550187,0.0008,9.0,57.0
BP,chemberta_mlm__mean_C0.1,82,40,0.5347048886073277,0.4397941306392687,0.674967885375494,0.4463667820069204,4.0,-0.28579875409143707,-0.40455299143013623,-0.09491416775315081,0.0028,11.0,51.0
BP,chemberta_mtr__cls_C0.1,82,40,0.5174838982156056,0.43117874178290844,0.6450011904761904,0.46505190311418687,3.5,-0.30301974448315916,-0.4122983189970203,-0.13223267045454548,0.0002,7.0,50.0
BP,chemberta_mtr__mean_C0.1,82,40,0.5121602787456445,0.4399655308941307,0.5901526292335115,0.4491349480968858,4.0,-0.30834336395312,-0.4102720366934653,-0.16512549381401842,0.0,7.0,59.0
BP,morgan2_P8_C1,82,40,0.5108911413789463,0.4104772020961494,0.6536269846586722,0.4615916955017301,3.8,-0.30961250131981843,-0.433891254849047,-0.11675082700318551,0.0006,12.0,49.0
BP,chemberta_mlm__mean_P20_C1,82,40,0.5093369232393624,0.42053475325816253,0.6188196085145238,0.5557093425605536,3.2,-0.31116671945940244,-0.4345246745645341,-0.14505034213098728,0.0012,9.0,56.0
BP,chemberta_mtr__mean_C1,82,40,0.5031939605110336,0.40783677290142806,0.6055838555153623,0.49896193771626296,4.1,-0.317309682187731,-0.4385835894152796,-0.1596987263943786,0.0006,5.0,52.0
BP,chemberta_mlm__mean_P16_C1,82,40,0.5027293844367015,0.39046451029658547,0.6075617021803521,0.5709342560553633,3.1,-0.3177742582620631,-0.4552192682317683,-0.16428187721369544,0.0004,9.0,58.0
BP,chemberta_mtr__cls_C1,82,40,0.5000622954281492,0.4070694590694591,0.619995325995326,0.4657439446366782,4.7,-0.3204413472706156,-0.4367609399746595,-0.15657746746461487,0.0004,6.0,53.0
BP,morgan2_C0.1,82,40,0.49218561925878995,0.3979691253982327,0.6313646694214876,0.38269896193771624,2.5,-0.3283180234399746,-0.44033698939948934,-0.14011818181818184,0.0002,9.0,60.0
BP,chemberta_mtr__mean_P20_C1,82,40,0.47652095871608074,0.409904509332011,0.5719845494417863,0.4401384083044983,3.7,-0.343982683982684,-0.43287797367914616,-0.19683763096806578,0.0,6.0,62.0
BP,chemberta_mtr__mean_C0.01,82,40,0.47332171893147496,0.3747604112554113,0.6214293698105172,0.4013840830449827,3.3,-0.34718192376728957,-0.4677310134696894,-0.1567088744588745,0.0,8.0,59.0
BP,chemberta_mlm__cls_P20_C1,82,40,0.4706398479569212,0.37248462688105555,0.6141428571428572,0.46643598615916954,3.2,-0.3498637947418435,-0.47913674933387973,-0.1473621766280108,0.001,15.0,58.0
BP,chemberta_mtr__cls_C0.01,82,40,0.4624231865695281,0.3181673823744093,0.6503127520161291,0.3543252595155709,3.4,-0.3580804561292366,-0.5197219858156028,-0.11471498865152385,0.001,11.0,53.0
BP,chemberta_mlm__mean_C0.01,82,40,0.4585798754091437,0.3389095811390621,0.6329231563890653,0.3494809688581315,3.9,-0.36192376728962095,-0.5083468434343434,-0.13225518433179725,0.0014,13.0,57.0
BP,chemberta_mlm__cls_C1,82,40,0.4457406820821455,0.3493528638728219,0.588506022108563,0.44359861591695504,4.1,-0.3747629606166192,-0.503076023729357,-0.1627407980736155,0.0008,13.0,53.0
BP,morgan2_P20_C1,82,40,0.4370721148769929,0.3291517569310123,0.6032938076416337,0.3245674740484429,2.9,-0.3834315278217717,-0.518183743134336,-0.1526845270639694,0.0004,10.0,58.0
BP,morgan2_C0.01,82,40,0.43693907718297953,0.3081077790388499,0.6080871212121212,0.3349480968858132,2.3,-0.383564565515785,-0.5314324710509236,-0.1548821548821549,0.0,11.0,60.0
BP,chemberta_mlm__cls_C0.1,82,40,0.4330662020905924,0.31573539909258,0.6039548022598868,0.3903114186851211,3.1,-0.3874374406081723,-0.5363715875960773,-0.15208241959064328,0.0008,13.0,57.0
BP,morgan2_P16_C1,82,40,0.4288153310104529,0.334298128342246,0.5839894165535957,0.3916955017301038,3.3,-0.3916883116883117,-0.517008455377966,-0.17626692250293152,0.0002,10.0,58.0
BP,chemberta_mlm__cls_C0.01,82,40,0.4226005701615459,0.28770505529661666,0.6090909090909091,0.3349480968858132,2.9,-0.39790307253721885,-0.5642413333333334,-0.14137931034482756,0.001,14.0,58.0
BP,chemberta_mlm__cls_P16_C1,82,40,0.42158483792630136,0.3325090982101678,0.5585394426216389,0.42145328719723185,2.8,-0.3989188047724633,-0.5195661638025274,-0.2035149920255183,0.0,11.0,64.0
BP,chemberta_mtr__cls_P16_C1,82,40,0.41728539752930005,0.32866636633004026,0.552788986013986,0.37301038062283737,4.1,-0.4032182451694647,-0.519085488740951,-0.21086329966329967,0.0002,8.0,60.0
BP,chemberta_mtr__cls_P8_C1,82,40,0.4043448421497203,0.2913204377929082,0.571677811467865,0.3370242214532872,4.1,-0.4161588005490444,-0.5548996584223856,-0.20350877192982458,0.0,11.0,58.0
BP,chemberta_mlm__mean_P8_C1,82,40,0.3846700454017527,0.289068972901635,0.5296303948576677,0.2906574394463668,3.4,-0.43583359729701193,-0.5645600527913913,-0.22280570715733672,0.0,11.0,64.0
BP,chemberta_mlm__cls_P8_C1,82,40,0.3705976137683455,0.27491474511882674,0.4996051548089591,0.3121107266435986,2.8,-0.4499060289304191,-0.5771975562432734,-0.24300710921532045,0.0,11.0,64.0
BP,chemberta_mtr__mean_P8_C1,82,40,0.32652412628022387,0.2759859515330691,0.404256164587047,0.31141868512110726,4.3,-0.49397951641854076,-0.5861306277056276,-0.33787878787878795,0.0,10.0,67.0
