chemotype,n,mae_gp,mae_g14,delta
sc061,85,0.3092046396542271,0.42770620875107596,-0.11850156909684884
sc017,5,0.14152150712666672,0.24916821286145732,-0.1076467057347906
sc085,5,0.23099233549797038,0.3302391967625271,-0.09924686126455673
sc075,5,0.05035833354680815,0.14653467626803574,-0.09617634272122758
sc078,5,0.24724230569837463,0.34192861078551245,-0.09468630508713782
sc084,5,0.268675609289035,0.3572176107291252,-0.08854200144009022
sc015,5,0.8099962212738715,0.8841160885177558,-0.07411986724388431
sc057,5,0.5271934599819637,0.5761456901138496,-0.04895223013188599
sc086,10,0.21005548621016318,0.2568609065853236,-0.046805420375160445
sc060,10,0.5771642863732472,0.6223718938617343,-0.04520760748848707
sc033,5,0.40310613798694367,0.44421051949365375,-0.041104381506710086
sc036,20,0.17210753036806942,0.21158753595944732,-0.039480005591377904
sc007,5,0.08531369414612953,0.12434702568245859,-0.039033331536329055
sc018,55,0.32024428162863416,0.35395984409038656,-0.03371556246175239
sc028,10,0.5897342116285506,0.6141033290995851,-0.02436911747103454
sc077,50,0.22649814218402273,0.2460482259819524,-0.019550083797929663
sc083,5,0.28378413686998283,0.2995059293497008,-0.015721792479717944
sc001,5,0.2247379552988384,0.23909780993870297,-0.014359854639864583
sc076,55,0.24723526965132478,0.2583344685565547,-0.011099198905229896
sc009,825,0.29731165483798805,0.3047221196333033,-0.007410464795315264
sc008,10,0.26081922750304987,0.267203656705667,-0.0063844292026171146
sc097,5,0.20841460725371644,0.2133699739147675,-0.004955366661051064
sc031,10,0.1525653312985651,0.15372618822173328,-0.0011608569231681964
sc058,5,0.4081088451091638,0.4089673892029165,-0.0008585440937526889
sc069,10,0.4196701264711046,0.4170867685948815,0.0025833578762231024
sc071,60,0.30196947446920586,0.29680731463125737,0.005162159837948488
sc019,5,0.6060124726134383,0.6005154971155984,0.0054969754978398955
sc027,50,0.14075847226689087,0.1339930356543294,0.0067654366125614596
sc068,25,0.20924979484538864,0.20236833047494102,0.006881464370447621
sc029,20,0.2587078799014038,0.2516359228418747,0.0070719570595291215
sc021,5,0.8160407595781262,0.805402291574857,0.010638468003269175
sc030,10,0.1100014144994573,0.09893852552304819,0.011062888976409113
sc070,5,0.07058291372276966,0.04828338768736119,0.022299526035408468
sc096,5,0.3007662032369848,0.264870732502708,0.03589547073427679
sc055,10,0.12239750262667153,0.08021463585983546,0.042182866766836066
sc059,5,0.13815954541403036,0.09577170576079078,0.042387839653239584
sc000,5,0.27980075030852725,0.2357458097194581,0.04405494058906914
sc020,15,0.35433431119792824,0.2998426705400853,0.054491640657842955
sc010,5,0.12578678873610813,0.035209082314432164,0.09057770642167597
sc012,5,0.4890329409608185,0.15688119358062344,0.33215174738019504
