design,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds
BR,G14,0.4905920517292001,0.014039710819326394,0.5434608395188645,0.18884160020533114,0.6457480237299666,0.8092998975051431,0.5025068226822679,0.4928720161505613,0.16338999353985065,0.7430150532971037,0.9053763440860215,90,83,88,86,5
BR,D_TAN_SVC_C10,0.5852462401150891,0.02697685817831098,0.6234973919815667,0.20550656972114983,0.8047121054356946,0.6195259934534134,0.25572731378982955,0.6041654124108085,0.1809717083545896,0.9283214034525432,0.6895068594734891,90,83,88,86,5
BR,D_TAN_KRR_a0.1,0.5865939896250216,0.014258649691018156,0.63882635565401,0.19997239517429335,0.8013125773732959,0.626660957095547,0.3070183409180099,0.5374046861024558,0.1689086619771964,0.8191984525663931,0.8293906810035843,90,83,88,86,5
BR,D_TAN_KLR_l0.1,0.5874667590331658,0.03338308201047215,0.6243873704779217,0.20546555985900974,0.811920433649226,0.6201607212586184,0.2451368478909437,0.6281503237949295,0.1854300913712936,0.9680172999567072,0.6308490915832407,90,83,88,86,5
BR,FLAT,0.5885062528901843,0.0,0.6092005776059211,0.20691787779638152,0.8071706996999868,0.0,,0.6499911278057761,0.18946933882956532,1.0118291621647848,0.0,90,83,88,86,5
BR,D_ECFPraw_LOGIT_C1,0.5885431008464,0.028977685833948736,0.6274605000543455,0.20531935081705832,0.8132375134911565,0.6183015802278533,0.24579877581711224,0.6191020522159807,0.18331958954205999,0.9538875157547936,0.6561364479050797,90,83,88,86,5
BR,D_KNN_TAN_k10,0.5891439248070071,0.015204498302180642,0.6330441833250948,0.200275007382072,0.8053529734883247,0.6619135951447523,0.33400611248189976,0.5426018791684273,0.16922062083474068,0.8290445333878582,0.8243480410332468,90,83,88,86,5
BR,D_ECFPraw_LOGIT_C0.1,0.5903687067343806,0.03703673890398849,0.6323384601494622,0.20592303690648137,0.8159916950999783,0.6140360463436053,0.23757441021379727,0.6176300505404988,0.1839955588983992,0.9502730650969258,0.6532443455691509,90,83,88,86,5
BR,D_TAN_KRR_a0.01,0.5929068893056215,0.020847566568523664,0.6430103044146722,0.2024683173529534,0.8141839621523974,0.6113865792905694,0.28233954142668183,0.5411198454550415,0.16971481698793534,0.825228419296908,0.8239278210357187,90,83,88,86,5
BR,D_TAN_SVC_C1,0.5945235894203471,0.049679221627193626,0.6218804445953807,0.20644398963587288,0.8229915047889819,0.6079236699493635,0.22591338582003676,0.6449154923863631,0.18785945315019023,0.996743392509938,0.6063774564330738,90,83,88,86,5
BR,D_TAN_KRR_a1,0.5954185612292855,0.02721892513342918,0.65133459531628,0.2006040241641461,0.8131595535848593,0.6193850570144923,0.2959038255311194,0.5309527959708691,0.16712015629508803,0.8095838987970371,0.8470893585465332,90,83,88,86,5
BR,D_TAN_KRR_a10,0.6059320989181906,0.01397062520724195,0.666020886897521,0.20182436080433264,0.8242560527863834,0.6384829665085114,0.31076464764045675,0.5316970390639869,0.16662405359465424,0.8123416783971079,0.853343220862687,90,83,88,86,5
BR,D_KNN_TAN_k3,0.6077444612338458,0.008749769697357279,0.6300906724199644,0.20260694418963618,0.8421319301687527,0.5996645137864961,0.2602777442326499,0.628221651201035,0.18525212453789186,0.9664804041813759,0.6408354962303794,90,83,88,86,5
