design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
B,G14R_vs_G14,mae_all,G14,G14R,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90,0,0,5,0.0,0.0,False,0.02,False,False
B,SH_DIR_vs_G14,mae_all,G14,SH_DIR,-0.023237916274013354,-0.06681536445799509,0.00020421797773333527,-0.06789554936288827,-2.1140526748719734e-05,0.0532,0.017529592204590074,0.049082858172852205,-0.03616311217034976,90,6,0,5,-0.03607895417411824,-0.01131115705480889,True,0.02,False,False
B,SH_MAG_vs_G14,mae_all,G14,SH_MAG,-0.012440297621227822,-0.03746388704092614,0.005817388505981812,-0.031919328882687614,0.011994571093186824,0.2108,0.011645739342318415,0.03260807015849156,-0.02051602279819976,90,35,0,5,-0.025857025096173054,-0.010068977443959211,True,0.02,False,False
B,SH_BOTH_vs_G14,mae_all,G14,SH_BOTH,-0.03946134314588885,-0.10360079990610964,0.0009999740580753304,-0.09034912264000843,0.009947026129272899,0.0566,0.02734927215731879,0.07657796204049261,-0.06298720917519951,90,35,0,5,-0.0680469665111343,-0.025643900430816994,True,0.02,False,False
B,SH_BOTH_G_vs_G14,mae_all,G14,SH_BOTH_G,-0.033222507689173536,-0.09219126152121668,0.005094066344603783,-0.0796449616469188,0.014646278701901412,0.0964,0.025380610370122157,0.07106570903634203,-0.05405196272640352,90,37,0,5,-0.05983935979884591,-0.023166387843598705,True,0.02,False,False
B,SH_ALL_vs_G14,mae_all,G14,SH_ALL,-0.03928567496400954,-0.10345067232577017,0.001300889681002204,-0.08969327599304813,0.010073055760112798,0.0588,0.027357885550399075,0.0766020795411174,-0.0618556088847512,90,34,0,5,-0.06795392118291457,-0.025418526811250588,True,0.02,False,False
B,PRECW_vs_G14,mae_all,G14,PRECW,0.0008151811754515138,0.0,0.0032850584682374436,0.0,0.004852041561443116,0.72,0.0009307099319798568,0.002605987809543599,0.0016303623509030276,90,1,1,5,0.0,0.0010950194894124813,False,0.02,False,False
B,MAGDEATT_vs_G14,mae_all,G14,MAGDEATT,0.0006440273803367594,-0.0031617336418132574,0.005827467911369472,-0.004383240821794854,0.004682776626759909,0.7122,0.002413824911842776,0.006758709753159772,0.002286802461728357,90,51,4,5,0.0001756568467566073,0.0034271559943172577,True,0.02,False,False
B,PRECW_DEATT_vs_G14,mae_all,G14,PRECW_DEATT,0.0014592085557882722,-0.0028052125907268993,0.007738575036515902,-0.004046679523426206,0.00632730749845406,0.53,0.0027978056897592983,0.007833855931326034,0.003917164812631384,90,51,4,5,0.0004337575357515255,0.0045221754837297375,True,0.02,False,False
B,SH_PRECW_vs_G14,mae_all,G14,SH_PRECW,-0.04145032804319028,-0.10665008965097325,-2.0536898545613946e-05,-0.09345405023618207,0.00922268990349845,0.0496,0.02804678057657249,0.07853098561440297,-0.06696517896980238,90,35,0,5,-0.0707187372687034,-0.027701471014232266,True,0.02,False,False
B,G14_vs_FLAT,mae_all,FLAT,G14,0.09529829584074972,0.004622727498256647,0.15811118146640468,0.025528926143979863,0.17776096664043636,0.0374,0.04070711883377454,0.11397993273456872,0.061380939032823635,90,58,5,5,0.04912099154657615,0.10503240825245709,True,0.02,True,True
B,G14R_vs_FLAT,mae_all,FLAT,G14R,0.09529829584074972,0.004622727498256647,0.15811118146640468,0.025528926143979863,0.17776096664043636,0.0374,0.04070711883377454,0.11397993273456872,0.061380939032823635,90,58,5,5,0.04912099154657615,0.10503240825245709,True,0.02,True,True
B,SH_DIR_vs_FLAT,mae_all,FLAT,SH_DIR,0.07206037956673636,-0.036556214895137995,0.14924386034894424,-0.010435873539475568,0.17742800375596332,0.2534,0.04983817399506052,0.13954688718616945,0.02521782686247386,90,56,5,5,0.013042037372457904,0.08241809424780981,True,0.02,False,False
B,SH_MAG_vs_FLAT,mae_all,FLAT,SH_MAG,0.0828579982195219,-0.03142195003995365,0.16367950013590793,-0.004313313207272005,0.19067230290092765,0.1896,0.051883891780974016,0.14527489698672724,0.04086491623462385,90,56,5,5,0.023263966450403087,0.09496343080849787,True,0.02,False,False
B,SH_BOTH_vs_FLAT,mae_all,FLAT,SH_BOTH,0.05583695269486085,-0.07887908491463515,0.1533401999322916,-0.047187950946105735,0.19075160892633974,0.5284,0.06257534154331808,0.1752109563212906,-0.0016062701423758992,90,52,5,5,-0.018925974964558168,0.0680853508718017,False,0.02,False,False
B,SH_BOTH_G_vs_FLAT,mae_all,FLAT,SH_BOTH_G,0.06207578815157617,-0.07029848383801698,0.15727855413870648,-0.039854513266869875,0.1940309649614852,0.4592,0.06127768843030043,0.17157752760484118,0.0073289763064200986,90,52,5,5,-0.010718368252269758,0.07365136872174201,False,0.02,False,False
B,SH_ALL_vs_FLAT,mae_all,FLAT,SH_ALL,0.056012620876740186,-0.07930992220141024,0.1538264214562995,-0.047319362565245805,0.19111151420452369,0.5264,0.06263978143528473,0.17539138801879722,-0.00047466985192757026,90,53,5,5,-0.018832929636338425,0.06831072449136812,False,0.02,False,False
