design,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds
B,G14,0.4932079570494346,0.010659810361846232,0.5478196385730973,0.1898140285832599,0.6502393412817644,0.8081496698831565,0.5062372365904857,0.4975640701507178,0.16385099716971985,0.7517962575010522,0.9054999382029415,90,83,88,86,5
B,BEST_MAG_NBLOCK,0.49559709860574674,0.01911922421778922,0.5507369927897626,0.19191013403087614,0.6524120449735582,0.7859695655379932,0.5002016162591371,0.47367650336905986,0.16146491080858966,0.7085245712261905,0.9023853664565566,90,83,88,86,5
B,BEST_CURV_ERMSA,0.4962205105111964,0.011691077119441132,0.5428318505160532,0.18609349563207472,0.6514694394843388,0.8169122323095344,0.5057294292426529,0.49791209860720165,0.16422130221834827,0.7459226699999719,0.8888641700655049,90,83,88,86,5
B,BEST_CURV_DSPREAD,0.5015363426861892,0.011521198826389889,0.5577343433306883,0.19189804304494798,0.6593680508976343,0.7938832650101075,0.4817901482703476,0.49854880984570127,0.16511735843720649,0.7522870219461704,0.8935607465084662,90,83,88,86,5
B,BEST_MAG_ERMSB,0.508627441943637,0.014080367268970578,0.5702251845375953,0.19207144724045327,0.6726479459298351,0.7791691039028461,0.48967138404482763,0.5001158834179348,0.1653784580681924,0.7545613702985444,0.8932641206278581,90,83,88,86,5
B,FLAT,0.5885062528901843,0.0,0.6092005776059211,0.20691787779638152,0.8071706996999868,0.0,,0.6499911278057761,0.18946933882956532,1.0118291621647848,0.0,90,83,88,86,5
BR,G14,0.4905920517292001,0.014039710819326394,0.5434608395188645,0.18884160020533114,0.6457480237299666,0.8092998975051431,0.5025068226822679,0.4928720161505613,0.16338999353985065,0.7430150532971037,0.9053763440860215,90,83,88,86,5
BR,BEST_MAG_NBLOCK,0.49179899482983547,0.017038303654104095,0.5449551995832319,0.19136128393037,0.6461690797664534,0.7863981862075808,0.4968210827547429,0.47453237743567594,0.16170899964709645,0.7093348194553235,0.8997157335310839,90,83,88,86,5
BR,BEST_CURV_ERMSA,0.49807400886634723,0.014500820914085888,0.5434702064299792,0.1867048203539207,0.6533929667926591,0.8196197969551887,0.5047853787340466,0.49417065409579614,0.16407321887302193,0.7400224281861111,0.8995179829440119,90,83,88,86,5
BR,BEST_CURV_DSPREAD,0.5000692425182317,0.013363992183948833,0.5562466603898629,0.19183371852323558,0.655023977473277,0.793260451032606,0.4795813602006329,0.4942625589747093,0.16564756113848256,0.743382668699058,0.8870844147818564,90,83,88,86,5
BR,BEST_MAG_ERMSB,0.5068212338027347,0.02064600011842474,0.5683556954912039,0.19184725647521586,0.6693214111195431,0.7846543825011681,0.48939072454829835,0.49711700516488044,0.16572972744089498,0.7475376856493521,0.8960326288468669,90,83,88,86,5
BR,FLAT,0.5885062528901843,0.0,0.6092005776059211,0.20691787779638152,0.8071706996999868,0.0,,0.6499911278057761,0.18946933882956532,1.0118291621647848,0.0,90,83,88,86,5
BQ,G14,0.49054320488997477,0.009134233360714113,0.5432255566743154,0.18901203506946682,0.6462779108490173,0.8101769497198481,0.5078459215681232,0.4970622073752167,0.16352458119011853,0.750815562743633,0.9065628476084538,90,83,88,86,5
BQ,BEST_CURV_ERMSA,0.4937108226084389,0.011485456362630597,0.5373381699147488,0.18542977349482131,0.647970614769858,0.8148591277667855,0.5071586517804072,0.49886844603685004,0.164526817233389,0.7468925961467868,0.8827091830428871,90,83,88,86,5
BQ,BEST_MAG_NBLOCK,0.49396603019077856,0.016278266655645333,0.5483093526289118,0.1917162943422855,0.6501300833608517,0.7816844251841597,0.4938953626655424,0.47343457783792087,0.1613589029146328,0.7076025658882947,0.8989988876529477,90,83,88,86,5
