design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
B,P3_DIR_ALL_vs_G14,mae_all,G14,P3_DIR_ALL,-0.14408394275130745,-0.19302447102163336,-0.07519089300616463,-0.2093279735301505,-0.09031187064660562,0.0,0.03153613006957382,0.0883011641948067,-0.11074274667408622,90,9,0,5,-0.1507855214839264,-0.10785942969743917,True,0.02,False,False
B,P3_DIR_PHYS_vs_G14,mae_all,G14,P3_DIR_PHYS,-0.1712606082829726,-0.24546010481815464,-0.07185952079942196,-0.2733468660318571,-0.09302545759533089,0.0,0.0476542792616221,0.13343198193254188,-0.1145500643732406,90,9,0,5,-0.18074976787414526,-0.11333090574051918,True,0.02,False,False
B,P3_DIR_TOPO_vs_G14,mae_all,G14,P3_DIR_TOPO,-0.0713866412890232,-0.10352949039272596,-0.04066159508855922,-0.10753361473939922,-0.044185144289844866,0.0002,0.01564598305364786,0.043808752550214006,-0.06584602014944003,90,6,0,5,-0.07552977052221388,-0.06352889273630391,True,0.02,False,False
B,P3_MAG_ALL_vs_G14,mae_all,G14,P3_MAG_ALL,-0.03838013535021781,-0.09945201939834818,0.01076044184531049,-0.11265799130199451,0.0038845927128545233,0.1326,0.02808209856887166,0.07862987599284064,-0.01644225954221053,90,33,0,5,-0.04922047761691839,-0.01846905701812093,True,0.02,False,False
B,P3_MAG_TOPO_vs_G14,mae_all,G14,P3_MAG_TOPO,-0.09425520524473555,-0.1865717494632495,-0.0317440582877787,-0.17347245937325184,-0.022692986969250584,0.0004,0.04043919004275356,0.11322973211970995,-0.12057176927786815,90,26,0,5,-0.13028400473826596,-0.07680641636947601,True,0.02,False,False
B,TOPO_MAG_vs_G14,mae_all,G14,TOPO_MAG,-0.03832259924172681,-0.09757565493543084,0.0013586053903088726,-0.10584795096120359,-0.0020684416658279014,0.0584,0.02530063127394574,0.07084176756704808,-0.06900791819433422,90,37,0,5,-0.046217756770042674,-0.025520588442048665,True,0.02,False,False
B,P3_MAG_1D_vs_G14,mae_all,G14,P3_MAG_1D,-0.006208721970861989,-0.03137079483882665,0.010360317261617373,-0.027399334366272485,0.01300220223458832,0.5142,0.010917173764594666,0.030568086540865062,-0.009680242099545811,90,38,1,5,-0.01641396118928325,-0.0012070396598139275,True,0.02,False,False
B,P3_CURV_ALL_vs_G14,mae_all,G14,P3_CURV_ALL,-0.01151199538044735,-0.03192694423868817,0.012936395568529737,-0.029962918485462574,0.01682100644151781,0.3134,0.011404202582096725,0.03193176722987083,-0.01135201339853877,90,36,0,5,-0.017805427763561383,-0.008676576417319958,True,0.02,False,False
B,P3_CURV_TOPO_vs_G14,mae_all,G14,P3_CURV_TOPO,-0.013160831817832203,-0.03655762224820009,0.00792252393156524,-0.03402171943249318,0.010419309517338557,0.1918,0.010937115813551914,0.030623924277945358,-0.022180183234337264,90,37,0,5,-0.019775980610000087,-0.00959593357038938,True,0.02,False,False
B,TOPO_CURV_vs_G14,mae_all,G14,TOPO_CURV,-0.003383742291451642,-0.022797192145811884,0.01451746848092476,-0.02444203510308794,0.013287633603609116,0.6938,0.009186769792520012,0.02572295541905603,-0.001742273438783371,90,41,1,5,-0.0063246862889025975,-5.1014964826107825e-05,True,0.02,False,False
B,P3_CURV_1D_vs_G14,mae_all,G14,P3_CURV_1D,-0.0023680479587987165,-0.006264155978993138,0.002350445432880571,-0.006580735726201855,0.0020959240359930418,0.2898,0.0021677581771642807,0.006069722896059985,0.00034885538368362786,90,32,2,5,-0.0032130140453900577,-0.001216552760500432,True,0.02,False,False
B,P3_COMP_ALL_vs_G14,mae_all,G14,P3_COMP_ALL,-0.15012391120100765,-0.2173868197834683,-0.07707693677659615,-0.23716485751684097,-0.08964841644172715,0.0002,0.03563941990778615,0.09979037574180122,-0.11299033357968315,90,23,0,5,-0.15688120620508395,-0.12425770924687163,True,0.02,False,False
B,P3_COMP_TOPO_vs_G14,mae_all,G14,P3_COMP_TOPO,-0.14794498352228264,-0.2546333227401024,-0.07257984896795584,-0.2415801676608087,-0.06359023533929195,0.0,0.04700645958610379,0.1316180868410906,-0.16289344117165044,90,24,0,5,-0.18768597800235517,-0.12599932241105716,True,0.02,False,False
B,P3_TREE_ALL_vs_G14,mae_all,G14,P3_TREE_ALL,-0.036199482304727054,-0.082055947146292,0.0011440335109414877,-0.08576840483585949,-0.0010164198800207227,0.0584,0.021020722059067333,0.05885802176538853,-0.03402394105265058,90,39,0,5,-0.04312122330840694,-0.026049338761376422,True,0.02,False,False
B,P3_TREE_TOPO_vs_G14,mae_all,G14,P3_TREE_TOPO,0.008883793171524807,-0.034450203359354115,0.04285853320341649,-0.032322484913273504,0.04433750197235052,0.6774,0.019898921316888696,0.055716979687288344,0.00384136769284657,90,51,5,5,-0.004307063447717311,0.016667967934679027,False,0.02,False,False
B,G14_vs_FLAT,mae_all,FLAT,G14,0.09529829584074972,0.004622727498256647,0.15811118146640468,0.025528926143979863,0.17776096664043636,0.0374,0.04070711883377454,0.11397993273456872,0.061380939032823635,90,58,5,5,0.04912099154657615,0.10503240825245709,True,0.02,True,True
BR,P3_DIR_ALL_vs_G14,mae_all,G14,P3_DIR_ALL,-0.14965366858088108,-0.19953544381899507,-0.07823682721375023,-0.21678359890380966,-0.09437437644545683,0.0,0.0326154530288056,0.09132326848065567,-0.10966459204411826,90,10,0,5,-0.15661430432882906,-0.11146650306150212,True,0.02,False,False
BR,P3_DIR_PHYS_vs_G14,mae_all,G14,P3_DIR_PHYS,-0.1753942397635282,-0.25238701606454755,-0.07676152019366177,-0.2878668050572691,-0.09623662056550336,0.0,0.04906761081978255,0.13738931029539114,-0.11199597210320776,90,11,0,5,-0.181881424805046,-0.11323964503135948,True,0.02,False,False
BR,P3_DIR_TOPO_vs_G14,mae_all,G14,P3_DIR_TOPO,-0.0790556486099044,-0.10576248154556812,-0.03864364728288559,-0.10927353622857959,-0.04366781952830897,0.0002,0.01721563755474097,0.04820378515327472,-0.06168303467720623,90,5,0,5,-0.08469780162759011,-0.06698070853384414,True,0.02,False,False
BR,P3_MAG_ALL_vs_G14,mae_all,G14,P3_MAG_ALL,-0.04831411662765985,-0.11152848652085448,-0.0013488418553089842,-0.1183885032977735,-0.005569996129599386,0.0444,0.028020899195126327,0.0784585177463537,-0.034644536725006655,90,32,0,5,-0.06283295942195202,-0.028968013424610438,True,0.02,False,False
BR,P3_MAG_TOPO_vs_G14,mae_all,G14,P3_MAG_TOPO,-0.08845772968068281,-0.17653528616962266,-0.028643038392079694,-0.16372525239284585,-0.020365739194780633,0.0008,0.038276849460966815,0.10717517849070708,-0.11519554938295609,90,28,0,5,-0.12296786062312512,-0.07095267812002472,True,0.02,False,False
