descriptor,n_a,rho_a,p_a,loco_lo_a,loco_hi_a,part_a,between_a,within_a,icc_chemotype,n_abs_a,rho_abs_a,p_abs_a,loco_lo_abs_a,loco_hi_abs_a,part_abs_a,between_abs_a,within_abs_a,n_b,rho_b,p_b,loco_lo_b,loco_hi_b,part_b,between_b,within_b
anion_nitrate,82,0.43722999379650107,4.004082322213754e-05,0.2574409875465939,0.48196269271187986,0.41130125285635116,0.30516804286062676,0.5174001108778666,0.6074659639877029,82,-0.32327111243464707,0.0030526779900928004,-0.36990636665636784,-0.10795912380986196,-0.24603012438536986,-0.17202187194219293,-0.5159103070355692,82,0.23605768282098327,0.0327569651652347,0.060900018559409325,0.28566705630893546,0.19389093309078884,0.06942976636511614,0.3833177650711024
n_series,82,-0.16932896014784052,0.12830897476996578,-0.24189495912597214,-0.03936114890668105,-0.059098354355681136,-0.1504043468287151,-0.15861347835919867,0.6694687805461774,82,0.3152885433396048,0.003911592729922094,0.2777900690654337,0.3617771159036854,-0.0030251581719673943,0.2934718962511514,0.3689815992837089,82,-0.1793593856509221,0.10688830348024014,-0.2214258665792904,-0.11194586486295574,-0.044584520469530695,-0.1338965526645878,-0.19402884939639292
n_block,82,-0.2926887151682348,0.0076207341483071995,-0.3478045965786818,-0.2455821337923557,-0.22811142160158515,-0.2772471114800386,-0.15778714183980772,0.8728391384628247,82,0.4158128801457947,0.00010232626321768803,0.37663952741422396,0.47068159682221644,0.1439109363707781,0.46355638220098844,0.3215432728700073,82,-0.228502916817322,0.038940092404291124,-0.28086586093381277,-0.16825176271368977,-0.11026337260902716,-0.23054663854416854,-0.06705850614585096
comp_varies,82,-0.0008241312587488105,0.9941369921937414,-0.06194415373887724,0.12733640244240133,0.010264428970343034,0.02573888745927486,-0.031881282368817036,0.7753424657534246,82,0.04862374426617982,0.664430831268367,-0.001769832963967921,0.11326930969394694,0.024176709117577265,-0.04581521967750925,0.19005437574602344,82,0.0387341691611941,0.7297201717765128,-0.021237995567615055,0.10618997783807527,0.05280206867764342,0.20951454391849736,-0.3260277367194114
d_mean,82,0.006976415145677562,0.9503995613447777,-0.07813705282059712,0.10730566919929867,0.00922560782369297,0.021951219512195124,-0.1931946460248347,0.8117452769767839,82,0.0064322329970287655,0.9542642140470198,-0.05891291642314437,0.07806117932700211,0.0013566473931315639,0.05196998123827393,0.1994033220448315,82,-0.17321317791491167,0.11965557676794078,-0.28355189114682783,-0.11099426888900572,-0.17509085328479693,-0.20093808630393997,-0.3279309788743751
d_spread,82,-0.3363589860798207,0.002003888161585171,-0.39451476793248946,-0.21005260081823499,-0.34258214841239176,-0.24315196998123828,-0.12707627801967425,0.6970583638746453,82,0.12347492952841174,0.2690801578892542,-0.010111046171829341,0.164453477868112,0.14048655330099116,-0.04652908067542214,0.1326398967908402,82,-0.31459170013386883,0.003995929018046845,-0.36368963900609474,-0.2664440822335559,-0.3225689678585505,-0.16135084427767357,-0.16086115142718915
d_range,82,-0.27789205602899403,0.011478368406024932,-0.349648382559775,-0.11987142022209236,-0.2873063631953331,-0.22889305816135086,-0.053055958716336074,0.681419268583624,82,0.037058804322982995,0.7409893341597951,-0.14763296317942723,0.09282700421940929,0.054060908144593675,-0.15103189493433397,0.06136107079503305,82,-0.3087145329284618,0.0047741640875440415,-0.35300046882325364,-0.2557705452442294,-0.32154120623097904,-0.14240150093808632,-0.16029672633446218
q_metal,82,-0.1953505077219447,0.0786106775904915,-0.27165963431786216,-0.06645236703682059,-0.2586207378640876,-0.10637898686679176,0.019835510401548136,0.8714200980121412,82,0.042957738814335934,0.7015685381785068,-0.010987726475745179,0.106516643225504,0.19778666201367162,0.02213883677298312,-0.10377358490566037,82,-0.025217400768385197,0.8220700177126329,-0.06569379987101506,0.07258912916423145,-0.08830410913787361,0.07673545966228894,0.2476213513949363
q_donor,82,0.05475560779704183,0.6251334594608258,-0.09696084161309178,0.15183550626588602,0.05585467603428141,-0.007317073170731709,0.5356394129979035,0.9311842904472472,82,-0.0830530795267792,0.45819957826450614,-0.15360588778310297,0.07860900058445355,-0.09465450613703214,-0.0652908067542214,-0.46121593291404606,82,0.08925675602137549,0.4251958376909704,0.021624780829924025,0.1791752551246222,0.09161280220220981,0.13377110694183866,0.2746331236897274
q_donor_spread,82,0.08525157540732033,0.44634519458139077,-0.023202805376972536,0.18956992374713894,0.07045132585741054,0.11482176360225141,0.407595549104983,0.7864310498359716,82,-0.13313960448841436,0.23308921464700805,-0.2071978654257135,-0.046697837521917016,-0.1050266860758757,-0.15966228893058165,-0.3842122238348653,82,0.07341017185272254,0.5121862539499596,-0.008883693746347166,0.17229605837200773,0.05595982652317702,0.13639774859287057,0.34792775358813094
cn,82,-0.13627236187796443,0.2221774455168285,-0.17039036134502356,-0.1025965907713789,-0.21199259771935355,-0.1997253491671617,0.16288300680376952,0.7326027191642472,82,-0.042747143194998574,0.7029631256725347,-0.08355817167343181,-0.00863603078634871,0.13232458664294022,-0.009356158804197823,-0.17148153430829677,82,0.10649914947476329,0.34094616880178613,0.07893335746839243,0.162545742214055,0.03857518933482031,0.20774491385647414,0.028892682467819012
frac_N,82,0.17603449936610463,0.1136566281215801,-0.03182700413004659,0.25206191190782506,0.2246057959510893,0.046176951766043375,0.35455585478463925,0.9547884329025549,82,-0.06245287382435476,0.5772559778842626,-0.12864855497100097,0.1263789796764656,-0.18843180984584731,0.06034816660864959,-0.18054497051403942,82,0.15453228354176735,0.1656830416047266,0.08037667144706682,0.22620923505261237,0.2104329914003474,0.09110066684532567,-0.13015083036151176
dipole,82,-0.08938735973705118,0.42451599733542916,-0.14301578024547051,-0.03270413796729586,-0.11759754762803974,-0.06172607879924954,0.38413159167876154,0.8034552149054166,82,0.031616982836495035,0.7779595087594029,-0.002320675105485232,0.1436586791350088,0.10856370599561524,0.07560975609756097,-0.27632639896790845,82,-0.13871202969057803,0.2139320878977141,-0.2016364699006429,-0.07453178400546823,-0.17368833803078287,-0.175797373358349,0.31841638445412024
ang_std,82,-0.055495695519204184,0.6204575951854273,-0.10961087669948429,0.019927440980072555,-0.10329068037397339,0.053095684803001884,0.38888888888888884,0.7554686813830578,82,-0.024324942044601172,0.8282689768135849,-0.06531443240304,0.05856224430157803,0.09858856232721226,0.03245778611632271,-0.3969521044992743,82,-0.15233835069274387,0.17184671064685525,-0.22565751022793692,-0.06490772385509228,-0.21349776323131783,-0.14015009380863042,0.32220609579100146
ang_min,82,0.0747815108673175,0.5043153443325303,0.005284189494715809,0.13511486169714018,0.13297491178857068,0.02476547842401501,-0.4161425576519916,0.790247673534239,82,-0.001273386227838182,0.9909410280724398,-0.09199298655756868,0.032325363338021565,-0.15278457148718338,-0.08367729831144466,0.4291243347847122,82,0.07245241127110066,0.5177204384143524,-0.0048393711551606294,0.12472238457042667,0.14035543770443387,0.011444652908067544,-0.39429124334784715
