design,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds
BP,G14@k3,0.2051389362319081,0.0026852697292339737,0.21618750548329269,0.13873363120532775,0.23177047927451616,0.9294226174821336,0.6397002180774549,0.21446324910451334,0.11649041856426334,0.26805111695120387,0.9409236779684665,84,83,79,80,5
BP,MEANCURVE@k3,0.2068271741070113,0.0016814427800045297,0.21522628687370152,0.14471924862791788,0.2321667940919759,0.9298630566805594,0.6371502087706373,0.22351276525906227,0.12164724081006699,0.2806201043688968,0.9345053718431701,84,83,79,80,5
BP,FLAT@k3,0.20717405702921937,0.0011557929117770587,0.2121576010102934,0.14427455513324164,0.23258593103106606,0.9438449685005448,0.6520173932248049,0.20835276628746308,0.11908755023928326,0.25782375468708196,0.9550997628017301,84,83,79,80,5
BP,G14@k2,0.22293815527274083,0.003516474920330401,0.23523116172867958,0.15204166456422818,0.2540786939676824,0.9126024548832804,0.5794552209325917,0.2332448601320419,0.12807410388250098,0.29567137270906607,0.9393330542765452,84,83,79,80,5
BP,FLAT@k2,0.22353590721395303,0.0006602246772949278,0.23107225639880843,0.15490722768912218,0.25223711292552153,0.9260918339579105,0.5868203103490116,0.2273190097324708,0.13070687230907205,0.2859174136586798,0.9492395702525463,84,83,79,80,5
BP,MEANCURVE@k2,0.22872482478132045,0.002195499507625483,0.23631341190988406,0.15722115577850912,0.2614272764914164,0.9087669045456886,0.5788284260391839,0.2475805131319381,0.13478204379168254,0.31780370491694127,0.9323008232175247,84,83,79,80,5
BP,G14@k1,0.23086906343982866,0.003309565348202968,0.24521579480222644,0.15685777667028739,0.26570617595936774,0.9108012927633734,0.5608405658690472,0.24341809353314872,0.1330669907831878,0.31221023442425977,0.9371005999720943,84,83,79,80,5
BP,FLAT@k1,0.2328471907172142,0.0006850329330169828,0.24133825077364235,0.1599619672718407,0.2673647146657374,0.9252478297736945,0.5343413712034856,0.2409859323942081,0.13623459794490025,0.30941054349664465,0.947648946560625,84,83,79,80,5
BP,NAIVE_LINE@k3,0.23591052925601486,0.0,0.24559043078832535,0.15850562744788896,0.2687705244286373,0.9293889332757901,0.5579298875059612,0.23099366197988294,0.1313223538311697,0.2873192446336012,0.9493511929677689,84,83,79,80,5
BP,NAIVE_LINE@k2,0.23730565601253456,3.1031676915590914e-17,0.24547973316744115,0.1575203518404763,0.27256820394895387,0.9241238156020442,0.5579544432720837,0.23328495270602576,0.13140072569098496,0.29068231084851276,0.9472582670573462,84,83,79,80,5
BP,MEANCURVE@k1,0.23799235231416124,0.0023017855490817317,0.24696238733697556,0.16199601005310954,0.2756059824818663,0.9048191949447413,0.53304070712978,0.259704205133349,0.1388481937717521,0.33801619585489473,0.9294544439793498,84,83,79,80,5
BP,LINE_PLUS_CURV@k3,0.23918325567918614,0.004939961267810322,0.25804220574365927,0.15969267429399003,0.2733418040946841,0.8918891976698126,0.5375783556606513,0.231914255109116,0.13152656731150333,0.287012961474583,0.9314636528533556,84,83,79,80,5
BP,NAIVE_LINE@k1,0.23947267182699217,0.0,0.24847342408297135,0.15757087950713444,0.2773739178410658,0.9287274229254286,0.5514003137057641,0.23655386405582923,0.13132852835624081,0.2976914037543622,0.9485140226035998,84,83,79,80,5
BP,LINE_PLUS_CURV@k1,0.24253800528856848,0.004799516330848294,0.2595581450451168,0.15885388771903716,0.2807706520830315,0.8945608003335639,0.5351134338403949,0.23776855548434933,0.1317008901770553,0.2980786992817163,0.9328310311148319,84,83,79,80,5
BP,LINE_PLUS_CURV@k2,0.24279476240200074,0.0045831049356450755,0.2594421308194935,0.1591822789697876,0.2803961601931852,0.8901555531826251,0.533268469952365,0.2357489384674967,0.13201606432035254,0.29313652569073556,0.9324124459327473,84,83,79,80,5
BP,G14@k0,0.43873914499250316,0.013581737405403683,0.4413892209711685,0.18823216579348956,0.627892673135636,0.8143538360561544,0.4735002312910618,0.49240761703546243,0.1634190018417934,0.7657117325147419,0.9040044649086089,84,83,79,80,5
BP,FLAT@k0,0.5207733560481023,0.0,0.498710970323793,0.20505643681926128,0.7782534530167848,0.0,,0.6207816437679834,0.1867161914685669,0.990850430322977,0.0,84,83,79,80,5
BP,MEANCURVE@k0,0.5448253175458806,0.010548092061832133,0.5276592754362252,0.20606736713996213,0.8191133682456689,0.5300184210539145,0.1761961147915993,0.6376425825574056,0.1851981467279449,1.017871755097502,0.49540951583647275,84,83,79,80,5
