species,canonical_smiles,status,how
lig_000,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,ok,ETKDGv3 + MMFF94s
lig_001,C1COCCOCCOCCOCCOCCO1,ok,ETKDGv3 + MMFF94s
lig_002,CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,ok,ETKDGv3 + MMFF94s
lig_003,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,ok,ETKDGv3 + MMFF94s
lig_004,CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,ok,ETKDGv3 + MMFF94s
lig_005,CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,ok,ETKDGv3 + MMFF94s
lig_006,CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,ok,ETKDGv3 + MMFF94s
lig_007,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,ok,ETKDGv3 + MMFF94s
lig_008,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,ok,ETKDGv3 + MMFF94s
lig_009,CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,ok,ETKDGv3 + MMFF94s
lig_010,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,ok,ETKDGv3 + MMFF94s
lig_011,CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,ok,ETKDGv3 + MMFF94s
lig_012,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,ok,ETKDGv3 + MMFF94s
