subset,construction,target,n_gen16,rho_gen16,p_gen16,rho_given_n_metals_gen16,n_gen15,rho_gen15,p_gen15,rho_given_n_metals_gen15,d_n,d_rho,d_p,d_rho_given_n_metals,reproduces,role
all cohort extractants,A,a,79,0.10421129503407985,0.36072821048657483,0.09767730853720796,79.0,0.1042112950340798,0.3607282104865748,0.0976773085372079,0.0,4.163336342344337e-17,5.551115123125783e-17,6.938893903907228e-17,True,reproduction
all cohort extractants,A,abs_a,79,-0.08373904576436222,0.46312206935420697,-0.0708911808915225,79.0,-0.0837390457643622,0.4631220693542069,-0.0708911808915225,0.0,2.7755575615628914e-17,5.551115123125783e-17,0.0,True,reproduction
all cohort extractants,B,a,81,0.20282294489611563,0.06937664256642796,0.18066888571922843,81.0,0.2028229448961156,0.0693766425664279,0.1806688857192284,0.0,2.7755575615628914e-17,5.551115123125783e-17,2.7755575615628914e-17,True,reproduction
all cohort extractants,B,abs_a,81,-0.1936088527551942,0.08330494529897174,-0.14366306889495828,81.0,-0.1936088527551942,0.0833049452989717,-0.1436630688949582,0.0,0.0,4.163336342344337e-17,8.326672684688674e-17,True,reproduction
all cohort extractants,naive,a,81,0.4665085817524842,1.1353583454718009e-05,0.4446307016464597,81.0,0.4665085817524842,1.1353583454718007e-05,0.4446307016464597,0.0,0.0,1.6940658945086007e-21,0.0,True,reproduction
all cohort extractants,naive,abs_a,81,-0.40345528455284546,0.00018791676323412507,-0.35404348750501113,81.0,-0.4034552845528454,0.0001879167632341,-0.3540434875050111,0.0,5.551115123125783e-17,2.507217523872729e-17,5.551115123125783e-17,True,reproduction
block >= 7 metals,A,a,54,0.1860491709548313,0.1779864931252213,0.18628652617623925,54.0,0.1860491709548313,0.1779864931252213,0.1862865261762392,0.0,0.0,0.0,5.551115123125783e-17,True,reproduction
block >= 7 metals,A,abs_a,54,-0.104631217838765,0.4514747399456742,-0.1122809390858561,54.0,-0.104631217838765,0.4514747399456742,-0.1122809390858561,0.0,0.0,0.0,0.0,True,reproduction
block >= 7 metals,B,a,54,0.4132266056794358,0.0018988512333846814,0.4104487897079695,54.0,0.4132266056794358,0.0018988512333846,0.4104487897079695,0.0,0.0,8.131516293641283e-17,0.0,True,reproduction
block >= 7 metals,B,abs_a,54,-0.4990661330283971,0.0001223763210795786,-0.4968053612374226,54.0,-0.4990661330283971,0.0001223763210795,-0.4968053612374226,0.0,0.0,7.860465750519907e-17,0.0,True,reproduction
block >= 7 metals,naive,a,54,0.3941680960548884,0.0031862568949670763,0.3913357842901936,54.0,0.3941680960548884,0.003186256894967,0.3913357842901936,0.0,0.0,7.632783294297951e-17,0.0,True,reproduction
block >= 7 metals,naive,abs_a,54,-0.33722126929674096,0.012645820511883234,-0.3242877784836994,54.0,-0.3372212692967409,0.0126458205118832,-0.3242877784836994,0.0,5.551115123125783e-17,3.469446951953614e-17,0.0,True,reproduction
complete 14-metal series,A,a,41,0.24355400696864116,0.1249093494579477,0.24328957810165738,41.0,0.2435540069686411,0.1249093494579477,0.2432895781016573,0.0,5.551115123125783e-17,0.0,8.326672684688674e-17,True,reproduction
complete 14-metal series,A,abs_a,41,-0.1831010452961673,0.25184448231648404,-0.1833443928663219,41.0,-0.1831010452961673,0.251844482316484,-0.1833443928663219,0.0,0.0,5.551115123125783e-17,0.0,True,reproduction
complete 14-metal series,B,a,41,0.42351916376306625,0.005794930480563751,0.42634692076104297,41.0,0.4235191637630662,0.0057949304805637,0.4263469207610429,0.0,5.551115123125783e-17,5.117434254131581e-17,5.551115123125783e-17,True,reproduction
complete 14-metal series,B,abs_a,41,-0.5043554006968642,0.000772775990891272,-0.4884982008551692,41.0,-0.5043554006968642,0.0007727759908912,-0.4884982008551692,0.0,0.0,7.19910242530375e-17,0.0,True,reproduction
complete 14-metal series,naive,a,41,0.5991289198606273,3.492624846166742e-05,0.601319353713782,41.0,0.5991289198606273,3.492624846166742e-05,0.601319353713782,0.0,0.0,0.0,0.0,True,reproduction
