lead,family,design,comparison,value,reference,candidate,point,ci95_low,ci95_high,p_two_sided,p_perm,p_registered,ci_task_low,ci_task_high,p_task_boot,ci_block_low,ci_block_high,p_block_boot,conservative_interval,n_units,n_extractants,n_blocks,seeds_positive,n_seeds,loco_min,loco_max,loco_stable,loco_sign_stable,margin,passes_registered,passes_P1,rule,replicates,permutations,bootstrap_seed
L3,registered,B,G14k1_minus_NAIVE_regret,regret,NAIVE_LINE@k1,G14@k1,0.0031823470267847856,-0.02523052690246603,0.021973407137015004,0.927,0.0,0.927,-0.013946800918841918,0.01977827196114323,0.732,-0.02523052690246603,0.021973407137015004,0.927,chemotype-blocked,455,89,44,2,5,-0.01939483119210978,0.01103398938464185,False,False,0.02,False,False,"conservative p (max of task bootstrap, blocked bootstrap, permutation) < 0.05 with gain > 0 in all five designs",2000,2000,8675309
L3,registered,B,G14k1_minus_NAIVE_spearman,spearman,NAIVE_LINE@k1,G14@k1,-0.022928051051213878,-0.048806988053546094,-0.00471392680797144,0.015,0.0,0.015,-0.029524041554630565,-0.017247223802460222,0.0,-0.048806988053546094,-0.00471392680797144,0.015,chemotype-blocked,455,89,44,0,5,-0.027219472779479753,-0.016475443039637674,True,True,0.02,False,False,"conservative p (max of task bootstrap, blocked bootstrap, permutation) < 0.05 with gain > 0 in all five designs",2000,2000,8675309
L3,exploratory,B,G14k1_minus_NAIVE_top1,top1,NAIVE_LINE@k1,G14@k1,0.013186813186813185,-0.04285714285714286,0.03736263736263736,0.92,0.0,0.92,-0.0032967032967032945,0.029697802197802055,0.125,-0.04285714285714286,0.03736263736263736,0.92,chemotype-blocked,455,89,44,2,5,-0.03406593406593407,0.021978021978021976,False,False,0.02,False,False,"conservative p (max of task bootstrap, blocked bootstrap, permutation) < 0.05 with gain > 0 in all five designs",2000,2000,8675309
L3,exploratory,B,G14k1_minus_G14zs_regret,regret,G14,G14@k1,1.1925296466881303,0.7618160495616617,1.3177117908047584,0.0,0.0,0.0,1.1070347574764106,1.2764370134746692,0.0,0.7618160495616617,1.3177117908047584,0.0,chemotype-blocked,455,89,44,5,5,1.037012710838654,1.222874471400178,True,True,0.02,True,True,"conservative p (max of task bootstrap, blocked bootstrap, permutation) < 0.05 with gain > 0 in all five designs",2000,2000,8675309
L3,exploratory,B,G14k1_minus_G14zs_spearman,spearman,G14,G14@k1,0.42729665579313636,0.26547772667241776,0.6280563147143873,0.0,0.0,0.0,0.4117173236485021,0.44223374848896874,0.0,0.26547772667241776,0.6280563147143873,0.0,chemotype-blocked,455,89,44,5,5,0.35516941791628237,0.4900271531351442,True,True,0.02,True,True,"conservative p (max of task bootstrap, blocked bootstrap, permutation) < 0.05 with gain > 0 in all five designs",2000,2000,8675309
L3,exploratory,B,G14k1_minus_RANDOM_regret,regret,_RANDOM,G14@k1,1.4257296059872986,0.9893668099924088,1.448442663496966,0.0,0.0,0.0,1.3285011147691423,1.5153836327620138,0.0,0.9893668099924088,1.448442663496966,0.0,chemotype-blocked,455,89,44,5,5,1.3012931744341028,1.435197417265504,True,True,0.02,True,True,"conservative p (max of task bootstrap, blocked bootstrap, permutation) < 0.05 with gain > 0 in all five designs",2000,2000,8675309
L3,exploratory,B,G14k1_minus_RANDOM_spearman,spearman,_RANDOM,G14@k1,0.776196928379423,0.656243667286711,0.8102219508632084,0.0,0.0,0.0,0.7545372548708096,0.7955998431393617,0.0,0.656243667286711,0.8102219508632084,0.0,chemotype-blocked,455,89,44,5,5,0.7278090447603092,0.7867820441129826,True,True,0.02,True,True,"conservative p (max of task bootstrap, blocked bootstrap, permutation) < 0.05 with gain > 0 in all five designs",2000,2000,8675309
L3,exploratory,B,NAIVE_minus_RANDOM_regret,regret,_RANDOM,NAIVE_LINE@k1,1.4225472589605141,0.9863217793768143,1.4454712553595226,0.0,0.0,0.0,1.324562140218718,1.5131309860219617,0.0,0.9863217793768143,1.4454712553595226,0.0,chemotype-blocked,455,89,44,5,5,1.3206880056262125,1.4344654042825997,True,True,0.02,True,True,"conservative p (max of task bootstrap, blocked bootstrap, permutation) < 0.05 with gain > 0 in all five designs",2000,2000,8675309
L3,exploratory,B,NAIVE_minus_RANDOM_spearman,spearman,_RANDOM,NAIVE_LINE@k1,0.7991249794306368,0.6886275991615117,0.8330760836729388,0.0,0.0,0.0,0.7820170365914205,0.8152475190604047,0.0,0.6886275991615117,0.8330760836729388,0.0,chemotype-blocked,455,89,44,5,5,0.753377334285499,0.809767640131043,True,True,0.02,True,True,"conservative p (max of task bootstrap, blocked bootstrap, permutation) < 0.05 with gain > 0 in all five designs",2000,2000,8675309
L3,registered,BR,G14k1_minus_NAIVE_regret,regret,NAIVE_LINE@k1,G14@k1,0.0018102920181843197,-0.02481496862472184,0.02659743965531424,0.997,0.0,0.997,-0.014411762136269508,0.01861609505251079,0.838,-0.02481496862472184,0.02659743965531424,0.997,chemotype-blocked,455,89,44,3,5,-0.019916954957190775,0.012108483407052978,False,False,0.02,False,False,"conservative p (max of task bootstrap, blocked bootstrap, permutation) < 0.05 with gain > 0 in all five designs",2000,2000,8675309
