design,order,abc_macro,percentile_among_random_draws,random_draw_abc_min,random_draw_abc_max,random_draw_abc_sd,n_draws,family,lead
B,AOPT,-0.011907271695526784,10.0,-0.015743184327502793,0.02254639792645732,0.011198347756544765,20,exploratory,L4
B,UNCERT,-0.031041771261368818,0.0,-0.015743184327502793,0.02254639792645732,0.011198347756544765,20,exploratory,L4
B,MAXMIN(mean over starts),-0.008056456309142885,35.0,-0.015743184327502793,0.02254639792645732,0.011198347756544765,20,exploratory,L4
BR,AOPT,0.023452157942270367,100.0,-0.01727454151642873,0.018741462984665624,0.010996982695678876,20,exploratory,L4
BR,UNCERT,-0.004080871910152885,35.0,-0.01727454151642873,0.018741462984665624,0.010996982695678876,20,exploratory,L4
BR,MAXMIN(mean over starts),-0.01826950112195983,0.0,-0.01727454151642873,0.018741462984665624,0.010996982695678876,20,exploratory,L4
BQ,AOPT,-0.0033717201208693045,35.0,-0.024766086311743107,0.020233729350213746,0.010438619658323605,20,exploratory,L4
BQ,UNCERT,0.003460481622222092,65.0,-0.024766086311743107,0.020233729350213746,0.010438619658323605,20,exploratory,L4
BQ,MAXMIN(mean over starts),-0.013644709268737718,10.0,-0.024766086311743107,0.020233729350213746,0.010438619658323605,20,exploratory,L4
A,AOPT,0.036746494257753747,100.0,-0.013709222397097931,0.012933037504497591,0.008326582890309697,20,exploratory,L4
A,UNCERT,-0.018016861657223566,0.0,-0.013709222397097931,0.012933037504497591,0.008326582890309697,20,exploratory,L4
A,MAXMIN(mean over starts),-0.01627975281236738,0.0,-0.013709222397097931,0.012933037504497591,0.008326582890309697,20,exploratory,L4
BP,AOPT,0.05006531841752165,100.0,-0.031770488490440216,0.0208772937726368,0.013082296740143023,20,registered_secondary,L4
BP,UNCERT,-0.010893824373663524,10.0,-0.031770488490440216,0.0208772937726368,0.013082296740143023,20,exploratory,L4
BP,MAXMIN(mean over starts),-0.008143291734577285,15.0,-0.031770488490440216,0.0208772937726368,0.013082296740143023,20,exploratory,L4
