design,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds,seconds_design
B,G14,0.4932079570494346,0.010659810361846232,0.5478196385730973,0.1898140285832599,0.6502393412817644,0.8081496698831565,0.5062372365904857,0.4975640701507178,0.16385099716971985,0.7517962575010522,0.9054999382029415,90,83,88,86,5,14.707785606384277
B,FLAT,0.5885062528901843,0.0,0.6092005776059211,0.20691787779638152,0.8071706996999868,0.0,,0.6499911278057761,0.18946933882956532,1.0118291621647848,0.0,90,83,88,86,5,14.707785606384277
BR,G14,0.4905920517292001,0.014039710819326394,0.5434608395188645,0.18884160020533114,0.6457480237299666,0.8092998975051431,0.5025068226822679,0.4928720161505613,0.16338999353985065,0.7430150532971037,0.9053763440860215,90,83,88,86,5,14.614014625549316
BR,FLAT,0.5885062528901843,0.0,0.6092005776059211,0.20691787779638152,0.8071706996999868,0.0,,0.6499911278057761,0.18946933882956532,1.0118291621647848,0.0,90,83,88,86,5,14.614014625549316
BQ,G14,0.49054320488997477,0.009134233360714113,0.5432255566743154,0.18901203506946682,0.6462779108490173,0.8101769497198481,0.5078459215681232,0.4970622073752167,0.16352458119011853,0.750815562743633,0.9065628476084538,90,83,88,86,5,15.38492727279663
BQ,FLAT,0.5885062528901843,0.0,0.6092005776059211,0.20691787779638152,0.8071706996999868,0.0,,0.6499911278057761,0.18946933882956532,1.0118291621647848,0.0,90,83,88,86,5,15.38492727279663
A,G14,0.49213393784744824,0.010436668747165393,0.5444543521521373,0.1884761577560658,0.6451991179908991,0.8084723143535989,0.5111303834901167,0.4937334554735816,0.1635088768451623,0.7453321878071688,0.9130638981584477,90,83,88,86,5,15.034251928329468
A,FLAT,0.5885062528901843,0.0,0.6092005776059211,0.20691787779638152,0.8071706996999868,0.0,,0.6499911278057761,0.18946933882956532,1.0118291621647846,0.0,90,83,88,86,5,15.034251928329468
BP,G14,0.5000794414203691,0.01579982613981003,0.5491389793670566,0.19012718046266608,0.6587344933567273,0.8122458223013377,0.5037694544333655,0.5106278431235807,0.16563653089157898,0.7734534206797732,0.9026819923371647,90,83,88,86,5,15.049848318099976
BP,FLAT,0.5885062528901843,0.0,0.6092005776059211,0.20691787779638152,0.8071706996999868,0.0,,0.6499911278057761,0.18946933882956532,1.0118291621647848,0.0,90,83,88,86,5,15.049848318099976
