check,model,subset,n,rho,p
1_all_S8,NAIVE,S8,62,0.39200725239857975,0.001627107947089192
1_no_sc009,NAIVE,S8 minus sc009,43,0.21926910299003324,0.15773404735756888
1_only_sc009,NAIVE,S8 sc009 only,19,0.612280701754386,0.005327427941488913
2_nm_lt14,NAIVE,S8 n_metals<14,25,0.563076923076923,0.003383206292612044
2_nm_eq14,NAIVE,S8 n_metals==14,37,0.25912754860123277,0.12145399033619644
4_const19,NAIVE,S8 constant n_ligs,19,-0.02631578947368421,0.9148378965354743
4_varying43,NAIVE,S8 varying n_ligs,43,0.18755662941709453,0.22844544385510496
c_S14,NAIVE,S14,39,0.6439271255060729,9.745568326920046e-06
c_S3,NAIVE,S3,81,0.4665085817524842,1.1353583454718009e-05
1_all_S8,ELEM,S8,62,0.31338923723905215,0.013129495597396356
1_no_sc009,ELEM,S8 minus sc009,43,0.03095741467834491,0.8437754120364725
1_only_sc009,ELEM,S8 sc009 only,19,0.7526315789473684,0.00020063428764089896
2_nm_lt14,ELEM,S8 n_metals<14,25,0.1576923076923077,0.45155541117112874
2_nm_eq14,ELEM,S8 n_metals==14,37,0.34305357989568513,0.037650372982061094
4_const19,ELEM,S8 constant n_ligs,19,0.2789473684210526,0.24747875892631568
4_varying43,ELEM,S8 varying n_ligs,43,0.4477499244941105,0.002606347585494775
c_S14,ELEM,S14,39,0.39635627530364376,0.012490839172481519
c_S3,ELEM,S3,81,0.20282294489611563,0.06937664256642796
1_all_S8,SPECIES,S8,62,-0.08367958500163683,0.5178778229378215
1_no_sc009,SPECIES,S8 minus sc009,43,0.000453035336756267,0.9976995350852984
1_only_sc009,SPECIES,S8 sc009 only,19,-0.3403508771929824,0.15391941164078843
2_nm_lt14,SPECIES,S8 n_metals<14,25,-0.36153846153846153,0.07577072639956056
2_nm_eq14,SPECIES,S8 n_metals==14,37,0.07562825983878615,0.6564082861248709
4_const19,SPECIES,S8 constant n_ligs,19,0.1649122807017544,0.49988058994796
4_varying43,SPECIES,S8 varying n_ligs,43,-0.08773784355179705,0.5758459070363362
c_S14,SPECIES,S14,39,-0.04817813765182186,0.7708582247850755
c_S3,SPECIES,S3,81,-0.041666666666666664,0.711880348807313
1_all_S8,SPECIES_CONST,S8,19,0.16666666666666666,0.49526609078386524
1_no_sc009,SPECIES_CONST,S8 minus sc009,18,0.19091847265221878,0.4479306707266413
1_only_sc009,SPECIES_CONST,S8 sc009 only,1,,
2_nm_lt14,SPECIES_CONST,S8 n_metals<14,7,0.3571428571428572,0.431611352038328
2_nm_eq14,SPECIES_CONST,S8 n_metals==14,12,0.16783216783216784,0.6020994277865379
4_const19,SPECIES_CONST,S8 constant n_ligs,19,0.16666666666666666,0.49526609078386524
4_varying43,SPECIES_CONST,S8 varying n_ligs,0,,
c_S14,SPECIES_CONST,S14,11,0.15454545454545454,0.6500339654975799
