descriptor,set,target,n,rho,p
n_comp,S8,a,62,0.1270594845620844,0.3250649972376066
n_comp,S8,abs_a,62,-0.3604986169711683,0.003998698405205094
n_comp,S8,b,62,0.17754396399292344,0.16742416097924553
n_comp,S14,a,39,-0.004162333158820582,0.9799368182366073
n_comp,S14,abs_a,39,-0.34591179251461573,0.031004338479690127
n_comp,S14,b,39,0.037460998429385245,0.8208811961519096
nligs_range,S8,a,62,-0.49953320242673555,3.576021475067841e-05
nligs_range,S8,abs_a,62,0.21035423094374814,0.10078881394341907
nligs_range,S8,b,62,-0.38179184470302907,0.002199013665020082
nligs_range,S14,a,39,-0.6379167649804026,1.2517006028957494e-05
nligs_range,S14,abs_a,39,0.20251325872393733,0.21630734049587566
nligs_range,S14,b,39,-0.5113459782779417,0.0008783003782155029
step_r,S8,a,43,0.01967009333364576,0.9003678994730235
step_r,S8,abs_a,43,0.03934018666729152,0.802226915466463
step_r,S8,b,43,-0.07878669816341356,0.6155290068421515
step_r,S14,a,28,0.39335709901810934,0.0383704996628986
step_r,S14,abs_a,28,-0.3118672327106194,0.10618186708555702
step_r,S14,b,28,0.3768140434519272,0.04809254773080731
frac_at_max_nligs,S8,a,62,0.3167911069156819,0.01212007396841072
frac_at_max_nligs,S8,abs_a,62,-0.17416966161482808,0.17577550127046224
frac_at_max_nligs,S8,b,62,0.42562043228666496,0.0005632661805977449
frac_at_max_nligs,S14,a,39,0.6951331990232184,9.07662223749547e-07
frac_at_max_nligs,S14,abs_a,39,-0.2868803678508521,0.07660922055950581
frac_at_max_nligs,S14,b,39,0.5866335727206526,8.676899799114391e-05
mean_nligs,S8,a,62,-0.24502311575903507,0.05493111596031678
mean_nligs,S8,abs_a,62,0.12755746890950517,0.3231567956272017
mean_nligs,S8,b,62,-0.0904048080620765,0.48468060818586617
mean_nligs,S14,a,39,-0.5641927067270064,0.0001834262484960628
mean_nligs,S14,abs_a,39,0.2436397322837504,0.13500503779037348
mean_nligs,S14,b,39,-0.5686955389420407,0.00015852803458250373
mean_nNO3,S8,a,62,0.0821428345692455,0.5256212073833116
mean_nNO3,S8,abs_a,62,-0.08095808214757369,0.5316300859078686
mean_nNO3,S8,b,62,-0.06688209504247289,0.6055110902054113
mean_nNO3,S14,a,39,0.16268128799957748,0.3224176038732128
mean_nNO3,S14,abs_a,39,-0.14656425637113635,0.3732857837406229
mean_nNO3,S14,b,39,0.047847437646934554,0.7723893146641205
mean_nH2O,S8,a,62,-0.17547727015566458,0.17250397548622712
mean_nH2O,S8,abs_a,62,0.1891021891188636,0.14101894908544224
mean_nH2O,S8,b,62,-0.06079422905801669,0.6387931080642594
mean_nH2O,S14,a,39,-0.5167551016417204,0.0007568754546622611
mean_nH2O,S14,abs_a,39,0.41814750213473106,0.008073868187082063
mean_nH2O,S14,b,39,-0.31761689418665184,0.048799989070080624
