design,regime,n_tasks,e_random,G14,CEILING,G14_over_ceiling,ceiling_frac_of_e_random,matrix_route_G14,direct_vs_matrix_maxabs
B,pooled,455,6.905645338426908,2.2065445536908452,4.204950874360076,0.5247491872367344,0.6089149772811755,2.2065445536908452,0.0
B,within_publication,1230,6.237882634528976,0.009434818794574893,0.4137700939530207,0.022802080025740377,0.06633181773293569,0.009434818794574893,0.0
B,within_chemotype,1335,5.506297815238748,0.37470864257024555,0.9478345397643497,0.39533128077755586,0.17213644658688926,0.37470864257024555,0.0
BR,pooled,455,6.905645338426908,2.1492837329594243,4.204950874360076,0.5111317104950743,0.6089149772811755,2.1492837329594243,0.0
BR,within_publication,1230,6.237882634528976,0.008598634879122683,0.4137700939530207,0.020781189855879165,0.06633181773293569,0.008598634879122683,0.0
BR,within_chemotype,1335,5.506297815238748,0.29312077393359787,0.9478345397643497,0.30925310445689547,0.17213644658688926,0.29312077393359787,0.0
BQ,pooled,455,6.905645338426908,2.1789980625836822,4.204950874360076,0.5181982210232812,0.6089149772811755,2.1789980625836822,0.0
BQ,within_publication,1230,6.237882634528976,0.009028314729534243,0.4137700939530207,0.0218196405720886,0.06633181773293569,0.009028314729534243,0.0
BQ,within_chemotype,1335,5.506297815238748,0.37469185682973205,0.9478345397643497,0.3953135712092617,0.17213644658688926,0.37469185682973205,0.0
A,pooled,455,6.905645338426908,2.4915092721446888,4.204950874360076,0.5925180451778418,0.6089149772811755,2.4915092721446888,0.0
A,within_publication,1230,6.237882634528976,0.007605550501891964,0.4137700939530207,0.018381102484307372,0.06633181773293569,0.007605550501891964,0.0
A,within_chemotype,1335,5.506297815238748,0.4189504251586381,0.9478345397643497,0.44200797458045515,0.17213644658688926,0.4189504251586381,0.0
BP,pooled,455,6.905645338426908,1.9882198208352135,4.204950874360076,0.4728283112553099,0.6089149772811755,1.9882198208352135,0.0
BP,within_publication,1230,6.237882634528976,0.0046240491667320915,0.4137700939530207,0.011175406909077156,0.06633181773293569,0.0046240491667320915,0.0
BP,within_chemotype,1335,5.506297815238748,0.3334504504445281,0.9478345397643497,0.35180238370236055,0.17213644658688926,0.3334504504445281,0.0
