design,check,point,ci_low,ci_high,p_two_sided,p_perm_leadseed,p_perm_altseed,p_perm_per_seed_max,null_sd_pooled,null_sd_single_seed,n_tasks,n_ext,n_blocks,extra1,extra2,extra3,loco_min,loco_max,worst_block
B,headline,2.2065445536908452,0.5207022547142526,4.117731795599427,0.007,0.0,0.0,0.0,0.14884325551435512,0.3386871698952966,455.0,90.0,45.0,,,,,,
B,e_random_e_model,2.2065445536908452,,,,,,,,,,,,6.905645338426908,4.699100784736062,0.3195276394245714,,,
B,saved_heavy,0.7067124363977149,,,,,,,,,,,,,,,,,
B,saved_light,3.7063766709839756,,,,,,,,,,,,,,,,,
B,drop_sc009_diglycolamides,1.4906163830083377,0.2693525521351146,2.4354526794834888,0.013,,0.0,,,,455.0,67.0,44.0,,,,,,
B,sc009_only,0.483760522706105,,,,,,,,,455.0,23.0,1.0,,,,,,
B,width_matched_nmetals_hi,-0.9380186662776098,,,,,,,,,455.0,90.0,,,,,,,
B,width_matched_nmetals_lo,-0.9502042071351745,,,,,,,,,455.0,90.0,,,,,,,
B,width_matched_dentate_hi,1.6238331520106004,,,,,,,,,455.0,90.0,,,,,,,
B,width_matched_absa_hi,-0.8405173108929503,,,,,,,,,455.0,90.0,,,,,,,
B,cand_nmetals_5_8,0.40263488615761345,,,,,,,,,330.0,26.0,16.0,,,,,,
B,cand_nmetals_9_14,1.9349204323497564,,,,,,,,,455.0,52.0,27.0,,,,,,
B,call_collapsed_to_chemotype,1.9126776344225174,,,,,,,,,455.0,90.0,,,,,,,
B,loco_chemotype,2.2065445536908452,,,,,,,,,,,45.0,,,,1.490616383008338,2.7285722302617326,sc009
B,lopo_publication,2.2065445536908452,,,,,,,,,,,58.0,,,,1.5427255271750304,2.6006800272154047,pub_126bbe7976
B,publication_blocked_bootstrap,2.2065445536908452,0.5197515904010004,4.067626873964204,0.008,,,,,,,,41.0,,,,,,
B,pair_bootstrap,2.2065445536908452,1.8105106785988292,2.6397182569839495,0.0,,,,,,,,91.0,,,,,,
B,leave_one_metal_out,2.2065445536908452,,,,,,,,,,,14.0,,,,1.9707330480310783,2.3413343166348275,Yb
B,band_cands_le_q1,2.3207752115071094,,,,,,,,,140.0,,,,,,,,
B,band_cands_mid,2.1098033219253423,,,,,,,,,215.0,,,,,,,,
B,band_cands_gt_q3,2.2546152810439057,,,,,,,,,100.0,,,,,,,,
B,strong_threshold_0.2,1.676740039515085,0.5307789321695588,3.1641180592408413,,,,,,,,,,,,,,,
B,strong_threshold_0.3,2.2065445536908452,0.5207022547142526,4.117731795599427,,,,,,,,,,,,,,,
B,strong_threshold_0.5,2.771252704755452,0.6083492654397247,4.483789126577593,,,,,,,,,,,,,,,
B,strong_threshold_1.0,3.4814967881108183,0.523553895590779,5.334171342542699,,,,,,,,,,,,,,,
B,min_candidates_5,2.2065445536908452,,,,,,,,,455.0,,,,,,,,
B,min_candidates_10,2.2065445536908452,,,,,,,,,455.0,,,,,,,,
B,min_candidates_20,2.2065445536908452,,,,,,,,,455.0,,,,,,,,
B,seed_104729,2.1905733005544725,,,,,,,,,91.0,,,,,,,,
B,seed_130363,2.4434473462141275,,,,,,,,,91.0,,,,,,,,
B,seed_155921,2.552920291678757,,,,,,,,,91.0,,,,,,,,
B,seed_196613,1.9320122439515015,,,,,,,,,91.0,,,,,,,,
B,seed_262147,1.9137695860553676,,,,,,,,,91.0,,,,,,,,
BR,headline,2.1492837329594243,0.45498735518339195,3.984879465635062,0.009,0.0,0.0,0.0,0.14872869927981058,0.33902703279642904,455.0,90.0,45.0,,,,,,
BR,e_random_e_model,2.1492837329594243,,,,,,,,,,,,6.905645338426908,4.756361605467484,0.3112357538837966,,,
BR,saved_heavy,0.683890460815211,,,,,,,,,,,,,,,,,
BR,saved_light,3.614677005103637,,,,,,,,,,,,,,,,,
BR,drop_sc009_diglycolamides,1.5083632518029475,0.22186034942090258,2.454380519631713,0.021,,0.0,,,,455.0,67.0,44.0,,,,,,
BR,sc009_only,0.24217853450846846,,,,,,,,,455.0,23.0,1.0,,,,,,
BR,width_matched_nmetals_hi,-0.9181798004594064,,,,,,,,,455.0,90.0,,,,,,,
BR,width_matched_nmetals_lo,-0.9020553252997809,,,,,,,,,455.0,90.0,,,,,,,
BR,width_matched_dentate_hi,1.64173184790828,,,,,,,,,455.0,90.0,,,,,,,
BR,width_matched_absa_hi,-0.8198236858046378,,,,,,,,,455.0,90.0,,,,,,,
BR,cand_nmetals_5_8,0.2618515112833295,,,,,,,,,330.0,26.0,16.0,,,,,,
BR,cand_nmetals_9_14,1.9146017953246108,,,,,,,,,455.0,52.0,27.0,,,,,,
BR,call_collapsed_to_chemotype,1.9058810073106642,,,,,,,,,455.0,90.0,,,,,,,
BR,loco_chemotype,2.1492837329594243,,,,,,,,,,,45.0,,,,1.5083632518029477,2.684810463642516,sc009
BR,lopo_publication,2.1492837329594243,,,,,,,,,,,58.0,,,,1.5374892779630298,2.5568357257887895,pub_126bbe7976
BR,publication_blocked_bootstrap,2.1492837329594243,0.3885825294219721,3.9012878211100825,0.01,,,,,,,,41.0,,,,,,
BR,pair_bootstrap,2.1492837329594243,1.7476803653787154,2.572098092103525,0.0,,,,,,,,91.0,,,,,,
