design,regime,point,e_random,e_model,n_tasks,median_candidates,frac_tasks_constant_call,saved_frac,ci_low,ci_high,p_block,p_perm,null_sd,n_groups,n_task_slots_before,n_dropped,ceiling,g14_over_ceiling
B,pooled_rebuilt,2.2065445536908452,6.905645338426908,4.699100784736062,455,58.0,0.0,0.3195276394245714,0.5207022547142526,4.117731795599427,0.007,0.0,0.15240385943617352,,,,,
B,fold_pure,0.9420663466667479,5.515846236591023,4.573779889924276,2100,10.0,0.041428571428571426,0.17079271362157775,0.25834657621600593,1.1879875196477352,0.0,0.0,0.025310581972553203,5.0,2275.0,175.0,1.820305268714105,0.5175320661090212
BR,pooled_rebuilt,2.1492837329594243,6.905645338426908,4.756361605467484,455,58.0,0.0,0.3112357538837966,0.45498735518339195,3.984879465635062,0.009,0.0,0.15163469277409863,,,,,
BR,fold_pure,0.9085537890010231,5.515846236591023,4.60729244759,2100,10.0,0.07,0.16471702618790543,0.24629575416778163,1.1411894507979652,0.0,0.0,0.025071808721982176,5.0,2275.0,175.0,1.820305268714105,0.4991216608645215
BQ,pooled_rebuilt,2.1789980625836822,6.905645338426908,4.726647275843226,455,58.0,0.0,0.31553865798153685,0.4682765413067176,4.069607086751335,0.01,0.0,0.15230242854940756,,,,,
BQ,fold_pure,0.9367928271543015,5.515846236591023,4.579053409436722,2100,10.0,0.045714285714285714,0.1698366464496064,0.24557581431390552,1.1908295237556088,0.0,0.0,0.025151527715255986,5.0,2275.0,175.0,1.820305268714105,0.5146350138381284
A,pooled_rebuilt,2.4915092721446888,6.905645338426908,4.41413606628222,455,58.0,0.0,0.36079311201815206,0.7708890886974877,4.544156307830471,0.004,0.0,0.15123067289935505,,,,,
A,fold_pure,1.039981586789279,4.902579840184236,3.8625982533949568,2275,12.0,0.02197802197802198,0.21212945442826223,0.36083052768307455,1.32833976645515,0.0,0.0,0.024716725528400294,5.0,2275.0,0.0,1.7988232786749268,0.5781455016277998
BP,pooled_rebuilt,1.9882198208352135,6.905645338426908,4.917425517591694,455,58.0,0.0,0.2879122404059236,0.442490226935938,3.7807742090797767,0.009,0.0,0.15041497242424393,,,,,
BP,fold_pure,0.9061309578489283,5.515846236591023,4.609715278742095,2100,10.0,0.09428571428571429,0.16427777696880605,0.3080412875743479,1.0962658624306694,0.0,0.0,0.023955180186124813,5.0,2275.0,175.0,1.820305268714105,0.4977906582059364
