order,budget,macro_mae,n_flat_fallbacks
AOPT_R,6,0.5945312955373631,0
BIGGEST,6,0.5768193226573023,0
RANDCM,6,0.5754875747452152,4
RANDOM,6,0.583937049019939,44
AOPT_R,9,0.6050451669064747,0
BIGGEST,9,0.5099680534074269,0
RANDCM,9,0.5535030053054496,1
RANDOM,9,0.578019058351897,11
AOPT_R,12,0.5140241538897538,0
BIGGEST,12,0.5167828750337005,0
RANDCM,12,0.524863324660717,0
RANDOM,12,0.551779593686034,0
AOPT_R,16,0.4948135887234512,0
BIGGEST,16,0.4999449032637111,0
RANDCM,16,0.506822357021297,0
RANDOM,16,0.5280476787369136,0
AOPT_R,20,0.48542601463020646,0
BIGGEST,20,0.506349728155002,0
RANDCM,20,0.4991469214622592,0
RANDOM,20,0.5177061199791594,0
AOPT_R,24,0.4953301290730285,0
BIGGEST,24,0.5015776335262129,0
RANDCM,24,0.49712488819526746,0
RANDOM,24,0.4994266661022049,0
