design,order,budget,macro_mae,n_draws,n_flat_fallbacks
B,AOPT_ALL,6,0.613069825257561,1,0
B,AOPT_R,6,0.6194516440714402,1,0
B,BIGGEST,6,0.5625994138435375,1,0
B,DGAFIRST,6,0.5904299216304079,6,0
B,RANDCM,6,0.5536486493658664,6,0
B,RANDOM,6,0.6008474584948998,6,35
B,AOPT_ALL,9,0.6459871719091717,1,0
B,AOPT_R,9,0.6047939584194246,1,0
B,BIGGEST,9,0.5175595125765531,1,0
B,DGAFIRST,9,0.5614985616511682,6,0
B,RANDCM,9,0.5477127305203799,6,0
B,RANDOM,9,0.5845232660407383,6,4
B,AOPT_ALL,12,0.5527260628418711,1,0
B,AOPT_R,12,0.570898418503917,1,0
B,BIGGEST,12,0.5129483867080882,1,0
B,DGAFIRST,12,0.5390598397863435,6,0
B,RANDCM,12,0.5342725294120312,6,0
B,RANDOM,12,0.5565958424841367,6,0
B,AOPT_ALL,16,0.5308159432623325,1,0
B,AOPT_R,16,0.5575896775151052,1,0
B,BIGGEST,16,0.5198047290615895,1,0
B,DGAFIRST,16,0.5274402906071677,6,0
B,RANDCM,16,0.5149763059903231,6,0
B,RANDOM,16,0.5365846466854624,6,0
B,AOPT_ALL,20,0.5775954360989687,1,0
B,AOPT_R,20,0.5195571206981904,1,0
B,BIGGEST,20,0.5063653349750427,1,0
B,DGAFIRST,20,0.5158529852132274,6,0
B,RANDCM,20,0.5051238740212393,6,0
B,RANDOM,20,0.5207566279544668,6,0
B,AOPT_ALL,24,0.5047273204585145,1,0
B,AOPT_R,24,0.5027682045752606,1,0
B,BIGGEST,24,0.5119749683985216,1,0
B,DGAFIRST,24,0.5119455395843467,6,0
B,RANDCM,24,0.4983682376200513,6,0
B,RANDOM,24,0.5145162884729569,6,0
