design,comparison,gain,se_cv1,se_cv3,p_wcr,p_cv1_t,p_percentile_old,ci_low,ci_high,G,G_star,n_units
BP,MEAN_CURVE - G14,0.12165358786170674,0.034178385024898734,0.039826346546071735,0.0071,0.000905908202260713,0.0022,0.032699966643841394,0.18823476868407746,45,1.921348063726011,90
BP,FLAT - G14,0.08842681146981521,0.03847932412760095,0.046787901044142016,0.0593,0.026371297357612636,0.0468,-0.003041477624121212,0.1688352620688332,45,1.9133366032005052,90
BP,G14 - O_AMP,0.17786914202938842,0.03756884570422336,0.04328651094220115,0.0001,2.305255010674743e-05,0.0,0.08521813917349699,0.25075378709200724,45,2.6408840019939372,90
BP@S,MEAN_CURVE - G14,0.1137225435564576,0.03137373465787542,0.036783299566138364,0.0136,0.001351647192369038,0.0054,0.024271462263750217,0.16765295817652248,25,1.7939156355993795,42
BP@S,FLAT - G14,0.10900528553894877,0.03331018141603201,0.037952191547100056,0.0428,0.003221276732672192,0.0182,0.004506487621954657,0.1643677301074518,25,1.7917495882743613,42
BP@S,G14 - O_AMP,0.14757691467839887,0.029276889541451794,0.029150214999337228,0.0003,3.7493236550322436e-05,0.0,0.0788280475695338,0.22835915762436562,25,4.1992757639936205,42
BP1,MEAN_CURVE - G14,0.08171026678231383,0.029438683456250718,0.03342725264011522,0.0611,0.010507021878486294,0.0382,-0.004715787186836388,0.13165810778432618,25,1.6498624625672527,42
BP1,FLAT - G14,0.10647296423433927,0.03826418092611817,0.04708497128810191,0.0697,0.010338815811667179,0.0378,-0.009888635919548219,0.17237735362043471,25,1.8405070276678548,42
BP1,G14 - O_AMP,0.154699367417808,0.030901476698713945,0.032668286889788664,0.0001,4.091924828481496e-05,0.0,0.09534411769985646,0.2510870015051299,25,2.933966506543211,42
BP@SX,MEAN_CURVE - G14,0.10653981001801247,0.03855125564697084,0.046885526909303456,0.1464,0.018437175884681467,0.0768,-0.04222526458768032,0.17974160005769133,12,1.4908542441568045,21
BP@SX,FLAT - G14,0.08742419463627635,0.04132211045425654,0.05637535084732819,0.2554,0.05800335094350103,0.1792,-0.06668897666819659,0.14860722270786783,12,1.5960306721713928,21
BP@SX,G14 - O_AMP,0.1492392854952851,0.02891475033994933,0.030542211898417222,0.0044,0.00031267377710232234,0.0,0.06932790525411606,0.2607860727107987,12,3.972972972972972,21
BP1X,MEAN_CURVE - G14,0.08618137034481817,0.03078518157276862,0.03361438701854333,0.1407,0.01729197939897797,0.0734,-0.03931624305130095,0.17183361199023284,12,1.2968211435266448,22
BP1X,FLAT - G14,0.11077179282396422,0.039168832218421344,0.055067256478900754,0.149,0.01642908429104413,0.0944,-0.04044205876057756,0.16767327114053973,12,1.5966273101065926,22
BP1X,G14 - O_AMP,0.1289288242632394,0.027859179684801047,0.03129339766716891,0.0046,0.0007309317470497544,0.0,0.057493788463433226,0.2435897302190836,12,3.6666666666666674,22
cross,FLAT: BP@S - BP1,-9.25185853854297e-18,1.2260680037002681e-17,1.3229039157703366e-17,0.6847,0.4578325768971159,,-4.6259292692706063e-17,6.288867712279447e-18,25,7.411764705882353,42
cross,FLAT: BP@SX - BP1X,-6.869150159661248e-05,3.925228662660831e-05,6.611557028669338e-05,0.5045,0.10792259552753765,,-0.00013171872807293345,8.914940951077057e-17,12,3.972972972972972,21
cross,MEAN_CURVE: BP@S - BP1,0.029479955469534223,0.013277735755278675,0.018105550156851617,0.0491,0.036098239028596435,,3.112674960114968e-05,0.05643311294577344,25,5.46837508115481,42
cross,MEAN_CURVE: BP@SX - BP1X,0.04229696030255336,0.009339910159019702,0.014489182125892354,0.0076,0.0008597699440278872,,0.01271838872015782,0.0564378564704443,12,3.972972972972972,21
cross,G14: BP@S - BP1,-0.0025323213046095244,0.015432352364863702,0.017772881348184884,0.8874,0.8710330485973656,,-0.047804577984138105,0.022050168117593576,25,1.4980065650367487,42
cross,G14: BP@SX - BP1X,0.02052882060981189,0.007630103129695381,0.007828532446930957,0.0198,0.021010228724571322,,0.002141271132994617,0.04942529735892298,12,1.4190198181229592,21
cross,O_AMP: BP@S - BP1,0.004590131434799606,0.002907418937150256,0.003045395582934856,0.2298,0.1274809376397108,,-0.004245655800844907,0.011419007703091592,25,1.653221003939056,42
cross,O_AMP: BP@SX - BP1X,0.006319703266003401,0.002655827779119971,0.002841701166303511,0.0635,0.03652946027997797,,-0.0007124634047175442,0.016544437039515678,12,1.3578935620133878,21
