extractant,chemotype,mae_all,n_pairs,n_cells,mae_adjacent,mae_far,entry
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,0.6516067901371738,10,1,0.2395628041676607,0.8392555962620224,L1_CORPUS_MEAN_permetal_w
C1COCCOCCOCCOCCOCCO1,sc001,0.7100706760358168,10,1,0.2791687219995264,0.8967730703148149,L1_CORPUS_MEAN_permetal_w
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sc007,0.365130409670982,91,1,0.09777572544718145,0.5450121113010828,L1_CORPUS_MEAN_permetal_w
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,sc008,0.10856677558508844,15,1,0.08190129052869233,0.08272667861006792,L1_CORPUS_MEAN_permetal_w
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,sc010,0.1852871579783008,28,1,0.08396482385007682,0.24087791479987766,L1_CORPUS_MEAN_permetal_w
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,sc012,0.4019168480362358,91,1,0.1521885024280672,0.47594672168955676,L1_CORPUS_MEAN_permetal_w
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,sc015,1.414878542230467,91,1,0.3089133496200909,2.138919736397187,L1_CORPUS_MEAN_permetal_w
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,sc009,0.46321334567458944,91,1,0.15707006709218713,0.6698019891582532,L1_CORPUS_MEAN_permetal_w
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,sc016,2.0947777114073953,1,1,,,L1_CORPUS_MEAN_permetal_w
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,sc009,0.14051784709254764,242,6,0.07705126931860415,0.17716224185907406,L1_CORPUS_MEAN_permetal_w
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,sc017,0.12670811378404448,15,1,0.08232879851825298,0.12377281884155211,L1_CORPUS_MEAN_permetal_w
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,sc018,0.5501550958734653,170,17,0.4140675634251348,0.78753015338758,L1_CORPUS_MEAN_permetal_w
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,sc009,0.8196198391955903,91,1,0.19493896439905725,1.2258071320785167,L1_CORPUS_MEAN_permetal_w
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,sc019,0.5570421649193643,91,1,0.1204574207080642,0.841651896559536,L1_CORPUS_MEAN_permetal_w
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,sc020,0.5751219505192273,63,3,0.2068313093364791,1.0011038704452229,L1_CORPUS_MEAN_permetal_w
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,sc009,1.474254936378767,78,1,0.4922776229077238,2.14992463609002,L1_CORPUS_MEAN_permetal_w
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,sc021,1.248086749325554,91,1,0.21779444601988532,1.8929634583204016,L1_CORPUS_MEAN_permetal_w
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,sc009,0.29250825797559427,247,21,0.17615133254491055,0.3918638506330364,L1_CORPUS_MEAN_permetal_w
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,sc009,0.4685030580090915,229,10,0.2074765081467757,0.9629168191949524,L1_CORPUS_MEAN_permetal_w
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,sc027,0.19593564802237237,140,5,0.0983557854221889,0.32444132922369884,L1_CORPUS_MEAN_permetal_w
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,sc009,0.12809491749021787,376,20,0.10439352542534963,0.14858230696831465,L1_CORPUS_MEAN_permetal_w
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,sc009,0.2524453872877376,41,14,0.2528578100172602,0.3202839133738716,L1_CORPUS_MEAN_permetal_w
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,sc027,0.2029696457528418,91,1,0.10509284923887571,0.2605348376590664,L1_CORPUS_MEAN_permetal_w
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,sc028,0.5715416773674108,78,1,0.13833405870352652,0.8272572425848166,L1_CORPUS_MEAN_permetal_w
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,sc029,0.5053532120051865,91,1,0.1762431356932694,0.5997024698356073,L1_CORPUS_MEAN_permetal_w
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,sc030,0.4279380960620052,36,1,0.11969725946179165,0.6834918434027661,L1_CORPUS_MEAN_permetal_w
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,sc030,0.6077701300601456,91,1,0.13757569981989268,0.8805912119592914,L1_CORPUS_MEAN_permetal_w
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,sc031,0.7441001092413895,36,1,0.28446615466695907,1.1631174454163469,L1_CORPUS_MEAN_permetal_w
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,sc009,0.9252670822037979,1282,74,0.2167073911795074,1.4761476069079142,L1_CORPUS_MEAN_permetal_w
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sc009,0.9303170028752057,91,1,0.2599170023922429,1.375515886746798,L1_CORPUS_MEAN_permetal_w
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,sc009,0.1577847162771999,28,1,0.16806529413172552,0.17069914906803813,L1_CORPUS_MEAN_permetal_w
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,sc009,0.17721056194469337,28,1,0.15528797350444504,0.20792929970367163,L1_CORPUS_MEAN_permetal_w
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,sc009,0.8435943009161638,91,1,0.2529898981115064,1.2304058032387992,L1_CORPUS_MEAN_permetal_w
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,sc033,0.7776418581401647,91,1,0.19846648562346364,1.167773608345578,L1_CORPUS_MEAN_permetal_w
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,sc009,0.9286481011299637,91,1,0.28769753868079684,1.3539072032569104,L1_CORPUS_MEAN_permetal_w
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,sc009,0.8796109297036515,78,1,0.23007224871735452,1.3551038444411552,L1_CORPUS_MEAN_permetal_w
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,sc009,1.1162903832707305,91,1,0.276987287667457,1.6809316936195824,L1_CORPUS_MEAN_permetal_w
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,sc027,0.1955472584521762,91,1,0.10346146056889186,0.2637798665724396,L1_CORPUS_MEAN_permetal_w
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,sc036,0.47262046088428966,36,1,0.24975238309204675,0.6814986549775409,L1_CORPUS_MEAN_permetal_w
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,sc032,1.189224808475696,10,5,1.2053589018101423,,L1_CORPUS_MEAN_permetal_w
