source,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
La,,0.9066,0.8449,0.7337,0.0596,0.0317,0.1882,0.6958,0.7287,0.7446,0.7677,0.7758,0.6938,0.6417
Ce,0.9063,,0.8239,0.7791,0.0931,0.0004,0.1948,0.6692,0.7335,0.7300,0.7640,0.7883,0.6854,0.6000
Pr,0.8447,0.8240,,0.9013,0.2015,-0.0059,0.1031,0.6334,0.7533,0.8205,0.8818,0.8383,0.8271,0.7667
Nd,0.7332,0.7801,0.9014,,0.3433,0.0130,0.0656,0.5233,0.6433,0.7564,0.7992,0.8642,0.7410,0.6986
Sm,0.0522,0.0857,0.1881,0.3335,,0.5627,0.0288,0.0305,0.1793,0.1061,0.4013,0.4987,0.3790,0.3533
Eu,0.0320,0.0003,-0.0059,0.0132,0.5657,,0.3934,0.2059,0.0345,-0.0084,-0.0119,0.0163,0.0152,0.0098
Gd,0.1873,0.1873,0.1003,0.0639,0.0215,0.3742,,0.5470,0.2857,0.1302,0.0553,0.0371,-0.0072,0.0063
Tb,0.6975,0.6683,0.6321,0.5233,0.0317,0.2012,0.5488,,0.7911,0.6173,0.4800,0.3720,0.3573,0.3050
Dy,0.7217,0.7264,0.7475,0.6399,0.1794,0.0331,0.2861,0.7909,,0.8703,0.7795,0.6421,0.4399,0.5227
Ho,0.7388,0.7242,0.8159,0.7524,0.1581,-0.0098,0.1338,0.6220,0.8687,,0.9171,0.7975,0.6621,0.7123
Er,0.7662,0.7630,0.8813,0.7995,0.4042,-0.0110,0.0578,0.4804,0.7798,0.9180,,0.8844,0.7256,0.8110
Tm,0.7764,0.7863,0.8398,0.8661,0.4985,0.0174,0.0391,0.3710,0.6433,0.8016,0.8873,,0.9366,0.8618
Yb,0.6935,0.6853,0.8275,0.7431,0.3829,0.0156,-0.0065,0.3592,0.4427,0.6639,0.7263,0.9360,,0.9509
Lu,0.6429,0.5987,0.7678,0.7013,0.3578,0.0096,0.0074,0.3088,0.5255,0.7158,0.8124,0.8582,0.9500,
