,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
La,0,0.0834425,0.180563,0.225574,0.677366,0.941938,1.15307,1.58413,1.56057,2.0184,1.9787,2.29025,2.25764,2.04101
Ce,0.0834425,0,0.0931909,0.148346,0.506735,0.732309,0.888952,1.16421,1.3094,1.60276,1.68954,1.81365,1.78344,1.82173
Pr,0.180563,0.0931909,0,0.0545835,0.321461,0.518199,0.644091,0.908005,1.08525,1.35134,1.5106,1.55681,1.57605,1.63277
Nd,0.225574,0.148346,0.0545835,0,0.149296,0.331125,0.392127,0.62004,0.627593,0.903176,0.862418,1.14182,1.04905,1.03472
Sm,0.677366,0.506735,0.321461,0.149296,0,0.0657363,0.120251,0.201841,0.274137,0.434659,0.428883,0.545405,0.5492,0.548364
Eu,0.941938,0.732309,0.518199,0.331125,0.0657363,0,0.0485542,0.0721485,0.141054,0.275112,0.356067,0.367919,0.394056,0.364661
Gd,1.15307,0.888952,0.644091,0.392127,0.120251,0.0485542,0,0.0438399,0.0877095,0.18578,0.206048,0.249718,0.33462,0.32746
Tb,1.58413,1.16421,0.908005,0.62004,0.201841,0.0721485,0.0438399,0,0.0487541,0.0759149,0.122861,0.145564,0.17457,0.207851
Dy,1.56057,1.3094,1.08525,0.627593,0.274137,0.141054,0.0877095,0.0487541,0,0.0268309,0.0467196,0.0806862,0.144224,0.130736
Ho,2.0184,1.60276,1.35134,0.903176,0.434659,0.275112,0.18578,0.0759149,0.0268309,0,0.0235193,0.0461878,0.090835,0.0882816
Er,1.9787,1.68954,1.5106,0.862418,0.428883,0.356067,0.206048,0.122861,0.0467196,0.0235193,0,0.0480413,0.0929639,0.0499805
Tm,2.29025,1.81365,1.55681,1.14182,0.545405,0.367919,0.249718,0.145564,0.0806862,0.0461878,0.0480413,0,0.0144981,0.0357751
Yb,2.25764,1.78344,1.57605,1.04905,0.5492,0.394056,0.33462,0.17457,0.144224,0.090835,0.0929639,0.0144981,0,0.0141508
Lu,2.04101,1.82173,1.63277,1.03472,0.548364,0.364661,0.32746,0.207851,0.130736,0.0882816,0.0499805,0.0357751,0.0141508,0
