arm,subset,n_cells,n_pairs,sse_total,frac_amp,frac_shape,frac_incons,frac_cross,rmse_pairs,rmse_if_amp_perfect
C_DIRECT_ROW,all,2605,70750,43075.263385330065,0.869957642276525,0.13004235772347528,4.6525368595548363e-32,-7.504515087293915e-17,0.7802804912480723,0.2813799616701809
C_DIRECT_ROW,n_metals>=4,1605,69130,42431.37609643862,0.8707896241230477,0.12921037587695233,4.704270807713085e-32,-7.905985166830674e-17,0.7834481870016465,0.28161706942985465
C_DIRECT_ROW,n_metals==2,690,690,280.18572695180524,0.9999999999999994,2.304568745126402e-32,2.449270370582591e-32,6.308217862857452e-16,0.6372332939706189,1.389378898064434e-16
C_DIRECT_ROW,band=near,2166,47162,22918.357918758855,0.8673186096572508,0.13268139034274926,7.245397285577362e-32,2.681919527693935e-17,0.6971008973897342,0.2539221862635318
C_DIRECT_ROW,band=mid,277,12388,5716.993244818646,0.8158424891948192,0.18415751080518092,4.443340124676066e-32,3.65760613817752e-17,0.6793338279934272,0.29152644671783173
C_DIRECT_ROW,band=far,162,11200,14439.912221752564,0.8955712507984023,0.10442874920159825,6.200935827104125e-33,-2.8091214057553553e-16,1.1354637277087247,0.3669300697167859
M_SELECTED,all,2605,70750,38971.885360302724,0.8372276118643308,0.16277238813566924,8.593335096881e-32,-4.3358116833473324e-17,0.7421855354628081,0.2994352009691726
M_SELECTED,n_metals>=4,1605,69130,38314.54333582464,0.8374045286632684,0.1625954713367318,8.705101161559716e-32,-4.709608166854759e-17,0.7444723086259059,0.30019452762408877
M_SELECTED,n_metals==2,690,690,287.67293001145094,0.9999999999999994,2.3844410498111123e-32,4.0670871446950396e-32,6.271010225252117e-16,0.6456913270841323,1.640046843960306e-16
M_SELECTED,band=near,2166,47162,24154.85119442172,0.8690513193406558,0.1309486806593441,8.901928088402235e-32,-9.502570648762423e-19,0.7156588993971108,0.25897428326162425
M_SELECTED,band=mid,277,12388,6390.889405651058,0.832327248491862,0.16767275150813793,4.7025917820420003e-32,-2.855817196970335e-17,0.7182573067768824,0.29411102066904843
M_SELECTED,band=far,162,11200,8426.144760229945,0.7497167443006968,0.2502832556993032,1.0659676577655684e-31,-1.7615198459369418e-16,0.8673720963876803,0.43393166673040395
M_PHYSICS_radius+radius_sq,all,2605,70750,37403.20096917294,0.8260086299143592,0.1739913700856407,1.0378736063659442e-31,-1.430469642204604e-17,0.7270950085839847,0.30328785338372105
M_PHYSICS_radius+radius_sq,n_metals>=4,1605,69130,36764.57774351758,0.8261236669142166,0.17387633308578346,1.051794646900323e-31,-1.7428795207955988e-17,0.7292585216311042,0.30408972723316025
M_PHYSICS_radius+radius_sq,n_metals==2,690,690,282.1478760064574,0.9999999999999992,2.3051543507309712e-32,4.522760439468398e-32,5.765796008265741e-16,0.6394606830968969,1.6709286039300527e-16
M_PHYSICS_radius+radius_sq,band=near,2166,47162,22412.636497278174,0.8558527604301609,0.1441472395698391,1.1090078658198438e-31,2.7274470190997838e-17,0.6893668045865067,0.2617300160492695
M_PHYSICS_radius+radius_sq,band=mid,277,12388,6278.702981184163,0.8272192759509613,0.17278072404903863,4.190137613983171e-32,1.0980557196835184e-17,0.711925208513709,0.29592524505378626
M_PHYSICS_radius+radius_sq,band=far,162,11200,8711.861490710598,0.7483573797850394,0.251642620214961,1.3008863799658597e-31,-1.3949692377755958e-16,0.8819550872670917,0.4424238889822333
M_LOWRANK_K2,all,2605,70750,36715.314053169066,0.8250692842046958,0.17493071579530434,1.1246726926738019e-31,1.3451746458943503e-18,0.7203779343113393,0.30129605008136545
M_LOWRANK_K2,n_metals>=4,1605,69130,36092.49446489227,0.8251916855087491,0.17480831449125084,1.1407801718203499e-31,-1.603421634437303e-18,0.7225620878861965,0.3021038176969005
M_LOWRANK_K2,n_metals==2,690,690,270.88613520742945,0.9999999999999991,2.4316467280889436e-32,3.8655086979092673e-32,6.003419675283873e-16,0.6265689122114962,1.572320401093371e-16
M_LOWRANK_K2,band=near,2166,47162,23048.151911719346,0.8663298391807269,0.13367016081927324,9.430421838844176e-32,2.6574150709309507e-17,0.6990720631938983,0.2555872482214789
M_LOWRANK_K2,band=mid,277,12388,6297.984276040692,0.8381285133304001,0.16187148666960013,5.383086592329136e-32,-2.5409610098556753e-18,0.713017497605921,0.286870153216791
M_LOWRANK_K2,band=far,162,11200,7369.1778654090285,0.6848601078744186,0.31513989212558147,2.1938773129085694e-31,-7.424079461762976e-17,0.8111487591135922,0.4553571907971203
X_ENS_DIRECT+LOWRANK_K2,all,2605,70750,37229.22164878155,0.8462977067310719,0.15370229326892818,6.626494506652013e-32,-3.374654054338163e-17,0.7254020125705714,0.2843930178613179
X_ENS_DIRECT+LOWRANK_K2,n_metals>=4,1605,69130,36617.68852083791,0.8468757899242757,0.15312421007572427,6.712115188058229e-32,-3.724221918381918e-17,0.7278002235179537,0.2847961508292466
X_ENS_DIRECT+LOWRANK_K2,n_metals==2,690,690,267.9718845098597,0.9999999999999991,2.475848382376646e-32,3.0198400687793023e-32,6.028119488985257e-16,0.6231894174440781,1.4609357686757252e-16
X_ENS_DIRECT+LOWRANK_K2,band=near,2166,47162,22013.87041881652,0.8650797083260198,0.13492029167398015,7.829751846241184e-32,7.516525826802654e-18,0.6832066672790201,0.25095204066912596
X_ENS_DIRECT+LOWRANK_K2,band=mid,277,12388,5733.93855458258,0.8243196183033815,0.1756803816966187,4.527386392536138e-32,7.493226236491633e-18,0.6803398642230453,0.2851593080313105
X_ENS_DIRECT+LOWRANK_K2,band=far,162,11200,9481.412675382453,0.8159811757913366,0.18401882420866347,5.102228587295558e-32,-1.5449079291094277e-16,0.9200840739623459,0.3946922866026906
