claim,summary_value,my_value,verdict
amplitude share of pairwise SSE (pooled over pairs),82.5 - 87.0 %,82.5 - 87.0 %,MATCH
  per arm C/M_SEL/M_PHY/M_LR/X_ENS,87.0/83.7/82.6/82.5/84.6,87.0/83.7/82.6/82.5/84.6,MATCH
"amplitude share, units with n_metals >= 4",82.5 - 87.1 %,82.5 - 87.1 %,MATCH
n units with m == 2 / their SSE share,690 / 0.65 %,690 / 0.65 %,MATCH
"amplitude share, EQUAL WEIGHT PER CELL",not reported,76.8 - 79.3 %,NOT REPORTED
"amplitude share, EQUAL WEIGHT PER EXTRACTANT",not reported,67.1 - 67.8 %,NOT REPORTED - 15-20 pts lower than headline
SSE share of dominant chemotype sc009 (375/521 cells),not reported,51.2 - 58.9 %,NOT REPORTED
largest single unit's share of pooled SSE,not reported,1.35 - 1.50 %,OK - no single cell dominates
extractant-macro MAE baseline C_DIRECT_ROW / X_ENS,0.4953 / 0.4810,0.4953 / 0.4810,MATCH
"extractant-macro MAE, amplitude made exact C / X",0.2096 / 0.2067,0.2096 / 0.2067,MATCH
  fraction of MAE removed,57 - 58 %,57.0 - 57.7 %,MATCH
"extractant-macro MAE, shape made exact C / X",0.4300 / 0.4165,0.4300 / 0.4165,MATCH
oracle best global g (5 arms),1.05/0.95/1.00/1.00/1.20,1.05/0.95/1.00/1.00/1.20,MATCH
oracle best-g MAE gain (5 arms),0.0004/0.0001/0.0000/0.0000/0.0026,0.0004/0.0001/0.0000/0.0000/0.0026,MATCH
sd(observed amplitude),1.182,1.182,MATCH
sd(predicted amplitude) range,0.499 - 0.652,0.499 - 0.652,MATCH
sd ratio observed/predicted,1.81 - 2.37,1.81 - 2.37,MATCH
through-origin slope C / X,1.411 / 1.491,1.411 / 1.491,MATCH
  95% CI C_DIRECT_ROW,"[0.971, 1.823]","[0.981, 1.861]",MATCH (bootstrap seed differs)
slope with intercept / intercept / R2,0.95-1.31 / -0.19 to -0.35 / 0.204-0.319,0.95 - 1.31 / -0.35 - -0.19 / 0.204 - 0.319,MATCH
oracle per-extractant gain C / X,-0.086 / -0.091,-0.0865 / -0.0909,MATCH
oracle per-cell gain C / X,-0.090 / -0.096,-0.0904 / -0.0958,MATCH
pair RMSE baseline -> amplitude exact,0.720-0.780 -> 0.281-0.303,0.720 - 0.780 -> 0.281 - 0.303,MATCH
curve reconstruction max |P c_obs - y|,2.665e-15,8.882e-16,MATCH (both far below 1e-9)
non-integrable share of predicted-pair SSE,<= 1.1e-31,1.5e-32,MATCH
replicate-noise pair MAE floor (cohort / programme),0.341 / 0.267,0.341 / 0.267,"MATCH (n=216 repsd, median 0.302)"
