min_cells_per_extractant,model,ridge_lambda,n_params,n_cells,loo_mae,loo_rmse,delta_mae_vs_baseline,r2_vs_baseline
3,extractant mean only (baseline),0.0,15,182,0.2781923951057575,0.41451619269779677,0.0,0.0
3,extractant mean only (baseline),1.0,15,182,0.2781923951057575,0.41451619269779677,0.0,0.0
3,+ nested acid-concentration slope,0.0,27,182,0.3931437191818599,1.927101740148434,0.11495132407610242,-20.61355900640084
3,+ nested acid-concentration slope,1.0,27,182,0.26437745724378947,0.3965448019801595,-0.013814937861968024,0.0848305340651545
3,+ nested extractant-concentration slope,0.0,23,182,0.26633698048957183,0.4101353054610782,-0.011855414616185667,0.02102565460707495
3,+ nested extractant-concentration slope,1.0,23,182,0.2749770244915629,0.4138780597758486,-0.0032153706141945793,0.0030765588496810548
3,+ nested temperature slope,0.0,23,182,0.29227458369208487,0.4235210654422789,0.014082188586327371,-0.043919552461118005
3,+ nested temperature slope,1.0,23,182,0.2831025634750434,0.4169393176018428,0.004910168369285928,-0.011725512012457528
3,+ nested diluent identity,0.0,44,182,0.2754895379019445,0.4529767020241083,-0.0027028572038129695,-0.19417707577522725
3,+ nested diluent identity,1.0,44,182,0.26989822873959657,0.4201415197964659,-0.008294166366160927,-0.027325819188164235
3,+ acid + ext + temperature slopes,0.0,43,182,0.41465022840329224,2.123950353093179,0.13645783329753475,-25.254619035656447
3,+ acid + ext + temperature slopes,1.0,43,182,0.26412865035179495,0.39982892446301704,-0.014063744753962548,0.06960918069310973
3,"all conditions (acid, ext, temp, acid id, diluent)",0.0,81,182,0.39480606062276313,2.122731610762547,0.11661366551700564,-25.224497394363755
3,"all conditions (acid, ext, temp, acid id, diluent)",1.0,81,182,0.25360734015680086,0.39832373767979007,-0.02458505494895663,0.07660105096352499
6,extractant mean only (baseline),0.0,11,166,0.2939505147820313,0.4311799450928997,0.0,0.0
6,extractant mean only (baseline),1.0,11,166,0.2939505147820313,0.4311799450928997,0.0,0.0
6,+ nested acid-concentration slope,0.0,21,166,0.4195433779144761,2.017173947806871,0.12559286313244478,-20.886161283139412
6,+ nested acid-concentration slope,1.0,21,166,0.2787630348342903,0.4122235533077377,-0.015187479947741,0.08599515197742402
6,+ nested extractant-concentration slope,0.0,18,166,0.2819077188714658,0.4270621354259339,-0.012042795910565507,0.019008986738622502
6,+ nested extractant-concentration slope,1.0,18,166,0.29062143376290694,0.43059193522911876,-0.0033290810191243803,0.0027255855903276505
6,+ nested temperature slope,0.0,18,166,0.30719100718057907,0.43966346132769923,0.013240492398547743,-0.039737345964966364
6,+ nested temperature slope,1.0,18,166,0.2992852380820493,0.4337229424574405,0.005334723300017996,-0.011830310719001647
6,+ nested diluent identity,0.0,36,166,0.28903659791041747,0.47033721773006487,-0.004913916871613855,-0.18987567390765703
6,+ nested diluent identity,1.0,36,166,0.28529267294041116,0.4371424864246046,-0.008657841841620162,-0.02784808380019088
6,+ acid + ext + temperature slopes,0.0,35,166,0.4343665965099512,2.219107185155017,0.14041608172791986,-25.48740752382684
6,+ acid + ext + temperature slopes,1.0,35,166,0.2786197667326248,0.415760872745955,-0.01533074804940654,0.07024156907031132
6,"all conditions (acid, ext, temp, acid id, diluent)",0.0,68,166,0.4287599531137846,2.226131769503844,0.1348094383317533,-25.65536472829255
6,"all conditions (acid, ext, temp, acid id, diluent)",1.0,68,166,0.2674789824924087,0.4142034795852667,-0.026471532289622624,0.0771940626559865
