feature,accuracy_permuted,importance,ci_low,ci_high,p_two_sided
coord__arm__n_clusters_with_3plus_donors,0.7461226375250766,0.022185883222468616,-0.0016513830539023606,0.05614903494089333,0.071
coord__arm__core_branch_degree,0.7496610706366804,0.01864745011086477,-0.013413811088509869,0.05622510174887153,0.2315
coord__dist__donor_pair_median,0.7524500815354475,0.01585843921209773,-0.0070426487093153715,0.04252210411551816,0.176
coord__dist__donor_pair_min,0.7539284394467322,0.01438008130081303,0.0026314062715843745,0.0357926681022507,0.0075
coord__dist__donor_pair_max,0.7622109597719354,0.0060975609756097615,-0.0012824675324675237,0.019356042368801205,0.161
coord__dist__n_donor_pairs_within_2,0.7634304719670574,0.004878048780487809,0.0,0.01538461538461533,0.2645
coord__dist__donor_eccentricity_max,0.7634304719670574,0.004878048780487809,-0.0016666666666667052,0.01578947368421036,0.2295
coord__dist__donor_pair_mean,0.7658694963573013,0.0024390243902439046,0.0,0.009523809523809604,0.7245
coord__arm__estimated_denticity_per_pocket,0.7670890085524232,0.0012195121951219523,-0.0036585365853657485,0.008333333333333304,0.8995
coord__dist__donor_network_diameter,0.7670890085524232,0.0012195121951219523,-0.007792207792207795,0.012003030303030432,0.867
coord__dist__donor_eccentricity_min,0.7673846478724528,0.0009238728750924352,-0.012244668543212264,0.01592334411306738,0.928
coord__dist__n_donor_pairs_within_4,0.7674955126174638,0.0008130081300813385,-0.0068627450980391965,0.009357182017543923,0.9025
coord__dist__n_four_membered_chelate_pairs,0.767495512617464,0.0008130081300812275,0.0,0.0033333333333334103,0.7415
coord__arm__has_repeated_arms,0.7683085207475452,0.0,0.0,0.0,2.0
coord__arm__local_donor_cluster_count,0.7683085207475452,0.0,0.0,0.0,2.0
coord__arm__n_donor_bearing_branches,0.7683085207475452,0.0,0.0,0.0,2.0
coord__dist__n_linker_atoms_between_units,0.7683085207475452,0.0,0.0,0.0,2.0
coord__arm__is_multitopic,0.7683085207475452,0.0,0.0,0.0,2.0
coord__arm__repeated_arm_count,0.7683085207475452,0.0,0.0,0.0,2.0
coord__arm__n_distinct_arm_types,0.7683085207475452,0.0,0.0,0.0,2.0
coord__dist__donor_eccentricity_mean,0.7683085207475452,0.0,-0.007692307692307665,0.007792207792207795,1.253
coord__arm__n_clusters_with_2plus_donors,0.7683085207475452,0.0,0.0,0.0,2.0
coord__arm__mean_donor_cluster_size,0.7683085207475452,0.0,0.0,0.0,2.0
coord__dist__mean_intercluster_distance,0.7683085207475452,0.0,0.0,0.0,2.0
coord__arm__topicity,0.7683085207475452,0.0,0.0,0.0,2.0
coord__dist__min_intercluster_distance,0.7683085207475452,0.0,0.0,0.0,2.0
coord__dist__donor_pair_proximity_count,0.7687150248125858,-0.00040650406504061376,-0.0042427466150871725,0.0024691358024689913,0.9555
coord__arm__mean_donor_distance_to_core,0.7691215288776265,-0.0008130081300813385,-0.006249999999999978,0.004562310949788215,0.7905
coord__arm__min_donor_cluster_size,0.7695280329426671,-0.0012195121951219523,-0.005084745762711895,0.0,0.7445
coord__dist__donor_pair_sd,0.7707475451377891,-0.0024390243902439046,-0.0161298468556534,0.009615384615384585,0.739
coord__dist__n_five_membered_chelate_pairs,0.7707475451377892,-0.0024390243902440156,-0.009411764705882345,0.0,0.7535
coord__arm__core_donor_eccentricity,0.771967057332911,-0.003658536585365857,-0.01509433962264162,0.005333333333333193,0.4685
coord__dist__n_donor_pairs_within_5,0.7723735613979517,-0.004065040650406471,-0.019048956661316247,0.008163432039482447,0.556
coord__dist__frac_donor_pairs_within_3,0.7728909302080034,-0.004582409460458181,-0.02167910447761188,0.010021269296740912,0.5525
coord__dist__n_donor_pairs_within_6,0.7731865695280329,-0.004878048780487698,-0.013728506787330374,0.0,0.096
coord__arm__max_connected_donor_motif_size,0.7756255939182769,-0.007317073170731714,-0.018181818181818188,0.0,0.0995
coord__dist__n_donor_pairs_beyond_6,0.7756255939182769,-0.007317073170731714,-0.01884126333059889,-0.0009801541976013676,0.0315
coord__dist__n_donor_pairs_within_3,0.7772516101784396,-0.008943089430894391,-0.02386861986364457,0.0008888888888888308,0.117
coord__arm__n_amide_branches,0.7780646183085207,-0.009756097560975507,-0.025398268398268416,-0.001941280806571936,0.0265
