comparison,dropped_chemotype,delta,n_units
P1_M_SELECTED_vs_C_DIRECT_ROW,(none),-0.022920557751882824,90
P1_M_SELECTED_vs_C_DIRECT_ROW,sc000,-0.02147820816890201,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc001,-0.021236140635715252,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc007,-0.02383642226428472,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc008,-0.02523265035145146,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc009,-0.012146221166288848,67
P1_M_SELECTED_vs_C_DIRECT_ROW,sc010,-0.022843305205530184,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc012,-0.02307626563502033,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc015,-0.023521680814907717,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc016,-0.027406190290279464,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc017,-0.02226163447892798,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc018,-0.02256860282849219,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc019,-0.023038639884918992,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc020,-0.02069643096920837,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc021,-0.01940726986575367,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc027,-0.019763999798621937,84
P1_M_SELECTED_vs_C_DIRECT_ROW,sc028,-0.023501691832427906,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc029,-0.027600781361788965,87
P1_M_SELECTED_vs_C_DIRECT_ROW,sc030,-0.026340948375716485,87
P1_M_SELECTED_vs_C_DIRECT_ROW,sc031,-0.021974240485160588,87
P1_M_SELECTED_vs_C_DIRECT_ROW,sc032,-0.023329482100782905,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc033,-0.022938682654548015,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc036,-0.02375350797953277,86
