comparison,dropped_chemotype,delta,n_units
P1_M_SELECTED_vs_C_DIRECT_ROW,(none),-0.029844549567607348,90
P1_M_SELECTED_vs_C_DIRECT_ROW,sc000,-0.02877838358749007,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc001,-0.02892377637045667,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc007,-0.0304272586716461,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc008,-0.032208241164203406,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc009,-0.013009012870364432,67
P1_M_SELECTED_vs_C_DIRECT_ROW,sc010,-0.029371905710012705,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc012,-0.029791572972330732,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc015,-0.02843904584191636,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc016,-0.034686934461834795,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc017,-0.02892607959808341,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc018,-0.029376588411624882,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc019,-0.029592344321139014,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc020,-0.027693785665317362,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc021,-0.02650881928566607,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc027,-0.026806438552778613,84
P1_M_SELECTED_vs_C_DIRECT_ROW,sc028,-0.03137657334028585,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc029,-0.03476399417122125,87
P1_M_SELECTED_vs_C_DIRECT_ROW,sc030,-0.03364290814205193,87
P1_M_SELECTED_vs_C_DIRECT_ROW,sc031,-0.029453177559507715,87
P1_M_SELECTED_vs_C_DIRECT_ROW,sc032,-0.03012829739596087,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc033,-0.02969867627367652,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc036,-0.030898809714578063,86
P1_M_SELECTED_vs_C_DIRECT_ROW,sc055,-0.031174896960652954,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc057,-0.02621342328547991,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc058,-0.027105737704551172,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc059,-0.030131883663410748,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc060,-0.030502536043633035,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc061,-0.028595345686114028,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc062,-0.034559948431770404,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc063,-0.029357095645492222,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc068,-0.03401601310478944,84
P1_M_SELECTED_vs_C_DIRECT_ROW,sc069,-0.030216686908411575,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc070,-0.029928477461737647,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc071,-0.030564408901350457,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc075,-0.03301106437039459,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc076,-0.03014484625148347,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc077,-0.03029462036613636,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc078,-0.029590790996163664,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc083,-0.031352391146816865,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc084,-0.029367212662725878,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc085,-0.030146349203075615,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc086,-0.030665779625820323,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc092,-0.029817251291873022,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc096,-0.027630398440442173,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc097,-0.03027359153124984,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,(none),0.08560942457827889,90
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc000,0.08227982285705418,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc001,0.08140451638963839,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc007,0.08581843063900715,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc008,0.08692143404680533,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc009,0.07733174739945681,67
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc010,0.08692203141528498,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc012,0.08649538063920191,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc015,0.08448026854220854,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc016,0.08524532396512596,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc017,0.08702635830934073,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc018,0.08564803053283293,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc019,0.08308190594323,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc020,0.0867144229531647,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc021,0.08663196368632897,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc027,0.10429654485841294,84
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc028,0.08475251722027305,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc029,0.09059377141531089,87
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc030,0.08331188947550176,87
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc031,0.07948491443498938,87
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc032,0.08647407386528479,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc033,0.08109224065714722,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc036,0.07922569697230261,86
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc055,0.08743858006916538,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc057,0.08397261714928127,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc058,0.09050303686388475,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc059,0.08389035758377035,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc060,0.08418854154324512,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc061,0.08580329207456273,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc062,0.08489450918699512,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc063,0.08353923056752086,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc068,0.0834277756265562,84
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc069,0.09021407244564125,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc070,0.08640612215774479,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc071,0.0868519333781501,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc075,0.0848599876384265,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc076,0.08654337005057658,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc077,0.08642518397467151,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc078,0.08581851268471045,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc083,0.08982247925496803,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc084,0.08693653558466362,89
