band,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
far,X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_RESP3D_GATED,-0.008576814164066604,-0.018049477544272288,0.001123261123625471,-0.019042141547699894,-0.00018109041400660058,0.074,0.004811333110402874,0.013471732709128045,-0.007223825755698641,19,10,0,5,-0.010371838742320878,-0.005711662240463857,True,0.02,False,False
far,X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_RESP3D_ADD,-0.012162910617338084,-0.029102635741893167,0.0058900907788528665,-0.02994051395071825,0.004833890843027247,0.165,0.008685899976447297,0.024320519934052428,-0.01070716510457714,19,9,0,5,-0.016046385764975683,-0.007537056396222702,True,0.02,False,False
far,X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_RESP3D_RESIDUAL,-0.08364721607857221,-0.18553200946569978,-0.003816547919088545,-0.1950216563275967,-0.01094675746162963,0.038,0.04635529811584489,0.1297948347243657,-0.09296315584718479,19,6,0,5,-0.10337508852975177,-0.054659034305013794,True,0.02,False,False
far,X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_RESP3D_SHUFFLED,3.606022814566322e-05,-0.00763775946475586,0.007072712061635173,-0.0084609617598745,0.006444191534011917,0.965,0.003764207468613705,0.010539780912118374,0.00011001360710305287,19,12,3,5,-0.0013538322695799488,0.0023940425154463977,False,0.02,False,False
far,X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,mae_all,X_RESP3D_SHUFFLED,X_RESP3D_ADD,-0.012198970845483747,-0.030121746341206648,0.004844945175806704,-0.03338102617709743,0.00285552161362581,0.154,0.008874723556853852,0.024849225959190785,-0.010817178711680192,19,9,0,5,-0.015323561754095947,-0.006183224126642753,True,0.02,False,False
mid,X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_RESP3D_GATED,0.0033674682091986512,-0.0032957467539976933,0.00823781040527373,-0.0020454629327998964,0.00901717967540777,0.288,0.0028641294285948523,0.008019562400065586,0.0014165980907640749,30,14,4,5,0.0010939254523971444,0.004523885781145178,True,0.02,False,False
mid,X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_RESP3D_ADD,-0.005907931350809124,-0.0190780960334747,0.004238915494679323,-0.01794542861467892,0.005254837703235661,0.304,0.006188971191282618,0.01732911933559133,-0.0053823854158771695,30,14,0,5,-0.011490334875398835,-0.0017069071163675917,True,0.02,False,False
mid,X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_RESP3D_RESIDUAL,-0.07234084885710836,-0.16068656183396898,0.0004764527494778157,-0.14936255551572836,0.009681921759553035,0.053,0.04013900586287567,0.11238921641605187,-0.09142238019201189,30,5,0,5,-0.09817133429756197,-0.05596863127166752,True,0.02,False,False
mid,X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_RESP3D_SHUFFLED,-0.0055508381992017365,-0.016363540961775714,0.010615167042550104,-0.018183666087979514,0.007847092824314809,0.524,0.007124655862106841,0.019949036413899154,0.005331176646621836,30,13,1,5,-0.008764551790766103,0.0017597367766110763,False,0.02,False,False
mid,X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,mae_all,X_RESP3D_SHUFFLED,X_RESP3D_ADD,-0.0003570931516073877,-0.019181444621226455,0.017073022326646044,-0.016647512333244477,0.0216471676106099,0.881,0.010164372737554035,0.028460243665151295,-0.010713562062499005,30,12,4,5,-0.01325007165200991,0.0022148119829364108,False,0.02,False,False
