comparison,dropped_chemotype,delta,n_units
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,(none),-0.0031285899522254215,90
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc000,-0.0034304126285932385,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc001,-0.0032949887296665824,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc007,-0.003244935355536017,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc008,-0.003264182507519982,88
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc009,-0.0042523279899174555,67
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc010,-0.003161960832910419,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc012,-0.0034515001521596505,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc015,-0.002999442557408531,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc016,-0.00316702314405426,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc017,-0.0031162202205120356,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc018,-0.003169679032780739,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc019,-0.0031655260862364907,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc020,-0.0030962355176977836,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc021,-0.0031296348286179426,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc027,-0.0037013455861037085,84
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc028,-0.002125285508037626,88
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc029,-0.003289990438304402,87
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc030,-0.0031235078264967566,87
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc031,-0.003209407164156475,87
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc032,-0.0033011535527377113,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc033,-0.0033385923695491626,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc036,-0.003046497904573619,86
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc055,-0.0032066650313643803,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc057,-0.0031927692304439055,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc058,-0.0030225202436515836,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc059,-0.0032426635620821116,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc060,-0.002941358260753303,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc061,-0.0024512714167148637,88
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc062,-0.0030190194554580974,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc063,-0.0031614951758198225,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc068,-0.003262600995957388,84
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc069,-0.0028912123574045072,88
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc070,-0.003119009580745435,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc071,-0.0031461245156969115,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc075,-0.0032545135106538552,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc076,-0.0030734539186547854,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc077,-0.0031476782139506975,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc078,-0.002742244837118297,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc083,-0.0027818113190085036,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc084,-0.003222495946708786,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc085,-0.003182871293189246,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc086,-0.0031076410468701982,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc092,-0.0025638143707324475,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc096,-0.0031151856051146983,89
X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,sc097,-0.0031582966487004403,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,(none),-0.005673946549024834,90
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc000,-0.006126942334725449,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc001,-0.005756740782817286,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc007,-0.005833873694324891,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc008,-0.005651075567274114,88
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc009,-0.008198079021692858,67
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc010,-0.005531380461186239,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc012,-0.006004224687034444,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc015,-0.005643477818044557,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc016,-0.005815563975879756,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc017,-0.006118606705463125,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc018,-0.005712406620375868,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc019,-0.00507467953172423,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc020,-0.005569628485446731,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc021,-0.005486373877693479,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc027,-0.0067128330836229615,84
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc028,-0.004186921797535015,88
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc029,-0.0045130870485386426,87
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc030,-0.005312910287632047,87
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc031,-0.005887065640377239,87
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc032,-0.005903194598079869,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc033,-0.005988837804461019,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc036,-0.005537883869123093,86
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc055,-0.0057573522826736305,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc057,-0.005993332562429456,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc058,-0.005616056328188668,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc059,-0.005901090019832839,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc060,-0.005433416960802107,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc061,-0.00493093783770642,88
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc062,-0.005713965680079601,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc063,-0.005708211817644986,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc068,-0.005702680983779758,84
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc069,-0.005432076444859743,88
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc070,-0.005749049993416476,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc071,-0.005733246934137732,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc075,-0.005934390363516319,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc076,-0.005608900592831335,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc077,-0.0057476195409235644,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc078,-0.005307728453562216,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc083,-0.004665470818144046,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc084,-0.006002793440691213,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc085,-0.00602270099779277,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc086,-0.005991412506073327,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc092,-0.004947382951400451,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc096,-0.005749135469741941,89
X_X_RESP3D_ADD_vs_M_PHYSICS_radius+radius_sq,sc097,-0.005734747328521203,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,(none),-0.05597032248415073,90
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc000,-0.05609884365582704,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc001,-0.05801392597472986,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc007,-0.05418776290365734,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc008,-0.05324260715990994,88
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc009,-0.07265018266939845,67
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc010,-0.05558074291416548,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc012,-0.05547593276973208,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc015,-0.06294325974225103,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc016,-0.05701152623801433,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc017,-0.05364680848670065,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc018,-0.05659262607758502,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc019,-0.05718974844581441,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc020,-0.055850476245399315,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc021,-0.05542913500280739,89
