band,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
far,X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_RESP3D_GATED,0.0033260086826446705,-0.0075324253834063,0.017901492863483845,-0.006080774118661232,0.020620730295062565,0.629,0.006442396760232443,0.01803871092865084,0.004063858014249748,19,7,2,5,-0.0009664855146746856,0.004888513149573071,False,0.02,False,False
far,X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_LOGK_GATED,-0.001436997195638343,-0.009673770719388382,0.005900478534070641,-0.010334166698364209,0.005473854397028809,0.753,0.004069526758357347,0.01139467492340057,-0.0022177542819288823,19,9,2,5,-0.003090365143077132,0.0004708350887810347,False,0.02,False,False
far,X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_RESP3D_RESIDUAL,-0.0945922367425834,-0.19716394278789331,-0.013931856602942211,-0.2048065976581049,-0.02107497197922603,0.021,0.0464522569863541,0.13006631956179146,-0.10490460094063714,19,6,0,5,-0.11643018445610898,-0.06617034272419277,True,0.02,False,False
far,X_X_LOGK_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_LOGK_RESIDUAL,-0.11863168590636738,-0.23745374668563174,-0.03916708745043164,-0.31486210634211176,-0.051570286130866526,0.0,0.05311283455063212,0.14871593674176992,-0.12565454421496317,19,5,0,5,-0.13350362114809966,-0.06743609646173503,True,0.02,False,False
mid,X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_RESP3D_GATED,0.0022815392448465727,-0.006920958290213553,0.009766075154310484,-0.005082104003557449,0.011932816940250569,0.749,0.004629098970162503,0.012961477116455008,-0.0025780907503115923,30,14,3,5,-0.003449727048985911,0.0034404961785323316,False,0.02,False,False
mid,X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_LOGK_GATED,-0.0034353975108352298,-0.007648391000698679,0.0022798391162320597,-0.007539287844490968,0.0023566428511696863,0.207,0.0025252448762140395,0.0070706856533993105,-0.001411770885013778,30,12,2,5,-0.004423235672044747,-0.002007614298824644,True,0.02,False,False
mid,X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_RESP3D_RESIDUAL,-0.07050375727688904,-0.16347936556285086,0.0024751495641832186,-0.15372211451579937,0.011043848734957559,0.057,0.04195449802830349,0.11747259447924976,-0.09311741075818175,30,7,0,5,-0.0972514923854079,-0.0525676206377112,True,0.02,False,False
mid,X_X_LOGK_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_LOGK_RESIDUAL,-0.00824890219443284,-0.027119753526346234,0.010599713147399808,-0.026340838135693698,0.011407529307122842,0.386,0.009647700099945977,0.027013560279848733,-0.006513757517705085,30,14,0,5,-0.014595945662817855,-0.0030724947345662067,True,0.02,False,False
near,X_X_RESP3D_GATED_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_RESP3D_GATED,-0.0005162432948428537,-0.0038389915339685915,0.0019100641069220495,-0.00398567053892458,0.001785180123185877,0.683,0.001427543832391897,0.003997122730697311,-2.8705129182744458e-05,55,27,3,5,-0.0012086330998762175,8.524182514553109e-05,False,0.02,False,False
near,X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_LOGK_GATED,-0.0003852037281322425,-0.0021476688288207184,0.00284096720138109,-0.0026955578219493644,0.0021404488020317415,0.841,0.0013322425458009177,0.0037302791282425693,0.0008471130134873986,55,26,1,5,-0.0008040794310764084,0.0010350616566461256,False,0.02,False,False
near,X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_RESP3D_RESIDUAL,-0.047133504827612874,-0.10393869802479988,-0.015310952095734149,-0.09552770677384377,-0.010858191583185437,0.001,0.02347137691921107,0.06571985537379099,-0.066344715022541,55,20,0,5,-0.06818095663410073,-0.03595412448520753,True,0.02,False,False
near,X_X_LOGK_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,X_LOGK_RESIDUAL,-0.021172247018191405,-0.041596425213994,-0.003534609415452771,-0.04392427144229109,-0.004608552863543959,0.023,0.009094882563514308,0.02546567117784006,-0.023056670301224207,55,21,0,5,-0.024212749897368026,-0.017276986524440905,True,0.02,False,False
