comparison,dropped_chemotype,delta,n_units
P1_M_SELECTED_vs_C_DIRECT_ROW,(none),0.010306446810368915,90
P1_M_SELECTED_vs_C_DIRECT_ROW,sc000,0.013368269765734297,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc001,0.009971141652506071,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc007,0.01082601465315589,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc008,0.00971608790773065,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc009,0.006619422949337244,67
P1_M_SELECTED_vs_C_DIRECT_ROW,sc010,0.011310169147977004,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc012,0.011012273970783156,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc015,0.013738058423376023,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc016,0.008737111109439729,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc017,0.01224064294856332,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc018,0.010425379254255495,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc019,0.009196715378207621,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc020,0.01362156771032158,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc021,0.015768569998901902,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc027,0.02475618877734596,84
P1_M_SELECTED_vs_C_DIRECT_ROW,sc028,0.009472149025515124,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc029,0.01204522872421024,87
P1_M_SELECTED_vs_C_DIRECT_ROW,sc030,0.006975477712675301,87
P1_M_SELECTED_vs_C_DIRECT_ROW,sc031,0.005305840809939079,87
P1_M_SELECTED_vs_C_DIRECT_ROW,sc032,0.010327265106723956,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc033,0.010961223063240218,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc036,0.006054575273625047,86
P1_M_SELECTED_vs_C_DIRECT_ROW,sc055,0.008783392738723679,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc057,0.010782143394832815,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc058,0.009881700403665475,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc059,0.01278567405623627,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc060,0.0070395828134438366,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc061,0.003991388094158734,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc062,0.008035960848794781,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc063,0.011682013322959674,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc068,0.0073958349940800635,84
P1_M_SELECTED_vs_C_DIRECT_ROW,sc069,0.012046719020157364,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc070,0.009911090046992118,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc071,0.00974915759420088,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc075,0.007694741959060278,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc076,0.010226362122906837,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc077,0.010952437548782756,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc078,0.007209305104974221,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc083,0.009588747756548723,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc084,0.009962075087936657,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc085,0.01220787536829886,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc086,0.010364722380951298,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc092,0.009388355955852976,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc096,0.01086744077472966,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc097,0.010171994654501595,89
