comparison,status,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,exploratory,mae_all,M_PHYSICS_radius+radius_sq,X_LOGK_GATED,-1.7266630458167813e-05,-0.001925112819917371,0.0014885840686085776,-0.0018229552311877476,0.0015724738117235528,0.9588,0.000847254721188119,0.002372313219326733,-0.0009219194504909814,90,43,2,5,-0.00030359498296704833,0.00019450469595219926,False,0.02,False,False
X_X_LOGK_ADD_vs_M_PHYSICS_radius+radius_sq,exploratory,mae_all,M_PHYSICS_radius+radius_sq,X_LOGK_ADD,-0.0014273217694451973,-0.004466789345940338,0.0006321171658438785,-0.004242851706214593,0.0007786147670599128,0.1804,0.0012872906069185703,0.0036044136993719964,-0.002645144481150292,90,40,1,5,-0.0020497324034869395,-0.0011017011582448344,True,0.02,False,False
X_X_LOGK_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,exploratory,mae_all,M_PHYSICS_radius+radius_sq,X_LOGK_RESIDUAL,-0.03430979085432044,-0.06991289204160676,-0.014050120099073192,-0.0857891655155191,-0.01723405187799203,0.0008,0.014578579068978914,0.040820021393140955,-0.05213843233123449,90,28,0,5,-0.03917310023817386,-0.023225384400661936,True,0.02,False,False
X_X_LOGK_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,exploratory,mae_all,M_PHYSICS_radius+radius_sq,X_LOGK_SHUFFLED,-0.0021087328958334637,-0.005521167593650848,0.0008931734946337839,-0.0054965718065330595,0.0009107379309787065,0.1524,0.0016100960680045203,0.004508268990412657,-0.002214281706500313,90,34,0,5,-0.0027289014520990224,-0.0015491639903133351,True,0.02,False,False
X_X_LOGK_ADD_vs_X_LOGK_SHUFFLED,exploratory,mae_all,X_LOGK_SHUFFLED,X_LOGK_ADD,0.0006814111263882665,-0.002349600052006412,0.0029811619166270364,-0.0023945686008291006,0.0029204548584928153,0.592,0.0013191007352636914,0.003693482058738336,-0.00043086277464997834,90,43,3,5,0.00024230538407339663,0.0012368624872581742,True,0.02,False,False
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,exploratory,mae_far,M_PHYSICS_radius+radius_sq,X_LOGK_GATED,-3.321794104551314e-05,-0.0030381205226214163,0.002337748791987884,-0.0028039505310953343,0.002508342610463726,0.9452,0.0013454032305160115,0.0037671290454448316,-0.0013723651788353788,88,39,2,5,-0.00048603884080785894,0.0003162146075173562,False,0.02,False,
X_X_LOGK_ADD_vs_M_PHYSICS_radius+radius_sq,exploratory,mae_far,M_PHYSICS_radius+radius_sq,X_LOGK_ADD,-0.0021639521478839783,-0.006829846962739797,0.0011636618636864005,-0.006510573546983763,0.0013653877317450081,0.2028,0.00202016314101537,0.005656456794843036,-0.003620157301428932,88,38,2,5,-0.003195707333867968,-0.0015986222907831676,True,0.02,False,
X_X_LOGK_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,exploratory,mae_far,M_PHYSICS_radius+radius_sq,X_LOGK_RESIDUAL,-0.05386916807527682,-0.10501007747880901,-0.022758860100105267,-0.1181207120495613,-0.02659010066731464,0.0008,0.021166600115938836,0.05926648032462874,-0.08156836842018908,88,29,0,5,-0.06197736162349805,-0.03930873995285627,True,0.02,False,
X_X_LOGK_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,exploratory,mae_far,M_PHYSICS_radius+radius_sq,X_LOGK_SHUFFLED,-0.003267138423286392,-0.008874983144467944,0.0016374481325859651,-0.008826847096471909,0.0016861498760318073,0.1852,0.002646406945724268,0.00740993944802795,-0.0036036293420631167,88,34,0,5,-0.0043030868893209895,-0.0022868429253074525,True,0.02,False,
X_X_LOGK_ADD_vs_X_LOGK_SHUFFLED,exploratory,mae_far,X_LOGK_SHUFFLED,X_LOGK_ADD,0.001103186275402414,-0.003473903184823082,0.004924206805157222,-0.0036266245799662596,0.004811737737659167,0.576,0.0020810965861918092,0.005827070441337065,-1.6527959365816148e-05,88,43,3,5,0.00044992673773905806,0.002043048976322732,True,0.02,False,
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,exploratory,mae_adjacent,M_PHYSICS_radius+radius_sq,X_LOGK_GATED,-6.120231874793174e-05,-0.000521677475105447,0.0003099279000076294,-0.0005714864606422208,0.0002696469316885096,0.7432,0.00020514947461468372,0.0005744185289211144,-0.00018253328257438866,83,40,2,5,-0.00011405666157545346,5.9826342731458766e-05,False,0.02,False,
X_X_LOGK_ADD_vs_M_PHYSICS_radius+radius_sq,exploratory,mae_adjacent,M_PHYSICS_radius+radius_sq,X_LOGK_ADD,-0.0002144097733158665,-0.0009066853725569351,0.0003179169067005531,-0.0009878034576804287,0.0002833941582198702,0.428,0.0003071178797159514,0.0008599300632046638,-0.0003589193040498527,83,41,2,5,-0.0003034983925260559,-6.74466545032413e-05,True,0.02,False,
X_X_LOGK_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,exploratory,mae_adjacent,M_PHYSICS_radius+radius_sq,X_LOGK_RESIDUAL,-0.009659891668487245,-0.02242335795685495,-0.0030331415982028246,-0.0282431502034898,-0.003827740282778744,0.0,0.005175835563564575,0.01449233957798081,-0.01713512590435671,83,34,1,5,-0.012147634190326094,-0.005841479886210161,True,0.02,False,
X_X_LOGK_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,exploratory,mae_adjacent,M_PHYSICS_radius+radius_sq,X_LOGK_SHUFFLED,-0.00015678789550741882,-0.0009324929237633637,0.0005358902485737019,-0.0009529508256436377,0.0005193100907131076,0.6108,0.0003647443198364507,0.0010212840955420618,-0.0003023641691931518,83,39,2,5,-0.00027939489901021065,-2.9875792344700358e-06,True,0.02,False,
X_X_LOGK_ADD_vs_X_LOGK_SHUFFLED,exploratory,mae_adjacent,X_LOGK_SHUFFLED,X_LOGK_ADD,-5.762187780844767e-05,-0.0006159190132875061,0.00045427552153112045,-0.0006877144555225512,0.00039973741898351574,0.826,0.0002594603769762383,0.0007264890555334672,-5.655513485670085e-05,83,44,3,5,-0.00011930313490105684,6.931276231117504e-05,False,0.02,False,
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,exploratory,sign_acc_strong,M_PHYSICS_radius+radius_sq,X_LOGK_GATED,-0.0010173990115015807,-0.006121881575615196,0.002648984855842468,-0.006387827019012902,0.002482298341925422,0.6148,0.002184272055021224,0.0061159617540594265,-0.0010804092953987199,86,17,2,5,-0.0018467496362035549,0.00014490957270690981,False,0.02,False,
X_X_LOGK_ADD_vs_M_PHYSICS_radius+radius_sq,exploratory,sign_acc_strong,M_PHYSICS_radius+radius_sq,X_LOGK_ADD,-0.00105470372528657,-0.0072689249827727976,0.005252562602472324,-0.007776993576072243,0.004951121481250039,0.7212,0.003132993266449223,0.008772381146057825,0.004214150984596927,86,22,2,5,-0.0020755153657521265,0.0004533591922733541,False,0.02,False,
X_X_LOGK_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,exploratory,sign_acc_strong,M_PHYSICS_radius+radius_sq,X_LOGK_RESIDUAL,-0.05189029235442356,-0.1156342594255226,-0.008973073076638147,-0.12252908298063,-0.013619377997118725,0.0168,0.02695341292785646,0.07546955619799808,-0.051936282907199954,86,23,0,5,-0.065540079561738,-0.03432618167455857,True,0.02,False,
X_X_LOGK_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,exploratory,sign_acc_strong,M_PHYSICS_radius+radius_sq,X_LOGK_SHUFFLED,-0.003917215900612761,-0.013250869912612463,0.003353456978466476,-0.0140274090560898,0.002689873321188519,0.2804,0.0041257505796256895,0.01155210162295193,-0.001984626757559668,86,18,2,5,-0.005581859969346265,-0.0014340171638018615,True,0.02,False,
X_X_LOGK_ADD_vs_X_LOGK_SHUFFLED,exploratory,sign_acc_strong,X_LOGK_SHUFFLED,X_LOGK_ADD,0.0028625121753261917,-0.002392115487392085,0.009653824127531454,-0.002482043459117123,0.009566190961111058,0.2868,0.003048416397186301,0.008535565912121642,0.006198777742156595,86,25,5,5,0.0018873763560752156,0.004019183441559976,True,0.02,False,
