comparison,status,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,mae_all,C_DIRECT_ROW,M_SELECTED,-0.001468025274498931,-0.03843649702490281,0.042667906463138804,-0.03925043335168025,0.04151773753443747,0.94,0.020198357848466977,0.056555401975707534,0.0014661131495966933,90,45,3,5,-0.011087385918048694,0.010193550952581367,False,0.02,False,False
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,mae_all,B1_MEAN_CURVE,M_SELECTED,0.10526102571615933,0.05053305764055836,0.15725081195135118,0.0423266151750606,0.15084610713593746,0.0012,0.026816448411252834,0.07508605555150794,0.11000292882114877,90,61,5,5,0.0976640460374954,0.12362657422524129,True,0.02,True,True
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,mae_far,C_DIRECT_ROW,M_SELECTED,-0.00035254399867992384,-0.06617254738108945,0.07193254309002638,-0.06925170130712664,0.06799410124583626,0.9948,0.0344577237206882,0.09648162641792696,-0.0010557833346856026,89,45,3,5,-0.01553078997728452,0.02023415314453793,False,0.02,False,
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,mae_far,B1_MEAN_CURVE,M_SELECTED,0.16026306443571056,0.0703417177815412,0.24385419698310884,0.05583126073327017,0.2341976064566003,0.0008,0.04353634594097722,0.1219017686347362,0.15730219060209064,89,60,5,5,0.14637042327869437,0.18885884410939827,True,0.02,True,
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,mae_adjacent,C_DIRECT_ROW,M_SELECTED,-0.004390930027646932,-0.010356022540670364,0.0026843471176155272,-0.009739962349023074,0.004142053902155184,0.1788,0.003256348146604945,0.009117774810493844,-0.005200765761034766,83,33,1,5,-0.0060999819815287645,-0.0036035111466043517,True,0.02,False,
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,mae_adjacent,B1_MEAN_CURVE,M_SELECTED,0.021009958152226928,0.011818633788431933,0.034390618048279024,0.010953861104219708,0.03337421044719138,0.0,0.005674382331313804,0.01588827052767865,0.027373629907723563,83,58,5,5,0.018948559667682614,0.02429658148982824,True,0.02,True,
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,sign_acc_strong,C_DIRECT_ROW,M_SELECTED,0.06788596514341483,-0.01178325101432707,0.18093527926304678,-0.01614844180330003,0.1745359220472811,0.0968,0.04869932531557924,0.13635811088362185,0.10719775822400314,86,40,5,5,0.044130074420925904,0.09675087598432044,True,0.02,False,
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,sign_acc_strong,B1_MEAN_CURVE,M_SELECTED,0.1551908600890544,0.03585437867731932,0.3122931980290408,0.023603233327810298,0.3016351939459903,0.01,0.07057127144162897,0.19759956003656112,0.20020020870209443,86,59,5,5,0.12689311148642127,0.19857129034135382,True,0.02,True,
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,pair_spearman,C_DIRECT_ROW,M_SELECTED,0.04533693209810552,-0.039623181797282817,0.15833226917182597,-0.04337786258247602,0.15103249817696743,0.2968,0.050202073865712876,0.14056580682399605,0.09512910563025742,84,39,4,5,0.025632619344967245,0.07208815249242222,True,0.02,False,
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,pair_spearman,B1_MEAN_CURVE,M_SELECTED,0.21845044941003758,0.08855828891944136,0.4011283394937462,0.06944277644005456,0.3814135273820163,0.0004,0.08124160791975088,0.22747650217530244,0.28732221726697227,84,62,5,5,0.1936324853602138,0.27348581707339464,True,0.02,True,
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,curve_spearman,C_DIRECT_ROW,M_SELECTED,0.10859396559303484,-0.03155165413017871,0.30103308663287814,-0.048080650670191315,0.283571191025759,0.1304,0.08377449994227673,0.23456859983837483,0.17356897411206137,84,47,5,5,0.07265575928477062,0.15882917965008556,True,0.02,False,
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,curve_spearman,B1_MEAN_CURVE,M_SELECTED,0.29873601222492413,0.10270275581948464,0.5743803367478119,0.06001400765304138,0.5311190776855126,0.0032,0.1219462947065205,0.3414496251782574,0.4049704674696102,84,59,5,5,0.25280845595429635,0.37173314397362606,True,0.02,True,
