comparison,dropped_chemotype,delta,n_units
P1_M_SELECTED_vs_C_DIRECT_ROW,(none),-0.0004269271898283648,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc000,0.002235032448566243,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc001,-0.0023378782529895033,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc007,-0.0007309597278241584,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc008,-0.0010600050725707178,87
P1_M_SELECTED_vs_C_DIRECT_ROW,sc009,0.008279935330762354,66
P1_M_SELECTED_vs_C_DIRECT_ROW,sc010,-0.00017668925085826605,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc012,0.0015810404868640373,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc015,0.0006589168179998679,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc016,-0.0018742673419753358,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc017,0.0009491315520856709,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc018,0.0005493596377397921,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc019,-0.0016705901967873334,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc020,0.0007820591151802142,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc021,0.001637298955190901,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc027,0.007382383630449128,84
P1_M_SELECTED_vs_C_DIRECT_ROW,sc028,0.0004481833521010024,87
P1_M_SELECTED_vs_C_DIRECT_ROW,sc029,0.0027576060387299855,86
P1_M_SELECTED_vs_C_DIRECT_ROW,sc030,-0.006622250669996132,86
P1_M_SELECTED_vs_C_DIRECT_ROW,sc031,-0.0058812011082574065,86
P1_M_SELECTED_vs_C_DIRECT_ROW,sc032,-0.00013551970016508624,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc033,0.0004771868644262446,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc036,-0.006011289195622138,85
P1_M_SELECTED_vs_C_DIRECT_ROW,sc055,-0.0017200103245109191,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc057,0.0007289771872406151,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc058,0.0004422602608101265,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc059,0.0009940917722239496,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc060,-0.0022801109311384976,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc061,-0.008316419944210124,87
P1_M_SELECTED_vs_C_DIRECT_ROW,sc062,0.0012598141158781176,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc063,-7.123291152418756e-05,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc068,-0.0012715895293780488,83
P1_M_SELECTED_vs_C_DIRECT_ROW,sc069,0.0014786676426328054,87
P1_M_SELECTED_vs_C_DIRECT_ROW,sc070,-0.00016542912489050365,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc071,-0.001371301325874625,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc075,-0.0028494036099340216,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc076,-0.0006025233449091404,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc077,-0.0003189263315595554,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc078,0.0018836464305609741,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc083,-0.0014165974484067491,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc084,-0.0010663280552082814,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc085,-0.0015085028081637934,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc086,-0.000533090742979609,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc092,-0.0004137186975794712,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc096,-0.000522553393080577,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc097,-0.0007732462843223746,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,(none),0.1093529520208485,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc000,0.11024515422332071,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc001,0.10617584244507058,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc007,0.10866051739063082,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc008,0.1108012218449217,87
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc009,0.10959267791288846,66
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc010,0.11032726758190475,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc012,0.11463898673555678,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc015,0.10851361122788926,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc016,0.10818626727808466,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc017,0.11107997146588801,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc018,0.10946574884941204,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc019,0.10944339899879406,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc020,0.1088502217378501,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc021,0.11092645274888392,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc027,0.1241912531902553,84
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc028,0.1102685243925767,87
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc029,0.11037855354100368,86
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc030,0.1076148096103819,86
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc031,0.10341738696782639,86
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc032,0.11080140995834563,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc033,0.10395147853001613,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc036,0.10469256414239526,85
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc055,0.10844567652321993,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc057,0.10412981704231271,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc058,0.11210085523971713,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc059,0.10771838468520524,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc060,0.1071600559802634,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc061,0.1053725601594456,87
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc062,0.10920421574571469,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc063,0.11311522293501039,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc068,0.10110261116645204,83
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc069,0.11403106885577091,87
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc070,0.11081456989195262,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc071,0.11059401360653567,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc075,0.10852413278707349,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc076,0.11044203372512343,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc077,0.1099341158170866,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc078,0.11281264627679327,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc083,0.11365511075066932,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc084,0.11003092730210252,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc085,0.10973102904795802,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc086,0.10774414798682823,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc092,0.10784270259688311,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc096,0.10649803445737603,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc097,0.10764603828567515,88
