arm,macro_mae_extractant,seed_sd
M_PHYSICS_radius+radius_sq|basis_shift,0.3963092230951264,0.0094982878169328
C_DIRECT_ROW|rescale,0.4357786332966216,0.0195309052672126
M_PHYSICS_radius+radius_sq|rescale,0.4376116288866868,0.0098446092230393
M_SELECTED|rescale,0.4395875600416838,0.0131013026285062
M_SELECTED|basis_shift,0.4526391888898881,0.0368371576573231
C_DIRECT_ROW|zero_shot,0.4787178747191106,0.0196123396497891
M_PHYSICS_radius+radius_sq|zero_shot,0.4805221165046343,0.008350034651345
B1_MEAN_CURVE|no_model_linear,0.483241255491926,0.0126329361461954
M_SELECTED|no_model_linear,0.483241255491926,0.0126329361461954
C_DIRECT_ROW|no_model_linear,0.483241255491926,0.0126329361461954
M_PHYSICS_radius+radius_sq|no_model_linear,0.483241255491926,0.0126329361461954
M_SELECTED|zero_shot,0.4844201487924655,0.0065330962190461
B1_MEAN_CURVE|rescale,0.5403728267659321,0.0181542211141507
B1_MEAN_CURVE|zero_shot,0.5880320178573631,0.0161101857983341
