design,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds
B,O_WITHIN,0.4599102358608807,0.015844881160589,0.5326167039842953,0.18686681359428295,0.5952306448138012,0.7919238045892856,0.48110017384227294,0.4299579117245547,0.15768870211777772,0.6309598559461266,0.8697318007662835,90,83,88,86,5
B,META_ACID_S1,0.4930444623821903,0.01062211022866484,0.548869659276299,0.18970812795248024,0.6498421750615531,0.8076081172008689,0.5049844075607895,0.497029069314204,0.16377662640559473,0.7505029346890383,0.9052033123223334,90,83,88,86,5
B,G14,0.4932079570494346,0.010659810361846232,0.5478196385730973,0.1898140285832599,0.6502393412817644,0.8081496698831565,0.5062372365904857,0.4975640701507178,0.16385099716971985,0.7517962575010522,0.9054999382029415,90,83,88,86,5
B,FE_ACID_S1,0.49370594704965354,0.008880537328016141,0.5472371842469982,0.18981881625414063,0.6511982428776665,0.8093216890784316,0.5088345260686625,0.4971314381412649,0.16382676917196343,0.7512098008320635,0.9058460017303176,90,83,88,86,5
B,META_PHYS4_S1,0.49732186935468425,0.009530698437201142,0.5538341010861105,0.19029229108294465,0.657366107362007,0.8073211748376032,0.5037426442195037,0.49817369386822463,0.16400049329267874,0.7523448757529732,0.9052280311457175,90,83,88,86,5
B,FE_ACID_MIN4_S1,0.5013859113792414,0.008657656093306548,0.5633283610434701,0.19061822624818986,0.6629188780881765,0.801928864189472,0.4924525441192652,0.501866159114095,0.16456943499656537,0.7572040986843974,0.8939315288592263,90,83,88,86,5
B,FE_PHYS4_S1,0.5101174811949172,0.009018870972753033,0.5571082163307081,0.1922375981767643,0.6785962276015117,0.8087225475585675,0.5063111573580918,0.5108697364055543,0.165842160558638,0.7757135600354894,0.9058212829069336,90,83,88,86,5
B,FE_CURV_PHYS4,0.5162162440194491,0.010299607079923789,0.5680843073202281,0.193531155757036,0.6863719569828766,0.796838296310999,0.4805413323935047,0.5190233898731993,0.16840499555958124,0.7857233492486383,0.8953652206154987,90,83,88,86,5
B,FE_C64_S1,0.5309369221422797,0.015288637318772134,0.5866436662097883,0.19486159610959336,0.7098328372179555,0.8029291853712186,0.4796731433584009,0.5079656063955451,0.16613489848080282,0.7666117470132103,0.9041404029168212,90,83,88,86,5
B,FLAT,0.5885062528901843,0.0,0.6092005776059211,0.20691787779638152,0.8071706996999868,0.0,,0.6499911278057761,0.18946933882956532,1.0118291621647848,0.0,90,83,88,86,5
