design,arm,n_tasks,n_publications,median_n_units,obs_spread,spearman,spearman_sd,top1,top1_sd,regret,regret_sd
B,FLAT,1230,4,6.0,1.1431279162517354,0.0,0.0,0.14836978739417767,0.0,0.5715639581258676,0.0
B,G13_FULL,1230,4,6.0,1.1431279162517354,-0.015406117120601623,0.08358803355199727,0.12560975609756098,0.03530388927288776,0.5180472726491965,0.15249722564392565
B,G14,1230,4,6.0,1.1431279162517354,-0.0921039243033274,0.18392673855462502,0.1177602343456002,0.050130179094186766,0.6181088601499758,0.12697663901096232
B,G14_TIED,1230,4,6.0,1.1431279162517354,0.03550112451918521,0.07938292770258266,0.15022375321155812,0.0041455935956236445,0.5401205948812804,0.0703094976561154
B,HEAVIER_ALWAYS,1230,4,6.0,1.1431279162517354,0.0,0.0,0.14836978739417767,0.0,0.5715639581258676,0.0
B,MEAN_CURVE,1230,4,6.0,1.1431279162517354,0.0015196689725316102,0.21585340906199663,0.13743427304402914,0.05905380985554166,0.585089901760488,0.14627924721865843
B,O_BOTH,1230,4,6.0,1.1431279162517354,0.739082138183798,0.0,0.6686991869918699,0.0,0.05612146251191753,7.757919228897728e-18
B,_RANDOM,1230,4,6.0,1.1431279162517354,0.0,0.0,0.14836978739417767,0.0,0.5715639581258676,0.0
BR,FLAT,1230,4,6.0,1.1431279162517354,0.0,0.0,0.14836978739417767,0.0,0.5715639581258676,0.0
BR,G13_FULL,1230,4,6.0,1.1431279162517354,-0.025371815009273428,0.08003543428606598,0.12317073170731707,0.04706941445619429,0.5207979015301257,0.1660394592125008
BR,G14,1230,4,6.0,1.1431279162517354,-0.007418651241336399,0.21678287338330843,0.13946688586932487,0.046550067473726156,0.5662669309884754,0.13784287308800042
BR,G14_TIED,1230,4,6.0,1.1431279162517354,0.0468123358541384,0.07705494737387635,0.1481549548012963,0.006940769727542923,0.5315516811624384,0.06809528768995252
BR,HEAVIER_ALWAYS,1230,4,6.0,1.1431279162517354,0.0,0.0,0.14836978739417767,0.0,0.5715639581258676,0.0
BR,MEAN_CURVE,1230,4,6.0,1.1431279162517354,-0.13509857883427354,0.09726480731566253,0.0937831906124589,0.01929233171374408,0.6524113969826163,0.07436336448026522
BR,O_BOTH,1230,4,6.0,1.1431279162517354,0.739082138183798,0.0,0.6686991869918699,0.0,0.05612146251191753,7.757919228897728e-18
BR,_RANDOM,1230,4,6.0,1.1431279162517354,0.0,0.0,0.14836978739417767,0.0,0.5715639581258676,0.0
BQ,FLAT,1230,4,6.0,1.1431279162517354,0.0,0.0,0.14836978739417767,0.0,0.5715639581258676,0.0
BQ,G13_FULL,1230,4,6.0,1.1431279162517354,-0.062495890358677385,0.053862781097188776,0.10772357723577235,0.024559036531696287,0.5409250993568769,0.12382458718318701
BQ,G14,1230,4,6.0,1.1431279162517354,-0.07513769324935202,0.22321202207023522,0.12429263148775345,0.05234098508258026,0.6080997060803849,0.14767778195970108
BQ,G14_TIED,1230,4,6.0,1.1431279162517354,0.03550112451918521,0.07938292770258266,0.15022375321155812,0.0041455935956236445,0.5401205948812804,0.0703094976561154
BQ,HEAVIER_ALWAYS,1230,4,6.0,1.1431279162517354,0.0,0.0,0.14836978739417767,0.0,0.5715639581258676,0.0
BQ,MEAN_CURVE,1230,4,6.0,1.1431279162517354,-0.16671764617986928,0.11813976018932967,0.0922416810831445,0.03605803175996582,0.6783436198478082,0.07147555552407225
BQ,O_BOTH,1230,4,6.0,1.1431279162517354,0.739082138183798,0.0,0.6686991869918699,0.0,0.05612146251191753,7.757919228897728e-18
BQ,_RANDOM,1230,4,6.0,1.1431279162517354,0.0,0.0,0.14836978739417767,0.0,0.5715639581258676,0.0
A,FLAT,1230,4,6.0,1.1431279162517354,0.0,0.0,0.14836978739417767,0.0,0.5715639581258676,0.0
A,G13_FULL,1230,4,6.0,1.1431279162517354,0.02694407711239464,0.14659884065320491,0.12317073170731707,0.03176849424380398,0.4686209425711792,0.07449416574597315
A,G14,1230,4,6.0,1.1431279162517354,-0.11752477967944903,0.1693607601982566,0.11006678281068524,0.05957681925743916,0.6541928532759778,0.13365961524290865
A,G14_TIED,1230,4,6.0,1.1431279162517354,0.03550112451918521,0.07938292770258266,0.15022375321155812,0.0041455935956236445,0.5401205948812804,0.0703094976561154
A,HEAVIER_ALWAYS,1230,4,6.0,1.1431279162517354,0.0,0.0,0.14836978739417767,0.0,0.5715639581258676,0.0
A,MEAN_CURVE,1230,4,6.0,1.1431279162517354,0.03433419983342853,0.06235221892843057,0.15933023615950445,0.06740650692190175,0.542065798775761,0.04331645632837652
A,O_BOTH,1230,4,6.0,1.1431279162517354,0.739082138183798,0.0,0.6686991869918699,0.0,0.05612146251191753,7.757919228897728e-18
A,_RANDOM,1230,4,6.0,1.1431279162517354,0.0,0.0,0.14836978739417767,0.0,0.5715639581258676,0.0
BP,FLAT,1230,4,6.0,1.1431279162517354,0.0,0.0,0.14836978739417767,0.0,0.5715639581258676,0.0
BP,G13_FULL,1230,4,6.0,1.1431279162517354,-0.18189505295402666,0.08101655193145627,0.13008130081300812,0.054062748285651975,0.6963619688685722,0.11292673233348889
BP,G14,1230,4,6.0,1.1431279162517354,-0.1275813780785433,0.1679586033919953,0.11026752831630879,0.05128262014577587,0.6430638906720566,0.09269243027660716
BP,G14_TIED,1230,4,6.0,1.1431279162517354,0.058123547189091594,0.07248049299148224,0.14608615639103445,0.008274225365901153,0.5229827674435964,0.0643967797696213
BP,HEAVIER_ALWAYS,1230,4,6.0,1.1431279162517354,0.0,0.0,0.14836978739417767,0.0,0.5715639581258676,0.0
BP,MEAN_CURVE,1230,4,6.0,1.1431279162517354,-0.28051966848099086,0.06065824391925058,0.08254533632582413,0.020292045535054103,0.75271497742295,0.020972516689657245
BP,O_BOTH,1230,4,6.0,1.1431279162517354,0.739082138183798,0.0,0.6686991869918699,0.0,0.05612146251191753,7.757919228897728e-18
BP,_RANDOM,1230,4,6.0,1.1431279162517354,0.0,0.0,0.14836978739417767,0.0,0.5715639581258676,0.0
