design,arm,slope,intercept,slope_sd_seed,r2
B,FLAT,,-0.24949612972349694,,
B,MEAN_CURVE,0.5116916056338635,-0.18150290892224194,0.48473509195638353,0.008726573547353511
B,G14,1.1662291661913327,-0.13393823368211122,0.07591520095136023,0.2781300041132633
B,G13_FULL,1.0808583928109525,-0.02342045561922041,0.07156135142276147,0.2890318315549676
B,O_BOTH,1.0905575675573076,0.023299470455914854,1.3642648929939613e-15,0.9046594309022563
B,HEAVIER_ALWAYS,0.28353963303186475,0.0734374931810837,1.5029073952766851e-15,0.058451563244623306
B,G14_TIED,1.2598313066591984,-0.11595771413335716,0.08169924773340352,0.2987141131012061
BR,FLAT,,-0.24949612972349694,,
BR,MEAN_CURVE,0.5553169257725884,-0.1782684719820147,0.29436140796739857,0.009956996450537159
BR,G14,1.152171903553546,-0.12884959179229336,0.10711449501264576,0.2850575548897848
BR,G13_FULL,1.0793775790838984,-0.025689937395439046,0.053918971373946245,0.2784366937139764
BR,O_BOTH,1.0905575675573076,0.023299470455914854,1.3642648929939613e-15,0.9046594309022563
BR,HEAVIER_ALWAYS,0.28353963303186475,0.0734374931810837,1.5029073952766851e-15,0.058451563244623306
BR,G14_TIED,1.2027432058988672,-0.11366328759783237,0.0988378006845346,0.29727096334094794
BQ,FLAT,,-0.24949612972349694,,
BQ,MEAN_CURVE,0.5376119314696594,-0.18073536886320365,0.3914330170074154,0.00954771282169109
BQ,G14,1.1909041481205611,-0.12660834574561017,0.07900242077596666,0.2908804184372924
BQ,G13_FULL,1.082438934181243,-0.020031440983296928,0.0745667981372273,0.2928507567027887
BQ,O_BOTH,1.0905575675573076,0.023299470455914854,1.3642648929939613e-15,0.9046594309022563
BQ,HEAVIER_ALWAYS,0.28353963303186475,0.0734374931810837,1.5029073952766851e-15,0.058451563244623306
BQ,G14_TIED,1.2734266779385486,-0.10534270905369451,0.09077645403902349,0.3096126122567895
A,FLAT,,-0.24949612972349694,,
A,MEAN_CURVE,1.0736584649083827,-0.1046566323686917,0.0917656268885685,0.03433962827562498
A,G14,1.1758080160631534,-0.11951011707079108,0.06152497057348237,0.2853846741214179
A,G13_FULL,1.1294014360603404,-0.01409621191002404,0.07651390569596156,0.37394936803729784
A,O_BOTH,1.0905575675573125,0.02329947045591554,6.377745716588144e-16,0.9046594309022563
A,HEAVIER_ALWAYS,0.2835396330318757,0.0734374931810951,1.2640219467492054e-15,0.058451563244623306
A,G14_TIED,1.2446498757682556,-0.10950426785164522,0.03678690095487596,0.3056144420873329
BP,FLAT,,-0.24949612972349694,,
BP,MEAN_CURVE,-0.24873363210508703,-0.27481272804915946,0.3622702727027355,0.002790197742077005
BP,G14,1.123566250369922,-0.14442528591798426,0.07340777927487817,0.2609310512103753
BP,G13_FULL,0.8128606585157756,-0.13122437304767304,0.1574469318681446,0.1238412327977646
BP,O_BOTH,1.0905575675573076,0.023299470455914854,1.3642648929939613e-15,0.9046594309022563
BP,HEAVIER_ALWAYS,0.28353963303186475,0.0734374931810837,1.5029073952766851e-15,0.058451563244623306
BP,G14_TIED,1.3703731221969668,-0.10337227265330323,0.07140447047456393,0.30419773291210983
